<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,MEM,NBA,PG,10,0,175,14,38,.368,3,8,.375,11,30,.367,.408,25,28,.893,12,19,31,32,14,1,12,20,56
2007-08,21,MEM,NBA,PG,82,9,2089,256,592,.432,36,140,.257,220,452,.487,.463,243,348,.698,41,209,250,296,92,22,127,185,791
2008-09,22,TOT,NBA,PG,77,21,1679,189,434,.435,25,98,.255,164,336,.488,.464,181,226,.801,26,163,189,275,69,17,117,146,584
2008-09,22,MEM,NBA,PG,49,21,1071,112,272,.412,17,69,.246,95,203,.468,.443,129,161,.801,13,98,111,178,48,8,79,89,370
2008-09,22,HOU,NBA,PG,28,0,608,77,162,.475,8,29,.276,69,133,.519,.500,52,65,.800,13,65,78,97,21,9,38,57,214
2009-10,23,HOU,NBA,PG,68,0,1651,184,464,.397,37,136,.272,147,328,.448,.436,215,260,.827,91,156,247,305,60,9,116,173,620
2010-11,24,HOU,NBA,PG,75,71,2563,345,809,.426,129,343,.376,216,466,.464,.506,192,251,.765,89,220,309,500,102,23,158,207,1011
2011-12,25,HOU,NBA,PG,47,38,1510,210,513,.409,79,211,.374,131,302,.434,.486,171,198,.864,37,176,213,310,73,14,130,133,670
2012-13,26,TOR,NBA,PG,68,52,2020,250,623,.401,101,279,.362,149,344,.433,.482,190,239,.795,56,265,321,435,94,24,157,218,791
2013-14,27,TOR,NBA,PG,79,79,2862,457,1080,.423,190,500,.380,267,580,.460,.511,313,385,.813,88,281,369,586,121,15,194,267,1417
2014-15&nbsp;★,28,TOR,NBA,PG,70,70,2414,430,1043,.412,132,391,.338,298,652,.457,.476,252,312,.808,54,274,328,473,109,13,173,212,1244
2015-16,29,TOR,NBA,PG,19,19,673,122,287,.425,54,131,.412,68,156,.436,.519,106,120,.883,14,78,92,116,49,10,59,65,404
Career,,,NBA,,595,359,17636,2457,5883,.418,786,2237,.351,1671,3646,.458,.484,1888,2367,.798,508,1841,2349,3328,783,148,1243,1626,7588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,TOR,NBA,,236,220,7969,1259,3033,.415,477,1301,.367,782,1732,.452,.494,861,1056,.815,212,898,1110,1610,373,62,583,762,3856
4 seasons,,HOU,NBA,,218,109,6332,816,1948,.419,253,719,.352,563,1229,.458,.484,630,774,.814,230,617,847,1212,256,55,442,570,2515
3 seasons,,MEM,NBA,,141,30,3335,382,902,.424,56,217,.258,326,685,.476,.455,397,537,.739,66,326,392,506,154,31,218,294,1217
