<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,UTA,NBA,SG,82,48,2025,273,565,.483,63,165,.382,210,400,.525,.539,160,193,.829,50,141,191,124,64,15,93,152,769
2010-11,24,POR,NBA,SG,82,69,2758,440,979,.449,154,378,.407,286,601,.476,.528,266,315,.844,48,210,258,164,102,9,138,195,1300
2011-12,25,POR,NBA,SG,66,53,2228,314,763,.412,129,337,.383,185,426,.434,.496,147,171,.860,56,168,224,113,96,15,73,148,904
2012-13,26,POR,NBA,SG,69,69,2403,352,808,.436,169,425,.398,183,383,.478,.540,149,187,.797,35,156,191,174,90,18,109,172,1022
2013-14,27,POR,NBA,SG,82,82,2780,445,1009,.441,201,511,.393,244,498,.490,.541,252,301,.837,51,238,289,197,76,14,110,176,1343
2014-15,28,POR,NBA,SG,60,60,2024,337,752,.448,173,445,.389,164,307,.534,.563,109,145,.752,38,184,222,139,77,10,81,132,956
2015-16,29,DAL,NBA,SG,17,17,513,63,178,.354,35,109,.321,28,69,.406,.452,34,39,.872,9,38,47,30,14,1,19,40,195
Career,,,NBA,,458,398,14731,2224,5054,.440,924,2370,.390,1300,2684,.484,.531,1117,1351,.827,287,1135,1422,941,519,82,623,1015,6489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,359,333,12193,1888,4311,.438,826,2096,.394,1062,2215,.479,.534,923,1119,.825,228,956,1184,787,441,66,511,823,5525
1 season,,UTA,NBA,,82,48,2025,273,565,.483,63,165,.382,210,400,.525,.539,160,193,.829,50,141,191,124,64,15,93,152,769
1 season,,DAL,NBA,,17,17,513,63,178,.354,35,109,.321,28,69,.406,.452,34,39,.872,9,38,47,30,14,1,19,40,195
