<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,TOT,NBA,PG,81,2,1269,154,368,.418,22,71,.310,132,297,.444,.448,52,72,.722,21,108,129,266,40,10,85,115,382
2009-10,22,UTA,NBA,PG,26,2,363,52,133,.391,5,24,.208,47,109,.431,.410,25,33,.758,10,28,38,81,13,2,28,33,134
2009-10,22,OKC,NBA,PG,55,0,906,102,235,.434,17,47,.362,85,188,.452,.470,27,39,.692,11,80,91,185,27,8,57,82,248
2010-11,23,OKC,NBA,PG,82,0,1200,134,333,.402,37,96,.385,97,237,.409,.458,43,59,.729,25,96,121,238,35,6,77,96,348
2011-12,24,OKC,NBA,PG,9,0,137,14,39,.359,6,17,.353,8,22,.364,.436,4,4,1.000,3,10,13,22,5,0,11,13,38
2012-13,25,TOT,NBA,PG-SG,64,0,963,106,281,.377,34,96,.354,72,185,.389,.438,45,62,.726,9,37,46,182,22,1,79,55,291
2012-13,25,OKC,NBA,PG,37,0,391,36,115,.313,15,46,.326,21,69,.304,.378,17,21,.810,5,13,18,73,10,0,31,19,104
2012-13,25,POR,NBA,SG,27,0,572,70,166,.422,19,50,.380,51,116,.440,.479,28,41,.683,4,24,28,109,12,1,48,36,187
2013-14,26,TOT,NBA,PG,31,0,327,32,101,.317,12,37,.324,20,64,.313,.376,6,11,.545,9,30,39,52,9,3,29,17,82
2013-14,26,WAS,NBA,PG,23,0,215,21,72,.292,8,25,.320,13,47,.277,.347,2,3,.667,7,17,24,40,5,1,17,13,52
2013-14,26,PHI,NBA,PG,8,0,112,11,29,.379,4,12,.333,7,17,.412,.448,4,8,.500,2,13,15,12,4,2,12,4,30
Career,,,NBA,,267,2,3896,440,1122,.392,111,317,.350,329,805,.409,.442,150,208,.721,67,281,348,760,111,20,281,296,1141
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,OKC,NBA,,183,0,2634,286,722,.396,75,206,.364,211,516,.409,.448,91,123,.740,44,199,243,518,77,14,176,210,738
1 season,,POR,NBA,,27,0,572,70,166,.422,19,50,.380,51,116,.440,.479,28,41,.683,4,24,28,109,12,1,48,36,187
1 season,,UTA,NBA,,26,2,363,52,133,.391,5,24,.208,47,109,.431,.410,25,33,.758,10,28,38,81,13,2,28,33,134
1 season,,WAS,NBA,,23,0,215,21,72,.292,8,25,.320,13,47,.277,.347,2,3,.667,7,17,24,40,5,1,17,13,52
1 season,,PHI,NBA,,8,0,112,11,29,.379,4,12,.333,7,17,.412,.448,4,8,.500,2,13,15,12,4,2,12,4,30
