<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-358,MIL,@,CHO,L (-2),0,24:14,6,10,.600,3,6,.500,2,2,1.000,1,2,3,3,0,1,1,4,17,13.9,+5
2,2,2014-10-31,26-360,MIL,,PHI,W (+12),0,28:05,8,13,.615,5,7,.714,4,6,.667,1,2,3,5,1,0,1,3,25,21.9,+10
3,3,2014-11-01,26-361,MIL,@,WAS,L (-11),0,19:21,1,7,.143,0,2,.000,1,1,1.000,1,1,2,1,1,0,1,5,3,-1.8,-6
4,4,2014-11-04,26-364,MIL,@,IND,W (+6),0,21:57,3,5,.600,1,3,.333,2,2,1.000,1,2,3,5,3,0,3,0,9,11.5,+7
5,5,2014-11-05,27-000,MIL,,CHI,L (-9),0,26:31,3,12,.250,1,6,.167,2,2,1.000,1,0,1,3,1,0,3,6,9,0.2,-1
6,6,2014-11-07,27-002,MIL,@,DET,L (-3),0,19:17,2,9,.222,1,4,.250,1,1,1.000,0,1,1,3,1,1,0,1,6,4.2,+3
7,7,2014-11-08,27-003,MIL,,MEM,W (+1),0,28:08,4,11,.364,1,5,.200,0,0,,0,4,4,7,1,0,4,1,9,5.6,-1
8,8,2014-11-11,27-006,MIL,,OKC,W (+7),0,29:02,6,15,.400,2,7,.286,5,7,.714,1,3,4,1,0,0,0,2,19,11.6,+4
9,9,2014-11-14,27-009,MIL,@,ORL,L (-16),0,25:35,3,11,.273,0,4,.000,0,0,,0,0,0,3,0,0,1,0,6,0.6,-14
10,10,2014-11-16,27-011,MIL,@,MIA,W (+7),0,18:13,4,8,.500,0,3,.000,0,1,.000,0,2,2,3,1,0,1,1,8,5.9,-2
11,11,2014-11-18,27-013,MIL,,NYK,W (+4),0,23:27,3,6,.500,1,1,1.000,4,4,1.000,0,0,0,6,1,0,3,4,11,8.6,-1
12,12,2014-11-19,27-014,MIL,@,BRK,W (+4),0,38:40,7,17,.412,3,8,.375,4,4,1.000,2,5,7,2,1,0,1,4,21,14.6,+13
13,13,2014-11-21,27-016,MIL,@,TOR,L (-42),0,9:04,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,1,0,-0.7,-4
14,14,2014-11-22,27-017,MIL,,WAS,L (-11),0,23:14,4,9,.444,0,2,.000,2,2,1.000,0,1,1,4,1,1,0,2,10,9.3,-9
15,15,2014-11-25,27-020,MIL,,DET,W (+12),1,28:01,5,10,.500,3,4,.750,4,4,1.000,0,2,2,3,1,0,2,1,17,13.3,+14
16,16,2014-11-26,27-021,MIL,@,MIN,W (+17),1,29:28,3,11,.273,2,7,.286,2,2,1.000,1,2,3,3,1,1,5,4,10,2.0,+11
17,17,2014-11-28,27-023,MIL,@,DET,W (+16),1,26:36,4,11,.364,0,5,.000,0,1,.000,1,2,3,3,1,1,0,2,8,5.8,-4
18,18,2014-11-29,27-024,MIL,,HOU,L (-14),1,21:57,2,10,.200,0,3,.000,2,2,1.000,1,1,2,1,0,0,0,2,6,0.7,-13
19,19,2014-12-02,27-027,MIL,@,CLE,L (-3),1,25:44,6,13,.462,0,4,.000,2,3,.667,0,3,3,5,1,1,2,3,14,9.8,-6
20,20,2014-12-03,27-028,MIL,,DAL,L (-2),1,26:41,3,7,.429,2,3,.667,4,6,.667,0,3,3,5,1,0,2,3,12,9.7,-8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-05,27-030,MIL,,MIA,W (+24),1,12:50,2,5,.400,0,1,.000,0,0,,0,0,0,1,0,0,1,3,4,-0.2,-4
22,22,2014-12-07,27-032,MIL,@,DAL,L (-23),1,24:48,5,14,.357,2,5,.400,0,0,,1,2,3,3,0,0,2,3,12,4.4,-11
23,23,2014-12-09,27-034,MIL,@,OKC,L (-13),1,29:08,6,13,.462,0,4,.000,6,6,1.000,1,3,4,0,0,0,2,6,18,8.5,-11
24,24,2014-12-13,27-038,MIL,,LAC,W (+5),1,11:18,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,0,2,2,6,1.6,-5
25,25,2014-12-15,27-040,MIL,@,PHO,W (+2),1,24:58,3,4,.750,2,3,.667,4,4,1.000,1,3,4,0,0,0,6,3,12,4.8,-5
26,26,2014-12-17,27-042,MIL,@,POR,L (-7),1,36:05,4,12,.333,0,2,.000,4,6,.667,0,1,1,2,2,0,3,5,12,3.1,-9
27,27,2014-12-18,27-043,MIL,@,SAC,W (+1),1,23:24,7,13,.538,3,4,.750,2,2,1.000,0,2,2,1,1,0,3,5,19,10.0,-4
28,28,2014-12-20,27-045,MIL,@,LAC,L (-4),1,23:02,1,6,.167,0,2,.000,1,3,.333,0,1,1,3,0,0,2,4,3,-2.8,-4
29,29,2014-12-23,27-048,MIL,,CHO,L (-7),1,21:22,3,8,.375,1,2,.500,0,0,,0,3,3,3,1,0,2,2,7,3.8,-4
30,30,2014-12-26,27-051,MIL,@,ATL,W (+30),0,20:15,5,8,.625,1,2,.500,0,0,,1,4,5,3,0,0,2,2,11,8.6,+21
31,31,2014-12-27,27-052,MIL,,ATL,L (-5),0,24:14,4,11,.364,2,6,.333,2,2,1.000,0,3,3,4,0,1,3,0,12,7.3,+18
32,32,2014-12-29,27-054,MIL,@,CHO,W (+10),0,33:49,3,13,.231,2,6,.333,5,6,.833,0,5,5,2,0,0,3,3,13,3.4,+9
33,33,2014-12-31,27-056,MIL,@,CLE,W (+16),0,22:56,6,13,.462,3,6,.500,0,0,,0,3,3,4,2,1,0,5,15,12.7,-5
34,34,2015-01-02,27-058,MIL,,IND,L (-3),0,24:22,5,12,.417,1,4,.250,0,0,,0,1,1,1,0,0,2,3,11,2.4,-7
35,35,2015-01-04,27-060,MIL,@,NYK,W (+13),0,24:49,2,9,.222,0,4,.000,0,0,,0,5,5,2,1,1,2,1,4,0.7,+5
36,36,2015-01-06,27-062,MIL,,PHO,L (-6),0,17:33,2,6,.333,0,3,.000,0,0,,0,1,1,3,0,0,2,1,4,0.6,-11
37,37,2015-01-07,27-063,MIL,@,PHI,W (+20),0,23:33,6,11,.545,2,6,.333,1,2,.500,0,4,4,6,1,0,0,1,15,15.3,+10
38,38,2015-01-09,27-065,MIL,,MIN,W (+14),0,28:21,4,6,.667,4,4,1.000,0,0,,0,3,3,4,1,0,4,5,12,8.1,+18
39,39,2015-01-10,27-066,MIL,@,CHI,L (-8),0,25:07,5,8,.625,2,3,.667,0,0,,0,2,2,1,1,2,0,0,12,12.1,-2
40,40,2015-01-15,27-071,MIL,,NYK,W (+16),0,24:14,8,14,.571,4,6,.667,2,2,1.000,0,1,1,0,0,0,1,0,22,14.7,+9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-19,27-075,MIL,,TOR,L (-3),0,23:34,4,8,.500,1,2,.500,4,4,1.000,0,4,4,3,0,0,3,1,13,8.9,-6
42,42,2015-01-22,27-078,MIL,,UTA,L (-2),0,22:30,6,10,.600,0,1,.000,0,0,,1,1,2,4,1,1,3,3,12,8.7,-7
43,43,2015-01-24,27-080,MIL,,DET,W (+15),0,28:02,8,14,.571,4,5,.800,0,0,,1,2,3,3,2,0,2,0,20,16.8,-1
44,44,2015-01-25,27-081,MIL,@,SAS,L (-6),0,28:29,4,10,.400,1,3,.333,0,0,,0,2,2,7,1,1,0,5,9,8.8,-2
45,45,2015-01-27,27-083,MIL,@,MIA,W (+7),0,26:03,6,12,.500,1,4,.250,1,1,1.000,0,4,4,2,1,1,1,2,14,10.5,+15
46,46,2015-01-29,27-085,MIL,@,ORL,W (+15),0,27:04,5,12,.417,2,7,.286,1,3,.333,2,4,6,6,0,0,2,2,13,9.8,+1
47,47,2015-01-31,27-087,MIL,,POR,W (+7),0,24:33,6,18,.333,3,8,.375,2,2,1.000,0,7,7,1,0,0,1,3,17,7.4,+4
48,48,2015-02-02,27-089,MIL,@,TOR,W (+7),0,10:44,3,9,.333,1,2,.500,0,0,,0,1,1,0,1,0,0,0,7,3.2,-1
49,49,2015-02-04,27-091,MIL,,LAL,W (+8),0,33:06,8,15,.533,5,8,.625,0,0,,0,2,2,3,2,1,2,4,21,15.5,+7
50,50,2015-02-06,27-093,MIL,@,HOU,L (-6),0,32:21,5,13,.385,1,4,.250,0,0,,0,2,2,2,1,0,2,2,11,4.1,-4
