<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,28-050,PHI,,IND,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2014-10-31,28-052,PHI,@,MIL,L (-12),0,25:05,2,5,.400,0,2,.000,2,4,.500,1,2,3,2,1,0,0,1,6,5.8,-13
3,2,2014-11-01,28-053,PHI,,MIA,L (-18),1,19:19,4,10,.400,0,2,.000,1,2,.500,3,4,7,3,1,0,6,3,9,2.4,-12
4,3,2014-11-03,28-055,PHI,,HOU,L (-11),1,24:44,4,9,.444,2,3,.667,0,0,,2,2,4,1,0,0,1,3,10,5.8,-15
5,4,2014-11-05,28-057,PHI,,ORL,L (-2),1,25:42,2,7,.286,0,4,.000,0,2,.000,1,4,5,4,0,1,2,2,4,1.7,-9
6,5,2014-11-07,28-059,PHI,,CHI,L (-3),1,33:20,6,12,.500,2,3,.667,2,2,1.000,5,6,11,3,0,1,0,1,16,17.7,0
7,6,2014-11-09,28-061,PHI,@,TOR,L (-32),1,28:47,4,8,.500,0,2,.000,0,0,,2,2,4,0,0,0,1,1,8,4.6,-32
8,7,2014-11-13,28-065,PHI,@,DAL,L (-53),1,22:56,2,9,.222,0,2,.000,0,1,.000,2,3,5,0,1,0,1,1,4,0.0,-24
9,8,2014-11-14,28-066,PHI,@,HOU,L (-1),1,31:32,2,7,.286,0,1,.000,2,2,1.000,1,8,9,0,2,0,2,3,6,3.8,-15
10,9,2014-11-17,28-069,PHI,@,SAS,L (-25),1,24:49,4,10,.400,2,4,.500,3,4,.750,0,4,4,0,0,2,2,2,13,7.0,-4
