<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,TOT,NBA,SG,60,0,719,104,268,.388,42,132,.318,62,136,.456,.466,31,39,.795,9,90,99,39,18,5,25,52,281
2009-10,22,MIL,NBA,SG,41,0,486,64,177,.362,23,82,.280,41,95,.432,.427,18,21,.857,5,67,72,22,13,4,20,33,169
2009-10,22,PHI,NBA,SG,19,0,233,40,91,.440,19,50,.380,21,41,.512,.544,13,18,.722,4,23,27,17,5,1,5,19,112
2010-11,23,PHI,NBA,SG,74,64,2062,242,570,.425,138,348,.397,104,222,.468,.546,152,170,.894,21,150,171,78,63,4,60,97,774
2011-12,24,PHI,NBA,SG,66,50,1644,191,467,.409,97,266,.365,94,201,.468,.513,77,85,.906,17,144,161,54,40,3,29,82,556
2012-13,25,LAL,NBA,SG,78,10,1663,205,530,.387,122,342,.357,83,188,.441,.502,86,96,.896,37,134,171,69,58,5,52,103,618
2013-14,26,LAL,NBA,SG,77,70,2556,413,892,.463,162,404,.401,251,488,.514,.554,221,258,.857,30,164,194,138,111,4,111,119,1209
2014-15,27,DET,NBA,SG,60,0,1462,222,534,.416,74,212,.349,148,322,.460,.485,145,160,.906,12,92,104,79,59,6,57,76,663
2015-16,28,DET,NBA,SG,2,0,17,1,5,.200,0,0,,1,5,.200,.200,0,0,,1,1,2,0,0,0,1,2,2
Career,,,NBA,,417,194,10123,1378,3266,.422,635,1704,.373,743,1562,.476,.519,712,808,.881,127,775,902,457,349,27,335,531,4103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,159,114,3939,473,1128,.419,254,664,.383,219,464,.472,.532,242,273,.886,42,317,359,149,108,8,94,198,1442
2 seasons,,LAL,NBA,,155,80,4219,618,1422,.435,284,746,.381,334,676,.494,.534,307,354,.867,67,298,365,207,169,9,163,222,1827
2 seasons,,DET,NBA,,62,0,1479,223,539,.414,74,212,.349,149,327,.456,.482,145,160,.906,13,93,106,79,59,6,58,78,665
1 season,,MIL,NBA,,41,0,486,64,177,.362,23,82,.280,41,95,.432,.427,18,21,.857,5,67,72,22,13,4,20,33,169
