<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,27-194,IND,,PHI,W (+12),1,33:11,6,17,.353,2,8,.250,1,1,1.000,0,1,1,2,0,0,1,4,15,4.6,+16
2,2,2014-10-31,27-196,IND,,MEM,L (-8),1,31:36,5,12,.417,1,5,.200,2,2,1.000,0,3,3,4,1,1,3,1,13,8.6,-17
3,3,2014-11-01,27-197,IND,@,ATL,L (-10),1,21:40,3,13,.231,2,7,.286,2,2,1.000,0,1,1,2,0,0,3,3,10,-0.4,-15
4,4,2014-11-04,27-200,IND,,MIL,L (-6),1,29:15,0,8,.000,0,5,.000,0,0,,0,1,1,1,0,1,2,3,0,-7.1,-16
5,5,2014-11-05,27-201,IND,@,WAS,L (-2),1,26:36,2,13,.154,0,4,.000,2,2,1.000,1,2,3,2,0,0,2,3,6,-2.8,-12
6,,2014-11-07,27-203,IND,,BOS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2014-11-08,27-204,IND,,WAS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2014-11-10,27-206,IND,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2014-11-12,27-208,IND,,MIA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,6,2014-11-14,27-210,IND,,DEN,L (-21),0,4:07,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,0.6,-6
11,,2014-11-15,27-211,IND,,CHI,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,,2014-11-19,27-215,IND,,CHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,,2014-11-22,27-218,IND,,PHO,L (-23),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,7,2014-11-24,27-220,IND,@,DAL,W (+11),0,17:26,2,7,.286,1,3,.333,1,2,.500,0,2,2,2,1,1,0,0,6,5.2,+12
15,8,2014-11-26,27-222,IND,@,SAS,L (-6),0,14:35,2,6,.333,1,4,.250,0,2,.000,0,1,1,1,2,0,1,2,5,2.0,+8
16,9,2014-11-28,27-224,IND,,ORL,W (+15),0,21:28,1,8,.125,0,3,.000,2,2,1.000,0,3,3,0,0,0,1,3,4,-2.5,+5
17,10,2014-11-29,27-225,IND,@,CLE,L (-12),0,23:22,2,9,.222,2,5,.400,0,0,,1,3,4,3,1,0,1,2,6,3.4,+6
18,11,2014-12-02,27-228,IND,@,PHO,L (-17),0,20:35,6,9,.667,1,3,.333,4,4,1.000,0,2,2,0,1,0,1,3,17,12.5,0
19,12,2014-12-04,27-230,IND,@,POR,L (-6),0,20:24,2,8,.250,1,5,.200,0,0,,1,1,2,2,0,0,2,0,5,0.6,-8
20,13,2014-12-05,27-231,IND,@,SAC,L (-1),0,20:34,2,8,.250,0,3,.000,2,2,1.000,0,3,3,1,1,1,1,3,6,2.3,+11
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,14,2014-12-08,27-234,IND,,ATL,L (-16),0,26:32,5,11,.455,4,7,.571,1,1,1.000,0,2,2,1,0,0,1,2,15,8.8,-8
22,15,2014-12-10,27-236,IND,,LAC,L (-7),0,34:09,11,22,.500,7,14,.500,1,4,.250,1,3,4,2,1,0,4,2,30,17.0,+23
23,16,2014-12-12,27-238,IND,@,TOR,L (-12),1,12:42,1,6,.167,1,4,.250,2,2,1.000,0,1,1,0,2,0,1,1,5,2.1,-7
24,,2014-12-13,27-239,IND,,POR,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,17,2014-12-15,27-241,IND,,LAL,W (+19),0,26:14,8,16,.500,3,8,.375,1,2,.500,0,0,0,0,1,0,2,3,20,9.4,+4
26,18,2014-12-17,27-243,IND,@,LAC,L (-2),0,35:11,6,14,.429,2,8,.250,3,5,.600,0,3,3,3,1,0,0,3,17,11.6,+6
27,19,2014-12-20,27-246,IND,@,DEN,L (-3),0,31:50,6,19,.316,2,8,.250,2,2,1.000,1,4,5,0,2,1,1,2,16,7.9,+1
28,20,2014-12-21,27-247,IND,@,MIN,W (+4),0,31:35,10,18,.556,4,11,.364,4,5,.800,2,4,6,0,0,0,0,3,28,20.4,+1
29,21,2014-12-23,27-249,IND,,NOP,W (+12),0,27:18,4,13,.308,1,5,.200,2,2,1.000,0,6,6,2,2,1,1,2,11,7.6,+18
30,22,2014-12-26,27-252,IND,@,DET,L (-10),0,18:16,1,4,.250,1,3,.333,0,0,,0,3,3,1,0,0,1,0,3,1.2,-9
31,,2014-12-27,27-253,IND,,BRK,W (+25),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
32,23,2014-12-29,27-255,IND,,CHI,L (-2),0,23:47,4,11,.364,2,3,.667,1,2,.500,0,3,3,1,0,0,0,2,11,5.3,+15
33,24,2014-12-31,27-257,IND,,MIA,W (+11),0,33:32,6,16,.375,5,10,.500,8,10,.800,0,7,7,4,1,1,1,1,25,20.6,+11
34,25,2015-01-02,27-259,IND,@,MIL,W (+3),0,32:25,8,14,.571,6,9,.667,0,1,.000,0,4,4,1,0,2,1,1,22,16.9,0
35,26,2015-01-04,27-261,IND,@,LAL,L (-1),0,31:43,7,18,.389,3,9,.333,2,4,.500,1,1,2,0,2,0,1,3,19,9.2,-7
36,27,2015-01-05,27-262,IND,@,UTA,W (+4),0,26:38,4,12,.333,3,7,.429,2,2,1.000,0,6,6,1,1,0,0,2,13,8.9,+5
37,28,2015-01-07,27-264,IND,@,GSW,L (-15),1,34:47,4,15,.267,3,10,.300,2,2,1.000,0,0,0,1,1,0,3,5,13,0.8,-14
38,29,2015-01-09,27-266,IND,,BOS,W (+4),0,36:58,4,11,.364,4,8,.500,5,6,.833,1,3,4,0,0,0,1,1,17,10.7,+19
39,30,2015-01-10,27-267,IND,@,PHI,L (-1),0,3:55,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,1.6,-2
40,31,2015-01-13,27-270,IND,,MIN,L (-9),1,31:21,8,18,.444,2,10,.200,4,4,1.000,0,5,5,0,1,1,0,2,22,15.0,-9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,32,2015-01-16,27-273,IND,,DET,L (-2),0,26:36,3,10,.300,0,3,.000,0,0,,0,4,4,3,3,0,1,3,6,4.3,+2
42,33,2015-01-17,27-274,IND,@,CHO,L (-9),0,21:30,2,13,.154,0,8,.000,1,1,1.000,2,3,5,0,0,0,2,1,5,-3.4,-3
43,34,2015-01-19,27-276,IND,@,HOU,L (-12),0,33:04,9,18,.500,4,11,.364,1,1,1.000,0,6,6,2,5,0,1,0,23,21.2,+3
44,35,2015-01-21,27-278,IND,@,ATL,L (-19),0,27:09,7,15,.467,2,8,.250,2,2,1.000,0,3,3,2,1,0,1,3,18,11.4,+1
45,36,2015-01-23,27-280,IND,@,MIA,L (-2),1,6:32,3,6,.500,1,3,.333,1,1,1.000,0,0,0,1,0,0,0,0,8,5.7,-6
46,,2015-01-25,27-282,IND,,ORL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2015-01-27,27-284,IND,,TOR,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,37,2015-01-29,27-286,IND,,NYK,W (+21),0,12:41,2,6,.333,1,4,.250,0,0,,0,1,1,0,0,0,0,2,5,1.1,+10
49,38,2015-01-31,27-288,IND,,SAC,L (-5),0,29:35,6,16,.375,1,9,.111,4,4,1.000,1,1,2,2,1,1,0,3,17,11.1,+3
50,39,2015-02-04,27-292,IND,,DET,W (+5),1,26:40,4,7,.571,4,6,.667,3,4,.750,0,3,3,1,3,0,2,0,15,13.9,+11
51,40,2015-02-06,27-294,IND,,CLE,W (+4),1,32:07,8,16,.500,4,10,.400,6,8,.750,0,4,4,3,2,0,1,1,26,21.1,+10
52,41,2015-02-08,27-296,IND,@,CHO,W (+1),1,23:58,1,5,.200,0,2,.000,0,0,,0,1,1,1,0,0,1,1,2,-1.5,+4
53,42,2015-02-09,27-297,IND,,SAS,L (-2),1,32:16,5,14,.357,1,7,.143,2,2,1.000,0,2,2,0,1,2,1,3,13,6.0,0
54,43,2015-02-11,27-299,IND,@,NOP,W (+13),1,22:52,4,11,.364,0,4,.000,1,1,1.000,0,3,3,0,1,0,2,1,9,2.4,+27
55,44,2015-02-20,27-308,IND,@,PHI,W (+11),1,24:54,6,12,.500,2,7,.286,3,3,1.000,0,3,3,1,2,0,0,2,17,13.8,+10
56,45,2015-02-22,27-310,IND,,GSW,W (+6),1,29:42,5,11,.455,3,6,.500,0,0,,0,9,9,0,0,2,1,2,13,9.6,-4
57,46,2015-02-24,27-312,IND,@,OKC,L (-13),1,27:05,9,14,.643,2,5,.400,1,1,1.000,1,1,2,0,1,0,2,2,21,14.0,-2
58,47,2015-02-27,27-315,IND,,CLE,W (+7),1,32:33,4,7,.571,2,3,.667,3,4,.750,0,2,2,0,1,1,0,2,13,10.8,+9
59,48,2015-03-01,27-317,IND,,PHI,W (+20),0,29:21,2,10,.200,1,5,.200,2,3,.667,0,2,2,2,2,0,0,0,7,4.4,+13
60,49,2015-03-04,27-320,IND,,NYK,W (+23),1,21:02,4,9,.444,3,6,.500,5,5,1.000,0,1,1,0,2,1,0,1,16,13.9,+12
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,50,2015-03-06,27-322,IND,,CHI,W (+14),1,26:21,4,12,.333,2,8,.250,0,0,,1,1,2,0,0,0,0,0,10,4.2,+18
62,51,2015-03-07,27-323,IND,@,NYK,W (+6),1,19:46,3,12,.250,1,5,.200,0,0,,0,0,0,1,1,0,1,3,7,-0.7,0
63,,2015-03-10,27-326,IND,,ORL,W (+32),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,52,2015-03-12,27-328,IND,,MIL,W (+6),1,30:12,5,9,.556,4,7,.571,0,0,,0,3,3,3,0,0,0,3,14,11.5,+1
65,53,2015-03-14,27-330,IND,,BOS,L (-4),1,29:34,5,13,.385,3,5,.600,0,0,,1,3,4,1,0,0,3,3,13,4.0,+8
66,54,2015-03-16,27-332,IND,,TOR,L (-19),1,25:14,4,12,.333,1,7,.143,3,4,.750,0,2,2,1,2,1,0,3,12,7.6,-21
67,55,2015-03-18,27-334,IND,@,CHI,L (-17),1,30:00,4,10,.400,2,7,.286,0,0,,0,5,5,0,0,1,0,3,10,5.6,-8
68,56,2015-03-20,27-336,IND,@,CLE,L (-3),1,23:17,3,10,.300,1,5,.200,1,1,1.000,0,2,2,0,1,1,0,2,8,3.7,+3
69,57,2015-03-21,27-337,IND,,BRK,L (-12),1,33:22,5,11,.455,4,8,.500,0,0,,0,6,6,0,0,0,2,1,14,7.7,-9
70,58,2015-03-23,27-339,IND,,HOU,L (-10),1,32:11,3,16,.188,0,8,.000,0,0,,0,2,2,3,0,0,1,2,6,-3.1,-9
71,59,2015-03-25,27-341,IND,@,WAS,W (+2),1,30:55,5,10,.500,3,8,.375,3,4,.750,1,0,1,0,1,0,0,3,16,11.1,+11
72,60,2015-03-26,27-342,IND,@,MIL,L (-4),1,32:11,7,14,.500,4,8,.500,8,10,.800,1,2,3,1,1,0,2,3,26,18.0,-4
73,61,2015-03-29,27-345,IND,,DAL,W (+5),1,28:07,9,12,.750,5,6,.833,5,6,.833,0,4,4,1,1,0,2,2,28,22.9,+2
74,62,2015-03-31,27-347,IND,@,BRK,L (-5),1,6:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-7
75,63,2015-04-01,27-348,IND,@,BOS,L (-13),1,29:18,5,11,.455,1,4,.250,1,1,1.000,0,3,3,0,2,1,2,3,12,6.7,-13
76,64,2015-04-03,27-350,IND,,CHO,W (+19),1,28:20,4,12,.333,1,4,.250,3,3,1.000,1,5,6,0,0,2,1,2,12,7.0,+9
77,65,2015-04-05,27-352,IND,,MIA,W (+23),1,25:38,6,13,.462,5,10,.500,0,0,,0,1,1,2,0,1,2,2,17,9.9,+5
78,66,2015-04-08,27-355,IND,@,NYK,W (+16),1,28:01,5,14,.357,1,5,.200,2,2,1.000,0,4,4,2,1,0,1,2,13,7.0,+14
79,67,2015-04-10,27-357,IND,@,DET,W (+4),1,27:34,9,17,.529,5,9,.556,1,2,.500,0,5,5,2,0,0,2,1,24,15.8,+6
80,68,2015-04-12,27-359,IND,,OKC,W (+12),1,35:58,9,14,.643,6,8,.750,6,8,.750,0,10,10,3,1,0,0,0,30,29.1,+23
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,69,2015-04-14,27-361,IND,,WAS,W (+4),1,42:07,9,22,.409,4,13,.308,3,4,.750,0,8,8,0,0,1,2,2,25,13.1,+12
82,70,2015-04-15,27-362,IND,@,MEM,L (-12),1,33:17,10,22,.455,5,12,.417,1,1,1.000,0,2,2,0,2,1,0,2,26,17.1,-11
