<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,POR,NBA,PG,10,0,38,10,24,.417,2,4,.500,8,20,.400,.458,4,7,.571,1,1,2,5,0,0,4,6,26
2010-11,22,POR,NBA,PG,64,0,783,135,328,.412,47,133,.353,88,195,.451,.483,36,47,.766,19,32,51,109,27,1,62,63,353
2011-12,23,SAS,NBA,PG,16,3,261,63,130,.485,24,56,.429,39,74,.527,.577,15,15,1.000,4,24,28,39,10,1,26,14,165
2012-13,24,SAS,NBA,PG,58,2,656,113,241,.469,52,130,.400,61,111,.550,.577,16,19,.842,9,41,50,62,26,4,39,55,294
2013-14,25,SAS,NBA,PG,81,2,1527,309,666,.464,135,318,.425,174,348,.500,.565,73,82,.890,34,135,169,149,68,9,63,114,826
2014-15,26,SAS,NBA,PG,51,0,801,128,336,.381,62,182,.341,66,154,.429,.473,33,40,.825,21,54,75,87,28,2,35,58,351
2015-16,27,SAS,NBA,PG,19,0,403,64,143,.448,31,76,.408,33,67,.493,.556,1,2,.500,4,32,36,40,22,2,19,24,160
Career,,,NBA,,299,7,4469,822,1868,.440,353,899,.393,469,969,.484,.535,178,212,.840,92,319,411,491,181,19,248,334,2175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,225,7,3648,677,1516,.447,304,762,.399,373,754,.495,.547,138,158,.873,72,286,358,377,154,18,182,265,1796
2 seasons,,POR,NBA,,74,0,821,145,352,.412,49,137,.358,96,215,.447,.482,40,54,.741,20,33,53,114,27,1,66,69,379
