<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1998-99,21,PHI,NBA,C,26,0,121,15,42,.357,0,0,,15,42,.357,.357,12,21,.571,18,19,37,2,5,4,12,22,42
1999-00,22,PHI,NBA,C,28,3,190,21,54,.389,0,0,,21,54,.389,.389,12,22,.545,16,34,50,2,4,12,18,29,54
2000-01,23,TOT,NBA,C,58,22,912,176,369,.477,0,1,.000,176,368,.478,.477,89,126,.706,115,192,307,19,29,35,64,113,441
2000-01,23,PHI,NBA,C,30,3,196,41,88,.466,0,0,,41,88,.466,.466,14,28,.500,18,37,55,2,6,7,9,40,96
2000-01,23,ATL,NBA,C,28,19,716,135,281,.480,0,1,.000,135,280,.482,.480,75,98,.765,97,155,252,17,23,28,55,73,345
2001-02,24,ATL,NBA,C,82,73,2168,329,713,.461,0,1,.000,329,712,.462,.461,137,222,.617,242,409,651,33,63,61,118,252,795
2002-03,25,ATL,NBA,C,35,0,445,67,159,.421,0,0,,67,159,.421,.421,26,41,.634,47,82,129,6,16,21,25,79,160
2003-04,26,TOT,NBA,C,80,24,1611,246,472,.521,0,0,,246,472,.521,.521,100,169,.592,178,296,474,36,55,52,96,195,592
2003-04,26,ATL,NBA,C,53,1,938,138,280,.493,0,0,,138,280,.493,.493,69,110,.627,101,166,267,20,22,27,55,113,345
2003-04,26,NYK,NBA,C,27,23,673,108,192,.563,0,0,,108,192,.563,.563,31,59,.525,77,130,207,16,33,25,41,82,247
2004-05,27,TOT,NBA,C,77,59,1933,289,602,.480,0,1,.000,289,601,.481,.480,153,227,.674,247,339,586,34,58,86,108,236,731
2004-05,27,NYK,NBA,C,54,54,1519,234,460,.509,0,1,.000,234,459,.510,.509,121,171,.708,169,270,439,26,53,53,81,172,589
2004-05,27,SAS,NBA,C,23,5,414,55,142,.387,0,0,,55,142,.387,.387,32,56,.571,78,69,147,8,5,33,27,64,142
2005-06,28,SAS,NBA,C,80,30,1389,190,377,.504,0,0,,190,377,.504,.504,113,144,.785,163,255,418,40,21,49,91,220,493
2006-07,29,DET,NBA,C,51,33,773,118,222,.532,0,0,,118,222,.532,.532,50,82,.610,89,140,229,9,27,40,43,133,286
2007-08,30,TOT,NBA,C,82,29,1650,272,528,.515,0,1,.000,272,527,.516,.515,95,163,.583,194,300,494,72,45,60,101,230,639
2007-08,30,DET,NBA,C,21,0,228,28,59,.475,0,1,.000,28,58,.483,.475,13,30,.433,29,44,73,6,7,8,11,36,69
2007-08,30,CHA,NBA,C,61,29,1422,244,469,.520,0,0,,244,469,.520,.520,82,133,.617,165,256,421,66,38,52,90,194,570
2008-09,31,CHA,NBA,C,39,1,341,41,101,.406,0,0,,41,101,.406,.406,22,40,.550,35,44,79,8,5,16,23,63,104
2009-10,32,CHA,NBA,C,58,29,984,189,342,.553,0,0,,189,342,.553,.553,81,125,.648,114,190,304,28,15,43,53,105,459
2010-11,33,TOT,NBA,C,75,37,1280,234,448,.522,0,1,.000,234,447,.523,.522,67,112,.598,140,228,368,23,30,56,70,184,535
2010-11,33,CHA,NBA,C,51,30,851,159,317,.502,0,1,.000,159,316,.503,.502,52,88,.591,94,158,252,17,14,46,51,121,370
2010-11,33,OKC,NBA,C,24,7,429,75,131,.573,0,0,,75,131,.573,.573,15,24,.625,46,70,116,6,16,10,19,63,165
2011-12,34,OKC,NBA,C,63,1,692,79,169,.467,0,1,.000,79,168,.470,.467,13,23,.565,59,111,170,14,20,37,26,101,171
2012-13,35,CHI,NBA,C,63,12,693,66,180,.367,0,2,.000,66,178,.371,.367,34,47,.723,73,122,195,26,21,32,24,97,166
2013-14,36,CHI,NBA,C,80,1,562,54,126,.429,0,0,,54,126,.429,.429,16,30,.533,66,109,175,20,14,30,37,77,124
2014-15,37,CHI,NBA,C,23,0,128,13,30,.433,0,0,,13,30,.433,.433,1,3,.333,11,27,38,3,4,5,7,16,27
Career,,,NBA,,1000,354,15872,2399,4934,.486,0,8,.000,2399,4926,.487,.486,1021,1597,.639,1807,2897,4704,375,432,639,916,2152,5819
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CHA,NBA,,209,89,3598,633,1229,.515,0,1,.000,633,1228,.515,.515,237,386,.614,408,648,1056,119,72,157,217,483,1503
4 seasons,,ATL,NBA,,198,93,4267,669,1433,.467,0,2,.000,669,1431,.468,.467,307,471,.652,487,812,1299,76,124,137,253,517,1645
3 seasons,,CHI,NBA,,166,13,1383,133,336,.396,0,2,.000,133,334,.398,.396,51,80,.638,150,258,408,49,39,67,68,190,317
2 seasons,,SAS,NBA,,103,35,1803,245,519,.472,0,0,,245,519,.472,.472,145,200,.725,241,324,565,48,26,82,118,284,635
2 seasons,,OKC,NBA,,87,8,1121,154,300,.513,0,1,.000,154,299,.515,.513,28,47,.596,105,181,286,20,36,47,45,164,336
3 seasons,,PHI,NBA,,84,6,507,77,184,.418,0,0,,77,184,.418,.418,38,71,.535,52,90,142,6,15,23,39,91,192
2 seasons,,NYK,NBA,,81,77,2192,342,652,.525,0,1,.000,342,651,.525,.525,152,230,.661,246,400,646,42,86,78,122,254,836
2 seasons,,DET,NBA,,72,33,1001,146,281,.520,0,1,.000,146,280,.521,.520,63,112,.563,118,184,302,15,34,48,54,169,355
