<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,25-057,PHO,,LAL,W (+20),1,29:07,8,14,.571,5,9,.556,0,0,,1,0,1,1,1,0,1,2,21,15.0,+36
2,2,2014-10-31,25-059,PHO,,SAS,W (+5),1,22:19,2,8,.250,0,4,.000,0,0,,0,3,3,2,1,1,0,2,4,2.4,-12
3,3,2014-11-01,25-060,PHO,@,UTA,L (-27),1,21:53,5,8,.625,2,5,.400,0,0,,0,1,1,1,0,0,1,2,12,7.6,-22
4,4,2014-11-04,25-063,PHO,@,LAL,W (+6),1,34:05,4,10,.400,1,3,.333,3,4,.750,0,6,6,4,0,0,3,5,12,5.8,+8
5,5,2014-11-05,25-064,PHO,,MEM,L (-11),1,21:30,2,5,.400,0,2,.000,0,0,,0,1,1,1,1,0,2,2,4,0.5,-11
6,6,2014-11-07,25-066,PHO,,SAC,L (-2),1,41:19,3,12,.250,1,3,.333,2,2,1.000,1,6,7,2,0,1,0,2,9,5.6,+8
7,7,2014-11-09,25-068,PHO,,GSW,W (+12),1,33:20,6,14,.429,3,8,.375,2,2,1.000,3,6,9,0,0,0,1,4,17,10.9,+15
8,8,2014-11-12,25-071,PHO,,BRK,W (+8),1,22:10,3,7,.429,0,1,.000,0,0,,2,2,4,0,2,1,0,4,6,5.4,-5
9,9,2014-11-14,25-073,PHO,,CHO,L (-8),1,28:00,6,12,.500,2,6,.333,3,4,.750,1,6,7,2,0,0,0,6,17,12.1,+2
10,10,2014-11-15,25-074,PHO,@,LAC,L (-13),1,18:09,1,10,.100,1,3,.333,0,0,,2,1,3,2,0,0,0,2,3,-1.3,-20
11,11,2014-11-17,25-076,PHO,@,BOS,W (+4),1,31:31,5,8,.625,3,5,.600,0,2,.000,1,4,5,7,1,0,2,4,13,12.8,+13
12,12,2014-11-19,25-078,PHO,@,DET,W (+2),1,22:21,2,7,.286,1,3,.333,0,0,,1,0,1,1,1,0,0,0,5,3.3,-1
13,13,2014-11-21,25-080,PHO,@,PHI,W (+26),1,17:42,4,9,.444,3,6,.500,0,0,,0,4,4,0,0,0,1,1,11,6.1,+4
14,14,2014-11-22,25-081,PHO,@,IND,W (+23),1,15:16,2,8,.250,1,1,1.000,1,1,1.000,0,0,0,0,0,2,0,1,6,2.2,+6
15,15,2014-11-24,25-083,PHO,@,TOR,L (-4),1,18:48,2,7,.286,1,4,.250,0,0,,1,1,2,0,0,0,2,3,5,-1.3,-3
16,16,2014-11-26,25-085,PHO,,DEN,W (+8),1,31:50,5,9,.556,2,3,.667,2,4,.500,0,5,5,1,0,0,1,2,14,9.3,+3
17,17,2014-11-28,25-087,PHO,@,DEN,L (-25),1,14:04,3,4,.750,0,1,.000,2,2,1.000,1,3,4,1,0,0,0,4,8,7.1,-20
18,18,2014-11-30,25-089,PHO,,ORL,L (-3),1,20:01,1,6,.167,0,1,.000,2,4,.500,1,4,5,1,0,0,0,0,4,2.0,-6
19,19,2014-12-02,25-091,PHO,,IND,W (+17),0,23:09,3,5,.600,0,0,,1,2,.500,0,6,6,0,0,0,1,4,7,3.5,0
