<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,TOT,NBA,C,45,14,524,63,133,.474,0,0,,63,133,.474,.474,37,52,.712,46,75,121,15,15,25,35,84,163
2010-11,24,NYK,NBA,C,34,14,458,52,112,.464,0,0,,52,112,.464,.464,31,44,.705,41,63,104,15,14,23,32,76,135
2010-11,24,DEN,NBA,C,11,0,66,11,21,.524,0,0,,11,21,.524,.524,6,8,.750,5,12,17,0,1,2,3,8,28
2011-12,25,DEN,NBA,C,44,35,687,100,190,.526,0,0,,100,190,.526,.526,39,57,.684,53,126,179,22,15,42,53,86,239
2012-13,26,DEN,NBA,C,41,1,366,44,87,.506,0,2,.000,44,85,.518,.506,20,26,.769,50,57,107,9,6,18,25,57,108
2013-14,27,DEN,NBA,C,82,30,1770,285,545,.523,4,24,.167,281,521,.539,.527,196,260,.754,171,357,528,62,27,100,122,213,770
2014-15,28,TOT,NBA,C,81,80,2045,314,566,.555,2,6,.333,312,560,.557,.557,155,216,.718,203,388,591,55,33,97,116,227,785
2014-15,28,DEN,NBA,C,35,35,897,117,232,.504,2,6,.333,115,226,.509,.509,63,86,.733,91,181,272,16,15,41,47,114,299
2014-15,28,CLE,NBA,C,46,45,1148,197,334,.590,0,0,,197,334,.590,.590,92,130,.708,112,207,319,39,18,56,69,113,486
2015-16,29,CLE,NBA,C,15,15,295,37,83,.446,1,4,.250,36,79,.456,.452,30,38,.789,22,44,66,8,6,14,24,31,105
Career,,,NBA,,308,175,5687,843,1604,.526,7,36,.194,836,1568,.533,.528,477,649,.735,545,1047,1592,171,102,296,375,698,2170
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,213,101,3786,557,1075,.518,6,32,.188,551,1043,.528,.521,324,437,.741,370,733,1103,109,64,203,250,478,1444
2 seasons,,CLE,NBA,,61,60,1443,234,417,.561,1,4,.250,233,413,.564,.562,122,168,.726,134,251,385,47,24,70,93,144,591
1 season,,NYK,NBA,,34,14,458,52,112,.464,0,0,,52,112,.464,.464,31,44,.705,41,63,104,15,14,23,32,76,135
