<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-350,MIN,@,MEM,L (-4),0,22:35,5,10,.500,1,2,.500,2,4,.500,3,4,7,1,1,0,1,1,13,10.8,+4
2,2,2014-10-30,21-351,MIN,,DET,W (+6),0,12:15,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1,-0.5,0
3,3,2014-11-01,21-353,MIN,,CHI,L (-1),0,5:31,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-1.8,-4
4,4,2014-11-05,21-357,MIN,@,BRK,W (+7),0,5:45,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,0,1,4,4.0,-8
5,5,2014-11-07,21-359,MIN,@,ORL,L (-9),0,11:07,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,2,1,4,0.6,+1
6,6,2014-11-08,21-360,MIN,@,MIA,L (-10),0,11:15,6,11,.545,1,1,1.000,0,2,.000,2,0,2,0,0,0,0,1,13,7.9,+7
7,7,2014-11-12,21-364,MIN,,HOU,L (-12),0,14:23,3,6,.500,0,0,,3,6,.500,1,0,1,0,0,0,0,0,9,5.5,-11
8,8,2014-11-14,22-001,MIN,@,NOP,L (-48),0,15:30,3,6,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,1,7,3.2,-13
9,9,2014-11-15,22-002,MIN,@,DAL,L (-14),0,13:42,6,7,.857,1,1,1.000,5,5,1.000,2,2,4,2,0,0,2,1,18,16.5,+10
10,10,2014-11-19,22-006,MIN,,NYK,W (+16),1,32:08,6,15,.400,0,1,.000,5,6,.833,4,4,8,1,0,1,2,4,17,10.3,+13
11,11,2014-11-21,22-008,MIN,,SAS,L (-29),1,16:50,1,7,.143,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-3.6,-22
