<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22,ORL,NBA,PG,79,21,1612,286,628,.455,44,141,.312,242,487,.497,.490,73,107,.682,52,141,193,237,78,3,117,199,689
2005-06,23,ORL,NBA,PG,62,33,1784,347,719,.483,70,165,.424,277,554,.500,.531,141,181,.779,39,141,180,302,70,9,148,174,905
2006-07,24,ORL,NBA,PG,77,77,2331,376,875,.430,65,194,.335,311,681,.457,.467,183,221,.828,50,186,236,330,73,5,184,225,1000
2007-08,25,ORL,NBA,PG,69,62,1961,283,603,.469,64,154,.416,219,449,.488,.522,125,151,.828,28,215,243,383,63,4,141,167,755
2008-09&nbsp;★,26,ORL,NBA,PG,42,42,1309,267,531,.503,82,181,.453,185,350,.529,.580,86,97,.887,20,125,145,226,51,3,83,123,702
2009-10,27,ORL,NBA,PG,65,64,1860,317,706,.449,86,226,.381,231,480,.481,.510,98,116,.845,26,168,194,353,48,2,139,147,818
2010-11,28,ORL,NBA,PG,76,76,2319,374,838,.446,119,297,.401,255,541,.471,.517,130,162,.802,37,189,226,456,75,3,194,209,997
2011-12,29,ORL,NBA,PG,57,57,1706,259,606,.427,87,231,.377,172,375,.459,.499,71,88,.807,29,152,181,325,38,5,135,130,676
2012-13,30,ORL,NBA,PG,56,56,1977,306,780,.392,121,355,.341,185,425,.435,.470,89,102,.873,23,186,209,413,71,6,154,161,822
2013-14,31,ORL,NBA,PG,68,68,2179,294,747,.394,136,391,.348,158,356,.444,.485,96,112,.857,29,202,231,476,52,5,166,146,820
2014-15,32,TOT,NBA,PG,63,29,1407,205,504,.407,89,258,.345,116,246,.472,.495,24,36,.667,33,113,146,253,47,6,109,136,523
2014-15,32,DAL,NBA,PG,23,23,584,61,163,.374,38,103,.369,23,60,.383,.491,7,8,.875,14,49,63,95,15,2,39,53,167
2014-15,32,BOS,NBA,PG,6,1,121,9,41,.220,5,25,.200,4,16,.250,.280,6,9,.667,3,14,17,33,7,0,9,13,29
2014-15,32,DEN,NBA,PG,34,5,702,135,300,.450,46,130,.354,89,170,.524,.527,11,19,.579,16,50,66,125,25,4,61,70,327
2015-16,33,DEN,NBA,PG,17,0,398,45,129,.349,14,57,.246,31,72,.431,.403,10,13,.769,4,32,36,68,10,0,28,47,114
Career,,,NBA,,731,585,20843,3359,7666,.438,977,2650,.369,2382,5016,.475,.502,1126,1386,.812,370,1850,2220,3822,676,51,1598,1864,8821
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,ORL,NBA,,651,556,19038,3109,7033,.442,874,2335,.374,2235,4698,.476,.504,1092,1337,.817,333,1705,2038,3501,619,45,1461,1681,8184
2 seasons,,DEN,NBA,,51,5,1100,180,429,.420,60,187,.321,120,242,.496,.490,21,32,.656,20,82,102,193,35,4,89,117,441
1 season,,DAL,NBA,,23,23,584,61,163,.374,38,103,.369,23,60,.383,.491,7,8,.875,14,49,63,95,15,2,39,53,167
1 season,,BOS,NBA,,6,1,121,9,41,.220,5,25,.200,4,16,.250,.280,6,9,.667,3,14,17,33,7,0,9,13,29
