<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,36-131,DAL,@,SAS,L (-1),1,31:40,7,11,.636,0,1,.000,4,4,1.000,2,4,6,2,1,0,1,4,18,15.5,-2
2,2,2014-10-30,36-133,DAL,,UTA,W (+18),1,23:31,9,13,.692,2,4,.500,1,2,.500,0,3,3,1,1,1,1,2,21,16.6,+12
3,3,2014-11-01,36-135,DAL,@,NOP,W (+5),1,29:46,8,19,.421,0,5,.000,1,2,.500,0,6,6,3,0,1,4,5,17,5.1,+14
4,4,2014-11-03,36-137,DAL,,BOS,W (+5),1,29:33,9,14,.643,4,4,1.000,5,6,.833,1,6,7,4,0,0,1,3,27,23.5,-2
5,5,2014-11-06,36-140,DAL,@,POR,L (-21),1,27:04,6,17,.353,2,7,.286,3,3,1.000,0,3,3,1,0,0,2,3,17,5.9,-14
6,6,2014-11-07,36-141,DAL,@,UTA,W (+23),1,28:08,11,18,.611,5,8,.625,0,0,,0,10,10,2,1,0,0,3,27,23.0,+28
7,7,2014-11-09,36-143,DAL,,MIA,L (-9),1,29:52,6,15,.400,2,3,.667,3,4,.750,0,6,6,3,1,1,1,0,17,13.1,-11
8,8,2014-11-11,36-145,DAL,,SAC,W (+8),1,34:25,7,12,.583,2,3,.667,7,8,.875,0,7,7,3,0,1,2,2,23,19.1,+9
9,9,2014-11-13,36-147,DAL,,PHI,W (+53),1,20:09,7,8,.875,1,2,.500,6,7,.857,0,3,3,4,0,0,1,1,21,20.1,+33
10,10,2014-11-15,36-149,DAL,,MIN,W (+14),1,22:35,6,9,.667,1,3,.333,2,2,1.000,0,3,3,1,0,0,0,1,15,12.3,+18
11,11,2014-11-17,36-151,DAL,@,CHO,W (+27),1,25:21,6,14,.429,1,5,.200,0,0,,0,5,5,1,0,1,1,3,13,6.3,+19
12,12,2014-11-19,36-153,DAL,@,WAS,W (+3),1,27:46,4,12,.333,3,4,.750,2,2,1.000,0,4,4,2,1,0,0,3,13,8.6,+10
13,13,2014-11-21,36-155,DAL,,LAL,W (+34),1,21:24,8,10,.800,2,2,1.000,5,6,.833,0,2,2,2,0,1,0,0,23,21.5,+6
14,14,2014-11-22,36-156,DAL,@,HOU,L (-3),1,30:58,4,18,.222,0,8,.000,3,4,.750,2,5,7,2,0,2,0,2,11,4.5,-5
15,15,2014-11-24,36-158,DAL,,IND,L (-11),1,33:24,9,17,.529,2,4,.500,2,2,1.000,1,10,11,1,0,1,1,1,22,17.4,-17
16,16,2014-11-26,36-160,DAL,,NYK,W (+7),1,38:47,11,24,.458,1,8,.125,7,7,1.000,0,6,6,2,3,0,0,3,30,22.6,+9
17,17,2014-11-28,36-162,DAL,@,TOR,W (+4),1,32:16,6,19,.316,1,7,.143,2,3,.667,0,8,8,1,0,1,0,2,15,6.7,-13
18,,2014-11-29,36-163,DAL,,PHI,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,18,2014-12-02,36-166,DAL,@,CHI,W (+3),1,42:02,8,22,.364,2,6,.333,4,4,1.000,1,6,7,10,0,0,1,4,22,16.7,+18
