<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,20-067,DEN,,DET,W (+10),0,12:58,2,4,.500,0,0,,1,2,.500,1,6,7,0,0,0,1,3,5,2.9,+1
2,2,2014-11-01,20-070,DEN,@,OKC,L (-11),0,5:36,1,2,.500,0,0,,0,0,,0,2,2,1,0,1,1,3,2,0.8,-2
3,3,2014-11-03,20-072,DEN,,SAC,L (-5),0,7:45,1,5,.200,0,0,,1,2,.500,3,2,5,0,0,1,3,3,3,-1.3,-1
4,4,2014-11-05,20-074,DEN,@,SAC,L (-22),0,12:34,2,4,.500,0,0,,2,3,.667,1,4,5,2,0,2,2,6,6,3.9,+7
5,5,2014-11-07,20-076,DEN,,CLE,L (-9),0,16:35,5,6,.833,0,0,,0,2,.000,3,1,4,0,1,0,2,3,10,7.2,+10
6,,2014-11-09,20-078,DEN,,POR,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6,2014-11-12,20-081,DEN,,POR,L (-17),0,6:38,1,4,.250,0,0,,4,4,1.000,2,3,5,1,0,0,1,1,6,5.2,+5
8,7,2014-11-14,20-083,DEN,@,IND,W (+21),0,5:07,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-4
9,,2014-11-16,20-085,DEN,,NYK,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2014-11-17,20-086,DEN,,CLE,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2014-11-19,20-088,DEN,,OKC,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8,2014-11-21,20-090,DEN,,NOP,W (+20),0,3:42,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-0.5,-4
