<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Charles O'Bannon,1998,1999,G-F,6-5,209,February 22 1975,University of California Los Angeles
Ed O'Bannon,1996,1997,F,6-8,222,August 14 1972,University of California Los Angeles
John O'Boyle,1953,1953,G,6-2,185,March 7 1928,Colorado State University
Bob O'Brien,1948,1949,F,6-4,190,January 26 1927,Pepperdine University
Jim O'Brien,1974,1975,F,6-7,200,November 7 1951,University of Maryland
Jimmy O'Brien,1972,1975,G,6-1,170,April 9 1949,Boston College
Ralph O'Brien,1952,1953,G,5-9,160,April 8 1928,Butler University
Johnny O'Bryant,2015,2016,F-C,6-9,257,June 1 1993,Louisiana State University
Patrick O'Bryant,2007,2010,C,7-0,260,June 20 1986,Bradley University
Dermie O'Connell,1949,1950,G,6-0,174,April 13 1928,College of the Holy Cross
Andy O'Donnell,1950,1950,G,6-1,180,March 10 1925,Loyola College in Maryland
Buddy O'Grady,1947,1949,G,5-11,160,January 19 1920,Georgetown University
Francis O'Hanlon,1971,1971,G,6-1,175,August 24 1948,Villanova University
Dick O'Keefe,1948,1951,G-F,6-2,185,September 29 1923,Santa Clara University
Tommy O'Keefe,1951,1951,G,6-2,185,June 3 1928,Georgetown University
Mike O'Koren,1981,1988,F-G,6-7,207,February 7 1958,University of North Carolina
Grady O'Malley,1970,1970,F,6-5,205,April 25 1948,Manhattan College
Jermaine O'Neal,1997,2014,F-C,6-11,226,October 13 1978,
Shaquille O'Neal,1993,2011,C,7-1,325,March 6 1972,Louisiana State University
Mike O'Neill,1953,1953,F,6-3,210,,University of California
Kyle O'Quinn,2013,2016,C,6-10,250,March 26 1990,Norfolk State University
Kevin O'Shea,1951,1953,G,6-2,175,July 10 1925,University of Notre Dame
Garland O'Shields,1947,1947,G-F,6-1,195,May 23 1921,University of Tennessee
Dan O'Sullivan,1991,1996,C,6-10,250,March 3 1968,Fordham University
Charles Oakley,1986,2004,F-C,6-8,225,December 18 1963,Virginia Union University
Fabricio Oberto,2006,2011,F,6-10,245,March 21 1975,
Greg Oden,2009,2014,C,7-0,250,January 22 1988,Ohio State University
Lamar Odom,2000,2013,F,6-10,220,November 6 1979,University of Rhode Island
Bud Ogden,1970,1971,F,6-6,215,December 29 1946,Santa Clara University
