<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,POR,NBA,C,61,39,1314,198,351,.564,0,0,,198,351,.564,.564,144,226,.637,169,255,424,31,25,69,87,238,540
2009-10,22,POR,NBA,C,21,21,502,92,152,.605,0,0,,92,152,.605,.605,49,64,.766,64,114,178,19,8,48,39,84,233
2010-11,23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2011-12,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2012-13,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,26,MIA,NBA,C,23,6,212,27,49,.551,0,0,,27,49,.551,.551,13,23,.565,23,31,54,1,7,13,12,52,67
Career,,,NBA,,105,66,2028,317,552,.574,0,0,,317,552,.574,.574,206,313,.658,256,400,656,51,40,130,138,374,840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,POR,NBA,,82,60,1816,290,503,.577,0,0,,290,503,.577,.577,193,290,.666,233,369,602,50,33,117,126,322,773
1 season,,MIA,NBA,,23,6,212,27,49,.551,0,0,,27,49,.551,.551,13,23,.565,23,31,54,1,7,13,12,52,67
