<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,22-177,ORL,,NOP,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2014-10-30,22-179,ORL,,WAS,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2014-11-01,22-181,ORL,,TOR,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2014-11-04,22-184,ORL,,CHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-05,22-185,ORL,,PHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2014-11-07,22-187,ORL,,MIN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2014-11-09,22-189,ORL,,BRK,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2014-11-11,22-191,ORL,,TOR,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2014-11-12,22-192,ORL,,NYK,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,1,2014-11-14,22-194,ORL,,MIL,W (+16),0,25:13,3,10,.300,1,3,.333,6,8,.750,0,3,3,2,0,0,1,1,13,7.3,+22
11,2,2014-11-15,22-195,ORL,@,WAS,L (-5),1,32:00,7,18,.389,0,3,.000,4,7,.571,2,5,7,7,1,0,3,3,18,11.6,+3
12,3,2014-11-17,22-197,ORL,@,DET,W (+14),1,31:35,3,5,.600,1,1,1.000,4,5,.800,2,4,6,3,0,1,4,4,11,8.1,+9
13,4,2014-11-19,22-199,ORL,,LAC,L (-24),1,28:42,3,13,.231,0,3,.000,1,2,.500,1,3,4,4,1,0,4,3,7,-1.1,-7
14,5,2014-11-21,22-201,ORL,@,CHO,W (+5),1,24:28,4,8,.500,0,1,.000,2,2,1.000,0,0,0,2,1,0,1,1,10,7.0,-16
15,6,2014-11-22,22-202,ORL,,MIA,L (-7),1,33:57,5,11,.455,1,4,.250,3,5,.600,0,4,4,2,2,0,3,2,14,8.3,-16
16,7,2014-11-24,22-204,ORL,@,CLE,L (-32),1,35:49,8,15,.533,1,2,.500,5,6,.833,0,9,9,2,2,1,5,2,22,15.3,-18
17,8,2014-11-26,22-206,ORL,,GSW,L (-15),1,27:25,4,17,.235,2,3,.667,2,2,1.000,0,4,4,3,3,0,2,4,12,4.4,-27
18,9,2014-11-28,22-208,ORL,@,IND,L (-15),1,31:02,5,7,.714,1,1,1.000,3,4,.750,0,5,5,4,2,0,1,3,14,14.8,-11
19,10,2014-11-30,22-210,ORL,@,PHO,W (+3),1,36:44,6,11,.545,0,1,.000,0,0,,0,3,3,4,1,0,4,3,12,6.2,-6
20,11,2014-12-02,22-212,ORL,@,GSW,L (-1),1,36:27,10,14,.714,3,4,.750,4,4,1.000,0,4,4,4,3,0,4,0,27,24.2,-5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,12,2014-12-03,22-213,ORL,@,LAC,L (-28),1,25:08,2,8,.250,1,1,1.000,6,8,.750,0,1,1,0,2,1,1,3,11,6.2,-28
22,13,2014-12-05,22-215,ORL,@,UTA,W (+5),1,36:39,9,12,.750,1,1,1.000,1,2,.500,0,1,1,6,1,0,1,0,20,19.3,+13
23,14,2014-12-06,22-216,ORL,@,SAC,W (+9),1,35:54,6,15,.400,0,3,.000,4,4,1.000,1,4,5,7,0,0,3,3,16,10.5,+5
24,15,2014-12-10,22-220,ORL,,WAS,L (-2),1,28:25,7,16,.438,1,3,.333,2,2,1.000,0,6,6,3,2,0,4,0,17,10.5,-6
25,16,2014-12-12,22-222,ORL,@,ATL,L (-6),1,33:37,8,12,.667,3,3,1.000,2,4,.500,0,2,2,1,1,0,3,5,21,12.3,-2
26,17,2014-12-13,22-223,ORL,,ATL,W (+1),1,35:56,5,9,.556,3,3,1.000,2,2,1.000,1,4,5,7,2,0,6,4,15,11.9,+6
27,18,2014-12-15,22-225,ORL,@,TOR,L (-13),1,36:51,6,12,.500,0,2,.000,0,0,,1,1,2,4,0,0,4,5,12,3.8,-12
28,19,2014-12-17,22-227,ORL,@,BOS,L (-17),1,32:13,3,12,.250,1,2,.500,0,0,,1,2,3,3,1,0,2,0,7,2.2,-15
29,20,2014-12-19,22-229,ORL,,UTA,L (-7),1,32:18,1,6,.167,0,0,,0,1,.000,0,2,2,5,0,0,2,0,2,-0.1,0
30,21,2014-12-21,22-231,ORL,,PHI,L (-8),1,39:12,10,16,.625,1,5,.200,2,2,1.000,0,3,3,3,3,0,2,2,23,19.0,+10
31,22,2014-12-23,22-233,ORL,,BOS,W (+5),1,35:32,2,15,.133,0,2,.000,4,5,.800,1,3,4,6,2,0,2,4,8,2.1,+5
32,23,2014-12-26,22-236,ORL,,CLE,L (-9),1,36:33,5,14,.357,0,1,.000,3,4,.750,1,3,4,8,3,0,5,6,13,7.6,-13
33,24,2014-12-27,22-237,ORL,@,CHO,W (+8),1,37:30,6,9,.667,0,2,.000,1,2,.500,0,6,6,3,1,0,2,4,13,10.0,+1
34,25,2014-12-29,22-239,ORL,@,MIA,W (+1),1,37:00,7,12,.583,3,4,.750,5,6,.833,0,2,2,4,3,0,5,3,22,16.2,-8
35,26,2014-12-30,22-240,ORL,,DET,L (-23),1,32:22,6,14,.429,1,5,.200,3,4,.750,1,2,3,3,2,0,3,4,16,9.0,-30
36,27,2015-01-02,22-243,ORL,,BRK,L (-2),1,29:26,7,13,.538,2,2,1.000,1,1,1.000,0,3,3,3,2,0,2,2,17,12.9,-21
37,28,2015-01-03,22-244,ORL,,CHO,L (-8),1,32:22,6,14,.429,1,4,.250,8,8,1.000,0,4,4,5,4,0,1,3,21,20.1,+7
38,29,2015-01-07,22-248,ORL,@,DEN,L (-3),1,35:46,7,13,.538,0,1,.000,3,4,.750,0,1,1,6,3,0,0,2,17,17.0,-1
39,30,2015-01-09,22-250,ORL,@,LAL,L (-17),1,34:33,5,10,.500,0,0,,7,10,.700,1,1,2,3,2,0,3,3,17,11.7,-15
40,31,2015-01-10,22-251,ORL,@,POR,L (-11),1,37:41,6,21,.286,0,6,.000,6,8,.750,3,5,8,4,1,0,4,0,18,8.3,-6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,32,2015-01-12,22-253,ORL,@,CHI,W (+7),1,36:24,11,17,.647,3,4,.750,8,10,.800,0,2,2,2,1,0,0,3,33,26.5,+8
42,33,2015-01-14,22-255,ORL,,HOU,W (+7),1,38:45,12,19,.632,3,4,.750,5,6,.833,2,4,6,6,3,0,3,4,32,28.3,+6
43,34,2015-01-16,22-257,ORL,,MEM,L (-10),1,37:42,7,17,.412,2,6,.333,0,0,,1,3,4,4,1,1,2,3,16,9.8,-3
44,35,2015-01-18,22-259,ORL,,OKC,L (-28),1,35:03,7,18,.389,2,6,.333,7,7,1.000,1,2,3,5,1,0,3,3,23,14.8,-30
45,36,2015-01-21,22-262,ORL,@,DET,L (-10),1,34:18,9,18,.500,1,2,.500,4,4,1.000,0,5,5,4,1,0,2,3,23,16.1,-16
46,37,2015-01-23,22-264,ORL,@,NYK,L (-7),1,35:01,6,20,.300,0,5,.000,3,5,.600,2,0,2,3,2,0,2,1,15,5.7,+3
