<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Joe Pace,1977,1978,C,6-10,220,December 18 1953,Coppin State University
Zaza Pachulia,2004,2016,C,6-11,270,February 10 1984,
Robert Pack,1992,2004,G,6-2,180,February 3 1969,University of Southern California
Wayne Pack,1975,1975,G,6-0,165,July 5 1950,Tennessee Technological University
Gerald Paddio,1991,1994,F-G,6-7,205,April 21 1965,University of Nevada Las Vegas
Scott Padgett,2000,2007,F,6-9,240,April 19 1976,University of Kentucky
Dana Pagett,1972,1972,G,6-2,180,March 29 1949,University of Southern California
Fred Paine,1949,1949,F,6-5,210,December 7 1925,Westminster College of Pennsylvania
Milt Palacio,2000,2006,G,6-3,195,February 7 1978,Colorado State University
Togo Palazzi,1955,1960,F-G,6-4,205,August 8 1932,College of the Holy Cross
Bud Palmer,1947,1949,F-C,6-4,180,September 14 1921,Princeton University
Errol Palmer,1968,1968,F,6-5,195,,DePaul University
Jim Palmer,1959,1961,F-C,6-8,224,June 8 1933,University of Dayton
Walter Palmer,1991,1993,C-F,7-1,215,October 23 1968,Dartmouth College
Andy Panko,2001,2001,F,6-9,222,November 27 1977,Lebanon Valley College
Kostas Papanikolaou,2015,2016,F,6-8,225,July 31 1990,
Jannero Pargo,2003,2015,G,6-1,175,October 22 1979,University of Arkansas
Jeremy Pargo,2012,2013,G,6-2,219,March 17 1986,Gonzaga University
Easy Parham,1949,1951,F-G,6-3,200,December 27 1921,Texas Wesleyan University
Robert Parish*,1977,1997,C,7-0,230,August 30 1953,Centenary College of Louisiana
Med Park,1956,1960,G-F,6-2,205,April 11 1933,University of Missouri
Anthony Parker,1998,2012,G,6-6,215,June 19 1975,Bradley University
Jabari Parker,2015,2016,F,6-8,250,March 15 1995,Duke University
Smush Parker,2003,2008,G,6-4,190,June 1 1981,Fordham University
Sonny Parker,1977,1982,F-G,6-6,200,March 22 1955,Texas A&amp;M University
Tony Parker,2002,2016,G,6-2,185,May 17 1982,
Barry Parkhill,1974,1976,G,6-4,185,May 10 1951,University of Virginia
Jack Parkinson,1950,1950,G,6-0,174,March 4 1924,University of Kentucky
Charles Parks,1969,1969,F,6-5,210,,Idaho State University
Cherokee Parks,1996,2004,C-F,6-11,235,October 11 1972,Duke University
Richard Parks,1968,1968,F,6-7,235,October 28 1943,Saint Louis University
Jack Parr,1959,1959,C,6-9,220,March 13 1936,Kansas State University
Doyle Parrack,1947,1947,F-G,6-0,165,December 6 1921,Oklahoma State University
Charlie Parsley,1950,1950,G,6-2,175,October 13 1925,Western Kentucky University
Chandler Parsons,2012,2016,F,6-9,227,October 25 1988,University of Florida
Zarko Paspalj,1990,1990,F,6-9,215,March 27 1966,
Marty Passaglia,1947,1949,G,6-1,170,April 22 1919,Santa Clara University
George Pastushok,1947,1947,G,6-1,195,July 13 1922,St. John's University
Myles Patrick,1981,1981,F,6-8,220,November 19 1954,Auburn University
Stan Patrick,1950,1950,F-G,6-2,185,May 5 1922,University of Illinois at Urbana-Champaign
Andrae Patterson,1999,2000,F,6-9,238,November 12 1975,Indiana University
George Patterson,1968,1968,C-F,6-8,230,November 26 1939,University of Toledo
Lamar Patterson,2016,2016,G-F,6-5,225,August 12 1991,University of Pittsburgh
Patrick Patterson,2011,2016,F,6-9,235,March 14 1989,University of Kentucky
Ruben Patterson,1999,2008,F,6-5,224,July 31 1975,University of Cincinnati
Steve Patterson,1972,1976,C,6-9,225,June 24 1948,University of California Los Angeles
Tom Patterson,1973,1974,F,6-6,220,October 15 1948,Ouachita Baptist University
Worthy Patterson,1958,1958,G,6-2,175,June 17 1931,University of Connecticut
Chris Paul,2006,2016,G,6-0,175,May 6 1985,Wake Forest University
Charlie Paulk,1969,1972,F-C,6-8,219,June 14 1946,Northeastern State University
Jerry Paulson,1958,1958,G,6-2,185,July 21 1935,Manhattan College
Billy Paultz,1971,1985,C-F,6-11,235,July 30 1948,St. John's University
Sasha Pavlovic,2004,2013,G-F,6-8,220,November 15 1983,
Jim Paxson,1957,1958,F-G,6-6,200,December 19 1932,University of Dayton
Jim Paxson,1980,1990,G-F,6-6,200,July 9 1957,University of Dayton
John Paxson,1984,1994,G,6-2,185,September 29 1960,University of Notre Dame
Johnny Payak,1950,1953,G-F,6-4,174,November 20 1926,Bowling Green State University
Adreian Payne,2015,2016,F,6-10,237,February 19 1991,Michigan State University
Cameron Payne,2016,2016,G,6-3,185,August 8 1994,Murray State University
Kenny Payne,1990,1993,F-G,6-8,195,November 25 1966,University of Louisville
Tom Payne,1972,1972,C,7-2,240,November 19 1950,University of Kentucky
Elfrid Payton,2015,2016,G,6-4,185,February 22 1994,University of Louisiana at Lafayette
Gary Payton*,1991,2007,G,6-4,180,July 23 1968,Oregon State University
Mel Payton,1952,1953,F-G,6-4,185,July 16 1926,Tulane University
George Pearcy,1947,1947,G,6-1,165,July 2 1919,Indiana State University
Henry Pearcy,1947,1947,G,6-1,170,July 21 1922,Indiana State University
