<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,30-261,MIL,@,CHO,L (-2),0,14:28,2,5,.400,0,0,,0,0,,0,1,1,0,2,1,3,1,4,0.9,-8
2,,2014-10-31,30-263,MIL,,PHI,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2014-11-01,30-264,MIL,@,WAS,L (-11),0,14:08,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,3,1,2,-1.4,-2
4,3,2014-11-04,30-267,MIL,@,IND,W (+6),0,20:21,4,7,.571,0,0,,1,2,.500,0,3,3,3,1,1,1,4,9,7.4,-5
5,4,2014-11-05,30-268,MIL,,CHI,L (-9),0,18:26,1,5,.200,0,0,,1,1,1.000,1,2,3,3,1,0,2,2,3,1.5,+3
6,5,2014-11-07,30-270,MIL,@,DET,L (-3),0,16:57,3,3,1.000,0,0,,0,0,,1,3,4,1,2,1,1,3,6,7.9,+2
7,6,2014-11-08,30-271,MIL,,MEM,W (+1),0,14:49,2,4,.500,0,0,,0,0,,2,1,3,0,0,0,0,4,4,2.1,-2
8,7,2014-11-11,30-274,MIL,,OKC,W (+7),0,22:29,3,7,.429,0,0,,2,2,1.000,4,6,10,4,2,1,2,4,8,10.8,+13
9,8,2014-11-14,30-277,MIL,@,ORL,L (-16),0,14:54,1,3,.333,0,0,,0,0,,1,4,5,1,0,0,2,4,2,-0.7,-11
10,9,2014-11-16,30-279,MIL,@,MIA,W (+7),0,25:17,5,9,.556,0,1,.000,1,1,1.000,2,3,5,2,1,0,2,3,11,8.2,+2
11,10,2014-11-18,30-281,MIL,,NYK,W (+4),1,34:33,6,11,.545,0,0,,2,2,1.000,7,6,13,4,2,0,4,2,14,15.4,+15
12,11,2014-11-19,30-282,MIL,@,BRK,W (+4),0,28:58,2,7,.286,0,0,,0,0,,2,3,5,1,1,1,2,5,4,0.6,+3
13,12,2014-11-21,30-284,MIL,@,TOR,L (-42),0,8:38,1,3,.333,0,0,,3,4,.750,1,2,3,0,2,0,1,1,5,4.8,-2
14,13,2014-11-22,30-285,MIL,,WAS,L (-11),0,25:57,3,8,.375,0,0,,0,0,,1,6,7,2,0,1,1,2,6,4.4,0
15,14,2014-11-25,30-288,MIL,,DET,W (+12),0,17:39,4,8,.500,0,0,,0,0,,4,1,5,1,0,0,2,3,8,4.6,+5
16,15,2014-11-26,30-289,MIL,@,MIN,W (+17),0,19:34,2,3,.667,0,0,,2,2,1.000,1,3,4,2,2,0,1,1,6,8.3,+3
17,,2014-11-28,30-291,MIL,,DET,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
