<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,ORL,NBA,C,59,2,664,68,175,.389,0,0,,68,175,.389,.389,58,90,.644,69,105,174,13,21,12,34,87,194
2004-05,20,MIL,NBA,C,74,4,1397,160,354,.452,0,1,.000,160,353,.453,.452,138,185,.746,131,247,378,60,44,34,70,166,458
2005-06,21,ATL,NBA,C,78,78,2452,307,681,.451,0,2,.000,307,679,.452,.451,297,404,.735,264,349,613,129,89,39,180,286,911
2006-07,22,ATL,NBA,C,72,47,2026,291,614,.474,0,1,.000,291,613,.475,.474,293,373,.786,199,301,500,106,77,36,162,267,875
2007-08,23,ATL,NBA,C,62,5,944,107,245,.437,0,3,.000,107,242,.442,.437,108,153,.706,89,159,248,36,24,13,69,140,322
2008-09,24,ATL,NBA,C,77,26,1473,159,320,.497,0,3,.000,159,317,.502,.497,163,230,.709,173,263,436,57,35,26,91,208,481
2009-10,25,ATL,NBA,C,78,1,1089,120,246,.488,0,4,.000,120,242,.496,.488,93,143,.650,117,176,293,42,37,31,58,186,333
2010-11,26,ATL,NBA,C,79,7,1244,107,232,.461,0,0,,107,232,.461,.461,135,179,.754,119,214,333,58,34,22,69,184,349
2011-12,27,ATL,NBA,C,58,44,1640,169,339,.499,0,0,,169,339,.499,.499,117,158,.741,154,303,457,79,55,29,81,172,455
2012-13,28,ATL,NBA,C,52,15,1134,114,241,.473,0,3,.000,114,238,.479,.473,78,103,.757,132,204,336,79,35,12,70,128,306
2013-14,29,MIL,NBA,C,53,43,1325,149,349,.427,0,1,.000,149,348,.428,.427,110,130,.846,141,192,333,136,45,14,92,124,408
2014-15,30,MIL,NBA,C,73,45,1730,240,529,.454,0,3,.000,240,526,.456,.454,126,160,.788,197,303,500,178,80,21,133,170,606
2015-16,31,DAL,NBA,C,19,19,546,63,129,.488,0,1,.000,63,128,.492,.488,84,108,.778,56,137,193,39,17,11,39,54,210
Career,,,NBA,,834,336,17664,2054,4454,.461,0,22,.000,2054,4432,.463,.461,1800,2416,.745,1841,2953,4794,1012,593,300,1148,2172,5908
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,ATL,NBA,,556,223,12002,1374,2918,.471,0,16,.000,1374,2902,.473,.471,1284,1743,.737,1247,1969,3216,586,386,208,780,1571,4032
3 seasons,,MIL,NBA,,200,92,4452,549,1232,.446,0,5,.000,549,1227,.447,.446,374,475,.787,469,742,1211,374,169,69,295,460,1472
1 season,,ORL,NBA,,59,2,664,68,175,.389,0,0,,68,175,.389,.389,58,90,.644,69,105,174,13,21,12,34,87,194
1 season,,DAL,NBA,,19,19,546,63,129,.488,0,1,.000,63,128,.492,.488,84,108,.778,56,137,193,39,17,11,39,54,210
