<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,19,SAS,NBA,PG,77,72,2267,268,639,.419,61,189,.323,207,450,.460,.467,108,160,.675,33,164,197,334,89,7,151,166,705
2002-03,20,SAS,NBA,PG,82,82,2774,484,1043,.464,82,243,.337,402,800,.503,.503,219,290,.755,33,183,216,432,71,4,198,174,1269
2003-04,21,SAS,NBA,PG,75,75,2577,423,946,.447,62,199,.312,361,747,.483,.480,191,272,.702,43,194,237,411,61,7,179,148,1099
2004-05,22,SAS,NBA,PG,80,80,2735,539,1118,.482,43,156,.276,496,962,.516,.501,210,323,.650,47,251,298,491,98,4,215,167,1331
2005-06&nbsp;★,23,SAS,NBA,PG,80,80,2715,623,1136,.548,11,36,.306,612,1100,.556,.553,253,358,.707,38,223,261,460,83,4,249,161,1510
2006-07&nbsp;★,24,SAS,NBA,PG,77,77,2499,570,1096,.520,15,38,.395,555,1058,.525,.527,274,350,.783,34,216,250,420,82,6,191,137,1429
2007-08,25,SAS,NBA,PG,69,68,2312,515,1043,.494,17,66,.258,498,977,.510,.502,248,347,.715,30,191,221,411,55,8,164,93,1295
2008-09&nbsp;★,26,SAS,NBA,PG,72,71,2456,639,1263,.506,19,65,.292,620,1198,.518,.513,284,363,.782,27,196,223,496,67,4,186,110,1581
2009-10,27,SAS,NBA,PG,56,50,1728,349,716,.487,10,34,.294,339,682,.497,.494,186,246,.756,7,128,135,317,29,8,149,96,894
2010-11,28,SAS,NBA,PG,78,78,2528,555,1069,.519,25,70,.357,530,999,.531,.531,233,303,.769,30,208,238,513,90,3,200,135,1368
2011-12&nbsp;★,29,SAS,NBA,PG,60,60,1923,427,890,.480,14,61,.230,413,829,.498,.488,227,284,.799,22,149,171,463,57,5,153,75,1095
2012-13&nbsp;★,30,SAS,NBA,PG,66,66,2174,519,995,.522,24,68,.353,495,927,.534,.534,279,330,.845,18,180,198,499,54,6,170,92,1341
2013-14&nbsp;★,31,SAS,NBA,PG,68,68,1997,456,914,.499,25,67,.373,431,847,.509,.513,197,243,.811,17,138,155,388,36,9,151,86,1134
2014-15,32,SAS,NBA,PG,68,68,1953,404,832,.486,38,89,.427,366,743,.493,.508,130,166,.783,15,114,129,335,44,2,146,108,976
2015-16,33,SAS,NBA,PG,19,19,526,102,182,.560,4,8,.500,98,174,.563,.571,42,54,.778,2,37,39,94,16,3,34,31,250
Career,,,NBA,,1027,1014,33164,6873,13882,.495,450,1389,.324,6423,12493,.514,.511,3081,4089,.753,396,2572,2968,6064,932,80,2536,1779,17277
