<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,26-003,DAL,@,SAS,L (-1),1,33:49,2,10,.200,1,4,.250,0,0,,0,4,4,0,2,1,1,2,5,0.9,0
2,2,2014-10-30,26-005,DAL,,UTA,W (+18),1,29:06,8,16,.500,1,3,.333,4,4,1.000,4,3,7,2,0,0,2,1,21,15.7,+4
3,3,2014-11-01,26-007,DAL,@,NOP,W (+5),1,33:56,7,13,.538,2,6,.333,4,4,1.000,0,4,4,4,0,0,3,2,20,13.9,-7
4,4,2014-11-03,26-009,DAL,,BOS,W (+5),1,34:50,10,15,.667,4,5,.800,5,7,.714,0,3,3,2,2,0,0,1,29,25.6,+2
5,5,2014-11-06,26-012,DAL,@,POR,L (-21),1,28:29,5,13,.385,0,3,.000,1,1,1.000,0,4,4,1,0,0,1,0,11,4.8,-14
6,6,2014-11-07,26-013,DAL,@,UTA,W (+23),1,27:54,1,11,.091,0,4,.000,3,4,.750,2,1,3,0,2,0,0,1,5,0.6,+21
7,7,2014-11-09,26-015,DAL,,MIA,L (-9),1,29:12,1,9,.111,0,4,.000,2,2,1.000,2,4,6,1,2,3,2,2,4,2.7,+9
8,8,2014-11-11,26-017,DAL,,SAC,W (+8),1,36:28,7,19,.368,5,11,.455,0,0,,2,2,4,3,1,0,0,5,19,11.6,+10
9,9,2014-11-13,26-019,DAL,,PHI,W (+53),1,28:24,4,7,.571,2,5,.400,4,6,.667,2,4,6,3,0,0,0,1,14,14.2,+19
10,10,2014-11-15,26-021,DAL,,MIN,W (+14),1,28:44,5,12,.417,1,4,.250,1,2,.500,2,3,5,5,0,1,1,2,12,9.9,+11
11,11,2014-11-17,26-023,DAL,@,CHO,W (+27),1,31:26,5,10,.500,4,9,.444,3,4,.750,0,9,9,6,1,0,0,2,17,18.7,+22
12,12,2014-11-19,26-025,DAL,@,WAS,W (+3),1,37:15,4,12,.333,3,8,.375,0,0,,1,2,3,1,0,0,1,2,11,4.4,-2
13,13,2014-11-21,26-027,DAL,,LAL,W (+34),1,29:21,8,13,.615,2,6,.333,3,4,.750,1,1,2,3,0,0,1,0,21,16.8,+23
14,14,2014-11-22,26-028,DAL,@,HOU,L (-3),1,33:32,3,9,.333,0,5,.000,2,5,.400,2,6,8,1,1,0,1,5,8,3.6,-4
15,15,2014-11-24,26-030,DAL,,IND,L (-11),1,35:18,6,13,.462,3,6,.500,1,2,.500,0,3,3,1,2,1,1,6,16,9.8,-6
16,16,2014-11-26,26-032,DAL,,NYK,W (+7),1,43:53,4,14,.286,1,8,.125,4,7,.571,0,5,5,1,1,0,2,0,13,4.8,+6
17,17,2014-11-28,26-034,DAL,@,TOR,W (+4),1,36:12,6,11,.545,2,4,.500,2,3,.667,1,6,7,2,0,0,0,3,16,13.0,+14
