<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,HOU,NBA,PF,52,6,868,149,267,.558,0,2,.000,149,265,.562,.558,30,42,.714,86,114,200,41,17,37,31,77,328
2011-12,22,HOU,NBA,PF,64,1,1483,225,511,.440,0,3,.000,225,508,.443,.440,40,57,.702,112,174,286,53,27,36,49,113,490
2012-13,23,TOT,NBA,PF,71,41,1775,319,623,.512,51,132,.386,268,491,.546,.553,48,63,.762,113,224,337,81,31,40,61,138,737
2012-13,23,HOU,NBA,PF,47,38,1219,236,455,.519,35,96,.365,201,359,.560,.557,37,49,.755,73,148,221,51,18,27,42,90,544
2012-13,23,SAC,NBA,PF,24,3,556,83,168,.494,16,36,.444,67,132,.508,.542,11,14,.786,40,76,116,30,13,13,19,48,193
2013-14,24,TOT,NBA,PF,65,13,1533,225,489,.460,55,151,.364,170,338,.503,.516,50,71,.704,117,225,342,78,55,37,65,159,555
2013-14,24,SAC,NBA,PF,17,6,415,50,122,.410,9,39,.231,41,83,.494,.447,9,16,.563,34,65,99,15,13,3,16,39,118
2013-14,24,TOR,NBA,PF,48,7,1118,175,367,.477,46,112,.411,129,255,.506,.540,41,55,.745,83,160,243,63,42,34,49,120,437
2014-15,25,TOR,NBA,PF,81,4,2156,240,535,.449,105,283,.371,135,252,.536,.547,63,80,.788,127,306,433,155,60,44,54,149,648
2015-16,26,TOR,NBA,PF,19,0,393,41,111,.369,25,73,.342,16,38,.421,.482,3,4,.750,16,63,79,16,13,4,20,22,110
Career,,,NBA,,352,65,8208,1199,2536,.473,236,644,.366,963,1892,.509,.519,234,317,.738,571,1106,1677,424,203,198,280,658,2868
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,163,45,3570,610,1233,.495,35,101,.347,575,1132,.508,.509,107,148,.723,271,436,707,145,62,100,122,280,1362
3 seasons,,TOR,NBA,,148,11,3667,456,1013,.450,176,468,.376,280,545,.514,.537,107,139,.770,226,529,755,234,115,82,123,291,1195
2 seasons,,SAC,NBA,,41,9,971,133,290,.459,25,75,.333,108,215,.502,.502,20,30,.667,74,141,215,45,26,16,35,87,311
