<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,NOK,NBA,PG,78,78,2808,407,947,.430,50,177,.282,357,770,.464,.456,394,465,.847,61,339,400,611,175,6,183,218,1258
2006-07,21,NOK,NBA,PG,64,64,2353,381,871,.437,50,143,.350,331,728,.455,.466,292,357,.818,54,226,280,569,118,3,161,154,1104
2007-08&nbsp;★,22,NOH,NBA,PG,80,80,3006,630,1291,.488,92,249,.369,538,1042,.516,.524,332,390,.851,62,259,321,925,217,4,201,185,1684
2008-09&nbsp;★,23,NOH,NBA,PG,78,78,3002,631,1255,.503,64,176,.364,567,1079,.525,.528,455,524,.868,69,363,432,861,216,10,231,212,1781
2009-10&nbsp;★,24,NOH,NBA,PG,45,45,1712,314,637,.493,52,127,.409,262,510,.514,.534,161,190,.847,20,171,191,480,96,8,112,118,841
2010-11&nbsp;★,25,NOH,NBA,PG,80,80,2880,430,928,.463,71,183,.388,359,745,.482,.502,337,384,.878,38,289,327,782,188,5,177,196,1268
2011-12&nbsp;★,26,LAC,NBA,PG,60,60,2181,425,890,.478,79,213,.371,346,677,.511,.522,260,302,.861,42,171,213,543,152,4,124,138,1189
2012-13&nbsp;★,27,LAC,NBA,PG,70,70,2335,412,856,.481,76,232,.328,336,624,.538,.526,286,323,.885,53,209,262,678,169,10,159,143,1186
2013-14&nbsp;★,28,LAC,NBA,PG,62,62,2171,406,870,.467,78,212,.368,328,658,.498,.511,295,345,.855,38,230,268,663,154,4,145,157,1185
2014-15&nbsp;★,29,LAC,NBA,PG,82,82,2857,568,1170,.485,139,349,.398,429,821,.523,.545,289,321,.900,52,324,376,838,156,15,190,203,1564
2015-16,30,LAC,NBA,PG,15,15,469,89,193,.461,17,50,.340,72,143,.503,.505,60,69,.870,7,46,53,124,25,0,37,36,255
Career,,,NBA,,714,714,25774,4693,9908,.474,768,2111,.364,3925,7797,.503,.512,3161,3670,.861,496,2627,3123,7074,1666,69,1720,1760,13315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,NOKNOH,NBA,,425,425,15761,2793,5929,.471,379,1055,.359,2414,4874,.495,.503,1971,2310,.853,304,1647,1951,4228,1010,36,1065,1083,7936
5 seasons,,LAC,NBA,,289,289,10013,1900,3979,.478,389,1056,.368,1511,2923,.517,.526,1190,1360,.875,192,980,1172,2846,656,33,655,677,5379
