<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,27-182,SAS,,DAL,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2014-10-31,27-185,SAS,@,PHO,L (-5),0,5:29,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,2,2,0.5,-11
3,2,2014-11-05,27-190,SAS,,ATL,W (+2),0,12:42,0,1,.000,0,0,,0,0,,2,3,5,1,0,1,1,2,0,1.2,-3
4,3,2014-11-06,27-191,SAS,@,HOU,L (-17),0,22:37,2,7,.286,0,0,,2,2,1.000,2,4,6,0,0,0,1,3,6,2.3,-2
5,4,2014-11-08,27-193,SAS,,NOP,L (-1),0,1:01,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,+1
6,,2014-11-10,27-195,SAS,,LAC,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,5,2014-11-11,27-196,SAS,@,GSW,W (+13),0,0:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
8,6,2014-11-14,27-199,SAS,@,LAL,W (+13),0,6:51,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,3,2,0.5,-9
9,7,2014-11-15,27-200,SAS,@,SAC,L (-3),0,3:15,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,1,2,0,-0.8,+1
10,8,2014-11-17,27-202,SAS,,PHI,W (+25),0,16:50,1,4,.250,0,0,,2,2,1.000,0,5,5,1,1,1,1,1,4,4.1,+4
11,,2014-11-19,27-204,SAS,,CLE,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,9,2014-11-21,27-206,SAS,@,MIN,W (+29),0,12:00,2,4,.500,0,0,,0,0,,2,1,3,2,0,1,1,2,4,4.0,0
13,10,2014-11-22,27-207,SAS,,BRK,W (+12),0,2:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
14,,2014-11-26,27-211,SAS,,IND,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,11,2014-11-28,27-213,SAS,,SAC,W (+8),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
16,12,2014-11-30,27-215,SAS,@,BOS,W (+22),0,4:19,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+3
17,13,2014-12-01,27-216,SAS,@,PHI,W (+6),0,12:16,1,5,.200,0,0,,2,2,1.000,2,1,3,1,0,1,2,5,4,0.0,+5
18,,2014-12-03,27-218,SAS,,BRK,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
19,,2014-12-05,27-220,SAS,,MEM,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
20,14,2014-12-06,27-221,SAS,,MIN,W (+22),0,9:18,3,4,.750,0,0,,0,0,,1,0,1,1,0,0,1,1,6,4.4,-1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-09,27-224,SAS,,UTA,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
22,15,2014-12-10,27-225,SAS,,NYK,W (+14),0,19:12,5,5,1.000,0,0,,1,2,.500,3,3,6,0,1,0,1,2,11,11.3,+5
23,,2014-12-12,27-227,SAS,,LAL,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
24,,2014-12-14,27-229,SAS,,DEN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
25,16,2014-12-15,27-230,SAS,@,POR,L (-13),0,15:44,2,2,1.000,0,0,,0,0,,0,1,1,1,1,0,1,0,4,4.4,-14
26,,2014-12-17,27-232,SAS,,MEM,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2014-12-19,27-234,SAS,,POR,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,17,2014-12-20,27-235,SAS,@,DAL,L (-6),0,17:02,1,3,.333,0,0,,1,1,1.000,3,4,7,0,0,0,0,3,3,3.4,+2
29,18,2014-12-22,27-237,SAS,,LAC,W (+7),0,2:56,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,-3
30,19,2014-12-25,27-240,SAS,,OKC,L (-8),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2
31,20,2014-12-26,27-241,SAS,@,NOP,L (-7),0,0:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
