<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,POR,NBA,C,39,4,405,43,65,.662,0,0,,43,65,.662,.662,18,20,.900,25,73,98,1,7,16,12,76,104
2010-11,23,Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee),Did Not Play&nbsp;(injury—knee)
2011-12,24,IND,NBA,C,20,1,106,15,36,.417,0,0,,15,36,.417,.417,4,7,.571,12,21,33,4,3,2,2,16,34
2012-13,25,IND,NBA,PF,37,0,369,61,126,.484,2,4,.500,59,122,.484,.492,21,23,.913,29,75,104,15,6,12,23,44,145
2013-14,26,SAS,NBA,PF,73,10,952,101,174,.580,0,0,,101,174,.580,.580,38,55,.691,89,169,258,60,13,25,63,146,240
2014-15,27,SAS,NBA,PF,51,0,383,55,95,.579,0,0,,55,95,.579,.579,27,36,.750,37,80,117,14,8,8,26,60,137
Career,,,NBA,,220,15,2215,275,496,.554,2,4,.500,273,492,.555,.556,108,141,.766,192,418,610,94,37,63,126,342,660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SAS,NBA,,124,10,1335,156,269,.580,0,0,,156,269,.580,.580,65,91,.714,126,249,375,74,21,33,89,206,377
2 seasons,,IND,NBA,,57,1,475,76,162,.469,2,4,.500,74,158,.468,.475,25,30,.833,41,96,137,19,9,14,25,60,179
1 season,,POR,NBA,,39,4,405,43,65,.662,0,0,,43,65,.662,.662,18,20,.900,25,73,98,1,7,16,12,76,104
