<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,24,IND,NBA,C,14,0,55,5,21,.238,0,0,,5,21,.238,.238,3,4,.750,12,10,22,2,0,3,3,5,13
2013-14,25,PHO,NBA,C,80,79,1964,286,553,.517,0,0,,286,553,.517,.517,74,132,.561,198,428,626,43,50,90,111,185,646
2014-15,26,TOT,NBA,C,73,28,1194,136,254,.535,0,0,,136,254,.535,.535,22,46,.478,112,208,320,34,41,66,51,111,294
2014-15,26,PHO,NBA,C,54,28,1005,107,195,.549,0,0,,107,195,.549,.549,19,38,.500,95,179,274,27,35,55,45,99,233
2014-15,26,MIL,NBA,C,19,0,189,29,59,.492,0,0,,29,59,.492,.492,3,8,.375,17,29,46,7,6,11,6,12,61
2015-16,27,MIL,NBA,C,15,0,94,12,22,.545,0,0,,12,22,.545,.545,2,2,1.000,8,12,20,3,2,6,9,14,26
Career,,,NBA,,182,107,3307,439,850,.516,0,0,,439,850,.516,.516,101,184,.549,330,658,988,82,93,165,174,315,979
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHO,NBA,,134,107,2969,393,748,.525,0,0,,393,748,.525,.525,93,170,.547,293,607,900,70,85,145,156,284,879
2 seasons,,MIL,NBA,,34,0,283,41,81,.506,0,0,,41,81,.506,.506,5,10,.500,25,41,66,10,8,17,15,26,87
1 season,,IND,NBA,,14,0,55,5,21,.238,0,0,,5,21,.238,.238,3,4,.750,12,10,22,2,0,3,3,5,13
