<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,21-148,WAS,@,MIA,L (-12),0,23:30,4,7,.571,1,3,.333,4,6,.667,1,3,4,0,1,0,0,1,13,11.1,-11
2,2,2014-10-30,21-149,WAS,@,ORL,W (+7),0,17:58,1,3,.333,0,0,,2,2,1.000,1,0,1,1,3,0,1,5,4,3.7,+5
3,3,2014-11-01,21-151,WAS,,MIL,W (+11),0,36:50,7,11,.636,1,2,.500,6,7,.857,0,5,5,1,2,0,1,2,21,18.1,+2
4,4,2014-11-04,21-154,WAS,@,NYK,W (+15),0,28:12,2,5,.400,0,1,.000,0,0,,3,4,7,4,0,0,0,1,4,7.0,+4
5,5,2014-11-05,21-155,WAS,,IND,W (+2),0,22:03,1,5,.200,1,1,1.000,0,0,,0,1,1,2,0,0,0,2,3,0.8,-11
6,6,2014-11-07,21-157,WAS,@,TOR,L (-19),0,25:03,6,9,.667,1,1,1.000,0,0,,2,3,5,0,0,1,2,2,13,9.3,-1
7,7,2014-11-08,21-158,WAS,@,IND,W (+7),0,19:42,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,2,0,4,0.0,-1
8,8,2014-11-12,21-162,WAS,,DET,W (+4),0,18:46,1,3,.333,0,1,.000,0,0,,0,2,2,0,2,1,0,1,2,3.2,-7
9,9,2014-11-15,21-165,WAS,,ORL,W (+5),0,26:11,6,8,.750,0,0,,1,2,.500,0,4,4,3,1,1,0,0,13,14.4,+3
10,10,2014-11-19,21-169,WAS,,DAL,L (-3),0,24:57,2,5,.400,2,4,.500,0,0,,2,3,5,1,1,1,0,1,6,7.6,-3
11,11,2014-11-21,21-171,WAS,,CLE,W (+13),0,25:11,3,8,.375,0,1,.000,0,0,,1,2,3,0,0,0,0,2,6,2.1,+7
12,,2014-11-22,21-172,WAS,,MIL,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,12,2014-11-25,21-175,WAS,,ATL,L (-4),0,20:02,2,4,.500,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,6,3.6,-1
14,13,2014-11-26,21-176,WAS,@,CLE,L (-26),0,19:40,1,4,.250,0,1,.000,0,0,,1,1,2,1,0,1,0,1,2,1.6,-13
15,14,2014-11-29,21-179,WAS,,NOP,W (+3),0,15:36,1,2,.500,0,0,,1,2,.500,2,1,3,0,0,2,0,1,3,4.3,-3
16,15,2014-12-01,21-181,WAS,,MIA,W (+21),0,23:58,2,4,.500,1,3,.333,2,2,1.000,2,3,5,2,1,0,1,0,7,8.7,+14
17,16,2014-12-03,21-183,WAS,,LAL,W (+16),0,11:50,1,5,.200,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,4,0.8,-11
18,17,2014-12-05,21-185,WAS,,DEN,W (+30),0,22:41,1,4,.250,0,2,.000,2,2,1.000,0,7,7,4,1,2,1,0,4,7.9,+11
