<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,23-254,BOS,,BRK,W (+16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1,2014-11-01,23-257,BOS,@,HOU,L (-14),0,3:24,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,+9
3,,2014-11-03,23-259,BOS,,DAL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,,2014-11-05,23-261,BOS,,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,2,2014-11-07,23-263,BOS,,IND,W (+3),0,12:31,2,3,.667,1,2,.500,0,0,,0,1,1,4,2,0,1,1,5,7.4,+8
6,3,2014-11-08,23-264,BOS,@,CHI,W (+5),0,16:15,1,7,.143,1,6,.167,0,0,,0,3,3,4,1,1,0,2,3,3.1,-8
7,4,2014-11-12,23-268,BOS,,OKC,L (-15),0,8:32,0,4,.000,0,3,.000,0,0,,0,0,0,0,0,0,1,0,0,-3.8,-14
8,,2014-11-14,23-270,BOS,,CLE,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,5,2014-11-17,23-273,BOS,,PHO,L (-4),0,16:40,2,4,.500,0,0,,0,0,,1,1,2,2,2,0,0,2,4,5.6,+6
10,6,2014-11-19,23-275,BOS,@,PHI,W (+11),0,12:57,2,3,.667,0,0,,0,0,,0,1,1,1,1,0,1,2,4,2.9,+6
11,7,2014-11-21,23-277,BOS,@,MEM,L (-17),0,19:39,0,4,.000,0,2,.000,2,2,1.000,0,1,1,4,2,0,1,0,2,3.3,+2
