<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,IND,NBA,PG,56,2,865,145,354,.410,60,174,.345,85,180,.472,.494,60,75,.800,12,76,88,106,35,3,59,53,410
2010-11,24,IND,NBA,PG,50,0,795,114,320,.356,41,149,.275,73,171,.427,.420,54,81,.667,16,56,72,111,29,1,53,61,323
2011-12,25,IND,NBA,PG,44,1,568,59,174,.339,26,88,.295,33,86,.384,.414,28,35,.800,13,48,61,86,20,2,32,30,172
2012-13,26,WAS,NBA,PG,57,22,1278,161,413,.390,70,200,.350,91,213,.427,.475,49,62,.790,20,94,114,205,33,3,64,73,441
2013-14,27,MIN,NBA,SG,28,0,99,19,46,.413,6,22,.273,13,24,.542,.478,0,2,.000,1,9,10,13,1,0,7,5,44
2014-15,28,TOT,NBA,PG,26,0,324,51,137,.372,15,57,.263,36,80,.450,.427,16,24,.667,6,26,32,46,7,0,14,15,133
2014-15,28,IND,NBA,PG,10,0,193,39,89,.438,15,39,.385,24,50,.480,.522,12,18,.667,2,12,14,27,4,0,10,9,105
2014-15,28,CLE,NBA,PG,11,0,87,9,34,.265,0,11,.000,9,23,.391,.265,4,6,.667,4,11,15,13,3,0,3,1,22
2014-15,28,PHO,NBA,PG,5,0,44,3,14,.214,0,7,.000,3,7,.429,.214,0,0,,0,3,3,6,0,0,1,5,6
Career,,,NBA,,261,25,3929,549,1444,.380,218,690,.316,331,754,.439,.456,207,279,.742,68,309,377,567,125,9,229,237,1523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,160,3,2421,357,937,.381,142,450,.316,215,487,.441,.457,154,209,.737,43,192,235,330,88,6,154,153,1010
1 season,,WAS,NBA,,57,22,1278,161,413,.390,70,200,.350,91,213,.427,.475,49,62,.790,20,94,114,205,33,3,64,73,441
1 season,,MIN,NBA,,28,0,99,19,46,.413,6,22,.273,13,24,.542,.478,0,2,.000,1,9,10,13,1,0,7,5,44
1 season,,CLE,NBA,,11,0,87,9,34,.265,0,11,.000,9,23,.391,.265,4,6,.667,4,11,15,13,3,0,3,1,22
1 season,,PHO,NBA,,5,0,44,3,14,.214,0,7,.000,3,7,.429,.214,0,0,,0,3,3,6,0,0,1,5,6
