Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2015-01-09,27-004,MIN,@,MIL,L (-14),0,8:34,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,4,2.2,-6,radulmi01
2,2,2015-01-10,27-005,MIN,,SAS,L (-15),0,5:46,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,4,1.5,-4,radulmi01
4,3,2015-01-16,27-011,MIN,@,PHO,L (-11),0,4:33,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-1,radulmi01
6,4,2015-01-19,27-014,MIN,@,CHO,L (-25),0,2:35,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,0,2,0,0.5,+5,radulmi01
10,5,2015-01-26,27-021,MIN,@,OKC,L (-8),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3,radulmi01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-28,19-333,LAL,,HOU,L (-18),0,13:34,1,3,.333,0,0,,0,2,.000,0,0,0,0,0,0,1,1,2,-1.9,-18,randlju01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,30-339,PHO,,LAL,W (+20),0,12:50,1,3,.333,0,1,.000,1,3,.333,2,3,5,0,0,0,0,2,3,2.0,-2,randosh01
3,2,2014-11-01,30-342,PHO,@,UTA,L (-27),0,4:44,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-3,randosh01
5,3,2014-11-05,30-346,PHO,,MEM,L (-11),0,1:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,randosh01
6,4,2014-11-07,30-348,PHO,,SAC,L (-2),0,8:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,3,0,-2.9,-4,randosh01
10,5,2014-11-15,30-356,PHO,@,LAC,L (-13),0,1:57,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+3,randosh01
13,6,2014-11-21,30-362,PHO,@,PHI,W (+26),0,10:33,0,3,.000,0,1,.000,0,0,,2,3,5,2,0,0,0,2,0,0.8,-2,randosh01
14,7,2014-11-22,30-363,PHO,@,IND,W (+23),0,4:21,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-2,randosh01
15,8,2014-11-24,31-000,PHO,@,TOR,L (-4),0,5:46,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2,randosh01
17,9,2014-11-28,31-004,PHO,@,DEN,L (-25),0,5:56,2,3,.667,0,0,,0,0,,1,0,1,1,0,1,0,0,4,4.8,0,randosh01
19,10,2014-12-02,31-008,PHO,,IND,W (+17),0,1:53,0,0,,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.7,-1,randosh01
25,11,2014-12-14,31-020,PHO,@,OKC,L (-24),0,18:01,2,9,.222,0,1,.000,2,5,.400,3,1,4,0,3,0,0,1,6,4.3,+3,randosh01
29,12,2014-12-21,31-027,PHO,@,WAS,W (+12),0,10:03,0,2,.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,1,2,1.5,+3,randosh01
31,13,2014-12-26,31-032,PHO,@,SAC,W (+9),0,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2,randosh01
32,14,2014-12-28,31-034,PHO,@,LAL,W (+9),0,5:07,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-4,randosh01
35,15,2015-01-02,31-039,PHO,,PHI,W (+16),0,2:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,randosh01
36,16,2015-01-04,31-041,PHO,,TOR,W (+16),0,6:47,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,1,0,0.5,-5,randosh01
56,17,2015-02-20,31-088,BOS,@,SAC,L (-8),0,6:11,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,1,1,2,0.9,-5,randosh01
59,18,2015-02-25,31-093,BOS,,NYK,W (+21),0,2:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2,randosh01
62,19,2015-03-03,31-099,BOS,@,CLE,L (-31),0,12:46,2,6,.333,0,1,.000,0,0,,2,2,4,1,1,1,0,1,4,4.6,-1,randosh01
70,20,2015-03-16,31-112,BOS,,PHI,W (+19),0,2:12,0,1,.000,0,0,,1,2,.500,0,2,2,0,0,0,0,0,1,0.5,-1,randosh01
72,21,2015-03-20,31-116,BOS,@,SAS,L (-12),0,1:17,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,+2,randosh01
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,33-105,MEM,,MIN,W (+4),1,34:37,12,16,.750,0,0,,1,1,1.000,6,7,13,1,1,1,5,3,25,21.1,+11,randoza01
2,2,2014-10-31,33-107,MEM,@,IND,W (+8),1,32:45,7,14,.500,0,0,,8,10,.800,6,7,13,1,3,0,1,3,22,22.0,+21,randoza01
3,3,2014-11-01,33-108,MEM,@,CHO,W (+2),1,28:48,6,12,.500,0,0,,0,0,,1,11,12,0,0,0,1,3,12,7.8,+4,randoza01
4,4,2014-11-03,33-110,MEM,,NOP,W (+12),1,33:22,5,12,.417,0,0,,5,6,.833,2,9,11,4,2,0,1,4,15,14.5,+18,randoza01
5,5,2014-11-05,33-112,MEM,@,PHO,W (+11),1,29:26,4,9,.444,0,0,,2,3,.667,0,6,6,0,2,0,3,2,10,4.9,+21,randoza01
6,6,2014-11-07,33-114,MEM,@,OKC,W (+2),1,34:33,6,16,.375,0,0,,4,4,1.000,1,6,7,2,2,0,1,3,16,10.9,+5,randoza01
7,7,2014-11-08,33-115,MEM,@,MIL,L (-1),1,35:55,7,14,.500,1,1,1.000,7,7,1.000,6,8,14,1,0,0,1,5,22,19.3,+2,randoza01
