<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,33-105,MEM,,MIN,W (+4),1,34:37,12,16,.750,0,0,,1,1,1.000,6,7,13,1,1,1,5,3,25,21.1,+11
2,2,2014-10-31,33-107,MEM,@,IND,W (+8),1,32:45,7,14,.500,0,0,,8,10,.800,6,7,13,1,3,0,1,3,22,22.0,+21
3,3,2014-11-01,33-108,MEM,@,CHO,W (+2),1,28:48,6,12,.500,0,0,,0,0,,1,11,12,0,0,0,1,3,12,7.8,+4
4,4,2014-11-03,33-110,MEM,,NOP,W (+12),1,33:22,5,12,.417,0,0,,5,6,.833,2,9,11,4,2,0,1,4,15,14.5,+18
5,5,2014-11-05,33-112,MEM,@,PHO,W (+11),1,29:26,4,9,.444,0,0,,2,3,.667,0,6,6,0,2,0,3,2,10,4.9,+21
6,6,2014-11-07,33-114,MEM,@,OKC,W (+2),1,34:33,6,16,.375,0,0,,4,4,1.000,1,6,7,2,2,0,1,3,16,10.9,+5
7,7,2014-11-08,33-115,MEM,@,MIL,L (-1),1,35:55,7,14,.500,1,1,1.000,7,7,1.000,6,8,14,1,0,0,1,5,22,19.3,+2
8,8,2014-11-11,33-118,MEM,,LAL,W (+5),1,29:35,4,10,.400,0,0,,3,4,.750,4,6,10,0,0,0,1,3,11,7.6,-8
9,9,2014-11-13,33-120,MEM,,SAC,W (+1),1,34:15,6,13,.462,0,0,,5,8,.625,0,8,8,2,0,0,0,3,17,11.7,+3
10,10,2014-11-15,33-122,MEM,,DET,W (+7),1,37:04,7,22,.318,0,0,,3,6,.500,13,9,22,4,0,0,1,2,17,16.0,+6
11,11,2014-11-17,33-124,MEM,,HOU,W (+26),1,25:58,4,11,.364,0,0,,6,6,1.000,2,5,7,1,2,0,1,3,14,11.3,+26
12,12,2014-11-19,33-126,MEM,@,TOR,L (-4),1,38:02,7,18,.389,0,0,,4,4,1.000,8,10,18,0,2,0,3,2,18,15.0,+5
13,13,2014-11-21,33-128,MEM,,BOS,W (+17),1,27:17,7,12,.583,0,0,,2,2,1.000,2,14,16,4,0,0,2,0,16,16.8,+9
14,14,2014-11-23,33-130,MEM,,LAC,W (+16),1,29:18,5,11,.455,0,0,,0,0,,3,5,8,1,1,0,4,2,10,4.8,+12
15,15,2014-11-26,33-133,MEM,@,LAL,W (+6),1,27:37,7,10,.700,0,0,,2,4,.500,4,5,9,0,0,0,3,0,16,12.3,+6
16,16,2014-11-28,33-135,MEM,@,POR,W (+13),1,31:40,7,13,.538,0,0,,0,5,.000,3,10,13,1,2,0,2,3,14,10.3,+10
17,17,2014-11-30,33-137,MEM,@,SAC,W (+12),1,34:24,8,16,.500,0,0,,6,10,.600,2,10,12,4,3,0,0,3,22,21.4,+14
18,18,2014-12-03,33-140,MEM,@,HOU,L (-9),1,19:29,2,5,.400,0,0,,4,6,.667,2,4,6,0,0,0,1,0,8,6.1,-16
19,19,2014-12-05,33-142,MEM,,SAS,L (-6),1,29:40,4,11,.364,0,0,,2,2,1.000,2,6,8,0,1,0,3,3,10,3.9,-10
20,20,2014-12-07,33-144,MEM,,MIA,W (+16),1,23:45,8,15,.533,0,0,,1,1,1.000,3,3,6,2,1,0,0,0,17,15.1,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-09,33-146,MEM,,DAL,W (+9),1,32:10,6,18,.333,0,0,,5,6,.833,9,4,13,0,1,0,1,3,17,12.7,+14
22,22,2014-12-12,33-149,MEM,,CHO,W (+6),1,42:37,7,12,.583,0,0,,6,9,.667,1,10,11,1,0,1,2,4,20,14.7,+11
23,23,2014-12-13,33-150,MEM,@,PHI,W (+5),1,32:48,10,14,.714,0,0,,4,4,1.000,2,9,11,1,2,0,3,1,24,21.6,+23
24,24,2014-12-16,33-153,MEM,,GSW,W (+7),1,26:00,8,12,.667,0,0,,1,2,.500,4,6,10,0,0,0,3,1,17,12.6,+6
