<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,POR,NBA,PF,41,0,238,48,107,.449,0,0,,48,107,.449,.449,18,27,.667,31,38,69,13,7,4,15,29,114
2002-03,21,POR,NBA,PF,77,11,1301,264,515,.513,0,5,.000,264,510,.518,.513,122,161,.758,139,204,343,41,42,14,62,141,650
2003-04,22,POR,NBA,PF,81,80,3067,663,1368,.485,1,5,.200,662,1363,.486,.485,299,393,.761,242,609,851,163,68,41,247,227,1626
2004-05,23,POR,NBA,PF,46,37,1603,332,741,.448,0,6,.000,332,735,.452,.448,207,254,.815,142,300,442,86,34,17,112,112,871
2005-06,24,POR,NBA,PF,74,71,2545,536,1229,.436,16,55,.291,520,1174,.443,.443,245,343,.714,193,399,592,144,57,14,165,185,1333
2006-07,25,POR,NBA,PF,68,67,2425,600,1286,.467,14,48,.292,586,1238,.473,.472,394,481,.819,199,489,688,147,53,15,215,184,1608
2007-08,26,NYK,NBA,C,69,68,2244,486,1058,.459,22,80,.275,464,978,.474,.470,223,289,.772,184,526,710,140,59,16,186,194,1217
2008-09,27,TOT,NBA,PF-C,50,45,1757,415,873,.475,32,97,.330,383,776,.494,.494,179,244,.734,157,347,504,103,43,16,114,133,1041
2008-09,27,NYK,NBA,C,11,11,388,82,189,.434,7,24,.292,75,165,.455,.452,55,67,.821,40,97,137,15,13,3,23,28,226
2008-09,27,LAC,NBA,PF,39,34,1369,333,684,.487,25,73,.342,308,611,.504,.505,124,177,.701,117,250,367,88,30,13,91,105,815
2009-10&nbsp;★,28,MEM,NBA,PF,81,81,3051,652,1336,.488,15,52,.288,637,1284,.496,.494,362,465,.778,330,620,950,149,80,34,174,226,1681
2010-11,29,MEM,NBA,PF,75,74,2724,598,1188,.503,8,43,.186,590,1145,.515,.507,300,396,.758,326,588,914,163,63,25,151,175,1504
2011-12,30,MEM,NBA,PF,28,8,735,132,285,.463,2,8,.250,130,277,.469,.467,58,88,.659,78,147,225,48,21,4,40,57,324
2012-13&nbsp;★,31,MEM,NBA,PF,76,75,2607,471,1024,.460,2,23,.087,469,1001,.469,.461,225,300,.750,310,544,854,108,61,31,150,180,1169
2013-14,32,MEM,NBA,PF,79,79,2705,560,1198,.467,2,20,.100,558,1178,.474,.468,250,337,.742,265,530,795,200,54,23,183,210,1372
2014-15,33,MEM,NBA,PF,71,71,2304,454,932,.487,7,20,.350,447,912,.490,.491,228,298,.765,225,522,747,153,69,14,156,175,1143
2015-16,34,MEM,NBA,PF,14,14,423,84,184,.457,0,1,.000,84,183,.459,.457,37,43,.860,41,80,121,21,11,1,29,28,205
Career,,,NBA,,930,781,29729,6295,13324,.472,121,463,.261,6174,12861,.480,.477,3147,4119,.764,2862,5943,8805,1679,722,269,1999,2256,15858
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,424,402,14549,2951,6147,.480,36,167,.216,2915,5980,.487,.483,1460,1927,.758,1575,3031,4606,842,359,132,883,1051,7398
6 seasons,,POR,NBA,,387,266,11179,2443,5246,.466,31,119,.261,2412,5127,.470,.469,1285,1659,.775,946,2039,2985,594,261,105,816,878,6202
2 seasons,,NYK,NBA,,80,79,2632,568,1247,.455,29,104,.279,539,1143,.472,.467,278,356,.781,224,623,847,155,72,19,209,222,1443
1 season,,LAC,NBA,,39,34,1369,333,684,.487,25,73,.342,308,611,.504,.505,124,177,.701,117,250,367,88,30,13,91,105,815
