<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-30,30-128,LAC,,OKC,W (+3),1,29:34,1,10,.100,1,7,.143,2,2,1.000,0,0,0,0,0,0,2,2,5,-4.4,-7
2,2,2014-10-31,30-129,LAC,@,LAL,W (+7),1,33:24,3,9,.333,1,6,.167,8,8,1.000,0,3,3,3,2,0,1,1,15,13.5,+11
3,3,2014-11-02,30-131,LAC,,SAC,L (-6),1,32:32,4,14,.286,2,10,.200,2,2,1.000,0,2,2,1,1,0,1,1,12,4.7,-6
4,4,2014-11-03,30-132,LAC,,UTA,W (+6),1,15:08,2,6,.333,2,5,.400,1,2,.500,0,3,3,2,0,0,2,1,7,3.1,-6
5,5,2014-11-05,30-134,LAC,@,GSW,L (-17),1,23:29,3,6,.500,1,2,.500,5,5,1.000,0,1,1,0,0,0,2,1,12,6.9,-20
6,6,2014-11-08,30-137,LAC,,POR,W (+4),1,37:24,11,13,.846,2,3,.667,6,8,.750,0,4,4,1,1,0,1,2,30,25.6,+3
7,7,2014-11-10,30-139,LAC,,SAS,L (-4),1,36:00,4,10,.400,2,6,.333,3,3,1.000,1,1,2,4,0,0,2,0,13,9.4,-2
8,8,2014-11-15,30-144,LAC,,PHO,W (+13),1,34:24,3,8,.375,2,4,.500,6,7,.857,0,2,2,3,0,0,2,3,14,8.7,+7
9,9,2014-11-17,30-146,LAC,,CHI,L (-16),1,23:41,2,10,.200,1,3,.333,0,0,,0,0,0,1,0,1,0,1,5,-0.2,-8
10,10,2014-11-19,30-148,LAC,@,ORL,W (+24),1,21:03,1,6,.167,1,2,.500,0,0,,0,0,0,1,0,0,1,1,3,-1.5,+8
11,11,2014-11-20,30-149,LAC,@,MIA,W (+17),1,23:24,5,11,.455,4,8,.500,0,0,,1,1,2,2,0,0,1,3,14,8.5,+18
