<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,23-226,POR,,OKC,W (+17),0,2:20,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,1.3,+1
2,,2014-10-31,23-228,POR,,SAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2014-11-02,23-230,POR,,GSW,L (-5),0,14:08,2,3,.667,0,0,,0,2,.000,2,4,6,0,1,1,2,1,4,3.8,+6
4,3,2014-11-04,23-232,POR,,CLE,W (+19),0,10:35,1,3,.333,0,0,,0,0,,2,6,8,0,1,0,0,3,2,3.3,+6
5,4,2014-11-06,23-234,POR,,DAL,W (+21),0,13:00,1,2,.500,0,0,,1,2,.500,1,3,4,0,1,0,2,3,3,1.0,+16
6,5,2014-11-08,23-236,POR,@,LAC,L (-4),0,5:31,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1.2,-2
7,6,2014-11-09,23-237,POR,,DEN,W (+16),0,5:11,0,1,.000,0,0,,0,0,,1,3,4,0,0,0,0,3,0,-0.3,-4
8,,2014-11-11,23-239,POR,,CHO,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,7,2014-11-12,23-240,POR,@,DEN,W (+17),0,5:18,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-9
10,,2014-11-15,23-243,POR,,BRK,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2014-11-17,23-245,POR,,NOP,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
