<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-249,BOS,,BRK,W (+16),1,29:45,6,9,.667,1,3,.333,0,4,.000,0,7,7,12,1,1,3,1,13,16.3,+13
2,2,2014-11-01,28-252,BOS,@,HOU,L (-14),1,34:23,2,9,.222,0,1,.000,0,0,,3,7,10,8,3,0,5,3,4,5.1,-18
3,3,2014-11-03,28-254,BOS,@,DAL,L (-5),1,36:54,3,11,.273,0,1,.000,1,2,.500,3,6,9,15,2,0,5,4,7,9.9,-3
4,4,2014-11-05,28-256,BOS,,TOR,L (-3),1,36:38,5,8,.625,0,0,,3,4,.750,2,8,10,15,0,0,5,0,13,18.3,+9
5,5,2014-11-07,28-258,BOS,,IND,W (+3),1,27:50,4,10,.400,0,1,.000,0,0,,1,3,4,6,2,1,3,2,8,7.3,-5
6,,2014-11-08,28-259,BOS,,CHI,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6,2014-11-12,28-263,BOS,,OKC,L (-15),1,36:16,8,15,.533,4,7,.571,0,0,,2,7,9,12,2,0,1,2,20,24.8,+1
8,7,2014-11-14,28-265,BOS,,CLE,L (-1),1,31:15,3,10,.300,0,0,,0,0,,0,8,8,16,3,0,3,4,6,12.2,-1
9,8,2014-11-17,28-268,BOS,,PHO,L (-4),1,33:00,6,10,.600,0,0,,2,10,.200,0,10,10,9,1,0,5,3,14,10.3,-10
10,9,2014-11-19,28-270,BOS,@,PHI,W (+11),1,30:26,3,5,.600,1,2,.500,2,4,.500,1,4,5,13,2,0,6,0,9,12.9,+7
11,10,2014-11-21,28-272,BOS,@,MEM,L (-17),1,28:21,2,6,.333,0,1,.000,0,0,,0,5,5,4,1,0,2,0,4,3.9,-19
12,11,2014-11-23,28-274,BOS,,POR,L (-6),1,34:56,6,9,.667,0,0,,1,2,.500,0,6,6,8,2,0,2,2,13,15.3,-5
13,12,2014-11-28,28-279,BOS,,CHI,L (-7),1,32:53,4,13,.308,0,1,.000,0,2,.000,1,6,7,9,1,0,2,2,8,6.7,-3
14,13,2014-11-30,28-281,BOS,,SAS,L (-22),1,30:54,1,5,.200,0,0,,0,2,.000,2,4,6,10,0,0,0,3,2,6.5,-19
15,14,2014-12-02,28-283,BOS,@,ATL,L (-4),1,34:25,1,8,.125,0,3,.000,0,0,,2,10,12,19,1,1,7,0,2,9.2,+4
16,15,2014-12-03,28-284,BOS,,DET,W (+7),1,33:50,1,6,.167,0,1,.000,0,0,,1,2,3,8,3,0,4,1,2,3.7,+12
17,16,2014-12-05,28-286,BOS,,LAL,W (+17),1,31:29,6,17,.353,0,2,.000,0,0,,2,6,8,16,1,0,1,2,12,16.1,+40
18,17,2014-12-07,28-288,BOS,,WAS,W (+8),1,34:05,5,17,.294,1,3,.333,2,4,.500,2,11,13,11,3,0,4,2,13,12.9,+7
19,18,2014-12-08,28-289,BOS,@,WAS,L (-1),1,20:53,0,3,.000,0,0,,0,0,,0,2,2,4,1,0,3,3,0,-1.9,-15
20,19,2014-12-10,28-291,BOS,@,CHO,L (-9),1,32:04,6,11,.545,0,2,.000,0,0,,1,9,10,10,1,0,4,4,12,12.5,-21
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,20,2014-12-12,28-293,BOS,,NYK,L (-6),1,32:10,1,3,.333,0,1,.000,0,0,,0,7,7,10,1,0,2,1,2,8.0,-11
22,21,2014-12-15,28-296,BOS,@,PHI,W (+18),1,24:05,2,3,.667,0,0,,1,2,.500,1,6,7,7,4,0,2,2,5,11.9,+6
23,22,2014-12-17,28-298,BOS,,ORL,W (+17),1,32:54,6,12,.500,1,3,.333,0,0,,1,6,7,15,2,0,6,1,13,15.6,+14
24,23,2014-12-20,28-301,DAL,,SAS,W (+6),1,33:47,3,11,.273,0,1,.000,0,0,,2,5,7,9,2,0,4,4,6,5.1,+17
25,24,2014-12-22,28-303,DAL,,ATL,L (-3),1,32:52,6,15,.400,1,3,.333,0,0,,2,2,4,11,3,1,3,4,13,13.7,-3
26,25,2014-12-23,28-304,DAL,@,PHO,L (-9),1,30:44,6,14,.429,1,1,1.000,0,0,,2,4,6,8,1,0,5,6,13,7.4,-2
27,26,2014-12-26,28-307,DAL,,LAL,W (+4),1,34:43,10,17,.588,1,1,1.000,0,2,.000,2,6,8,7,1,0,4,2,21,16.6,+7
28,27,2014-12-28,28-309,DAL,,OKC,W (+5),1,34:17,7,17,.412,0,1,.000,1,4,.250,2,4,6,7,2,0,2,1,15,11.8,+17
29,28,2014-12-30,28-311,DAL,,WAS,W (+27),1,28:00,4,10,.400,0,1,.000,3,4,.750,0,1,1,5,1,0,3,5,11,5.0,+15
30,29,2015-01-02,28-314,DAL,@,BOS,W (+18),1,34:53,12,19,.632,5,7,.714,0,0,,1,5,6,5,1,0,2,3,29,24.0,+9
31,30,2015-01-04,28-316,DAL,@,CLE,W (+19),1,28:21,2,6,.333,0,1,.000,0,0,,0,4,4,8,2,1,1,2,4,8.3,+13
32,31,2015-01-05,28-317,DAL,@,BRK,W (+8),1,36:57,1,13,.077,0,2,.000,0,2,.000,3,7,10,14,2,0,1,4,2,5.9,+7
33,32,2015-01-07,28-319,DAL,,DET,L (-13),1,28:10,3,7,.429,0,0,,0,0,,2,4,6,8,2,0,7,2,6,4.7,-11
34,33,2015-01-10,28-322,DAL,@,LAC,L (-20),1,26:44,1,11,.091,0,3,.000,0,0,,1,2,3,8,1,0,1,3,2,0.4,-27
35,34,2015-01-13,28-325,DAL,@,SAC,W (+4),1,38:14,10,16,.625,1,2,.500,0,3,.000,2,3,5,7,4,0,3,5,21,18.8,+17
36,,2015-01-14,28-326,DAL,,DEN,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,35,2015-01-16,28-328,DAL,,DEN,W (+8),1,28:34,1,6,.167,0,1,.000,0,2,.000,0,9,9,8,1,0,5,3,2,0.5,+15
38,36,2015-01-19,28-331,DAL,@,MEM,W (+8),1,26:01,3,8,.375,0,0,,0,0,,2,1,3,1,1,0,2,3,6,1.8,-7
39,37,2015-01-21,28-333,DAL,@,MIN,W (+23),1,20:57,4,10,.400,1,2,.500,0,0,,0,1,1,3,0,0,2,4,9,2.4,+16
40,38,2015-01-23,28-335,DAL,,CHI,L (-4),1,26:57,3,9,.333,0,0,,0,0,,2,0,2,4,1,0,2,3,6,2.9,-5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,39,2015-01-25,28-337,DAL,@,NOP,L (-3),1,33:44,7,10,.700,2,2,1.000,1,2,.500,2,6,8,9,2,0,2,1,17,21.5,+1
42,40,2015-01-27,28-339,DAL,,MEM,L (-19),1,27:47,3,8,.375,1,3,.333,0,0,,2,5,7,5,2,0,3,2,7,7.2,-14
43,41,2015-01-28,28-340,DAL,@,HOU,L (-5),1,34:23,0,7,.000,0,2,.000,0,0,,0,5,5,6,1,1,5,1,0,-2.9,+3
44,42,2015-01-30,28-342,DAL,@,MIA,W (+21),1,23:03,2,4,.500,0,0,,0,0,,1,3,4,4,2,0,2,0,4,6.4,-3
45,43,2015-01-31,28-343,DAL,@,ORL,W (+15),1,1:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1
46,,2015-02-02,28-345,DAL,,MIN,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2015-02-04,28-347,DAL,,GSW,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2015-02-05,28-348,DAL,,SAC,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2015-02-07,28-350,DAL,,POR,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2015-02-09,28-352,DAL,,LAC,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
