<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,23-266,TOR,,ATL,W (+7),1,28:17,5,11,.455,3,5,.600,0,0,,0,3,3,3,1,1,0,2,13,11.2,-1
2,2,2014-11-01,23-269,TOR,@,ORL,W (+13),1,28:38,3,7,.429,2,5,.400,2,2,1.000,1,2,3,0,1,1,1,3,10,7.1,+17
3,3,2014-11-02,23-270,TOR,@,MIA,L (-5),1,17:09,2,7,.286,0,3,.000,2,2,1.000,0,1,1,0,1,0,0,1,6,2.8,-13
4,4,2014-11-04,23-272,TOR,,OKC,W (+12),1,24:46,4,10,.400,1,6,.167,0,0,,0,3,3,1,0,0,2,2,9,2.4,+10
5,5,2014-11-05,23-273,TOR,@,BOS,W (+3),1,24:14,1,5,.200,0,1,.000,0,0,,0,2,2,2,0,1,1,1,2,0.2,-4
6,6,2014-11-07,23-275,TOR,,WAS,W (+19),1,29:23,7,15,.467,4,6,.667,0,0,,2,3,5,1,0,0,3,4,18,8.7,+19
7,7,2014-11-09,23-277,TOR,,PHI,W (+32),1,29:16,6,11,.545,4,7,.571,1,2,.500,1,4,5,1,2,2,1,0,17,16.3,+28
8,8,2014-11-11,23-279,TOR,,ORL,W (+4),1,27:49,4,8,.500,4,5,.800,5,5,1.000,0,4,4,0,1,0,1,1,17,13.8,-2
9,9,2014-11-13,23-281,TOR,,CHI,L (-7),1,32:38,5,10,.500,2,7,.286,0,0,,0,3,3,2,1,1,1,4,12,8.4,+1
10,10,2014-11-15,23-283,TOR,,UTA,W (+18),1,22:40,2,5,.400,0,3,.000,0,0,,0,1,1,2,0,0,0,2,4,2.2,+9
11,11,2014-11-19,23-287,TOR,,MEM,W (+4),1,33:48,6,14,.429,3,6,.500,1,1,1.000,0,2,2,1,1,1,1,2,16,9.8,-3
12,12,2014-11-21,23-289,TOR,,MIL,W (+42),1,23:45,5,8,.625,3,5,.600,0,0,,0,2,2,2,1,0,0,1,13,12.0,+34
13,13,2014-11-22,23-290,TOR,@,CLE,W (+17),1,18:28,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,0,0,2,2,-1.6,-17
14,14,2014-11-24,23-292,TOR,,PHO,W (+4),1,29:17,4,11,.364,2,5,.400,3,3,1.000,0,4,4,1,1,0,0,2,13,9.0,-3
15,15,2014-11-26,23-294,TOR,@,ATL,W (+11),1,21:42,4,7,.571,2,4,.500,2,2,1.000,0,1,1,0,0,0,0,1,12,8.6,-1
16,16,2014-11-28,23-296,TOR,,DAL,L (-4),1,23:20,3,8,.375,1,4,.250,0,0,,1,0,1,0,1,0,1,1,7,2.9,-7
17,17,2014-11-30,23-298,TOR,@,LAL,L (-7),1,38:01,8,12,.667,4,7,.571,0,0,,1,4,5,1,0,0,1,3,20,15.2,-3
18,18,2014-12-02,23-300,TOR,@,SAC,W (+8),1,30:12,8,15,.533,4,8,.500,0,0,,2,2,4,0,0,0,1,5,20,11.7,+10
19,19,2014-12-03,23-301,TOR,@,UTA,W (+19),1,30:44,4,8,.500,1,3,.333,2,2,1.000,3,1,4,0,1,0,1,1,11,9.0,+5
20,20,2014-12-05,23-303,TOR,,CLE,L (-14),1,30:43,2,9,.222,2,5,.400,0,0,,1,5,6,0,1,1,1,0,6,3.4,-15
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-08,23-306,TOR,,DEN,W (+5),1,39:38,7,15,.467,1,8,.125,1,2,.500,0,4,4,0,1,0,0,0,16,10.1,+7
22,22,2014-12-09,23-307,TOR,@,CLE,L (-4),1,27:42,8,13,.615,1,4,.250,1,1,1.000,1,2,3,1,0,0,5,2,18,8.3,-1
23,23,2014-12-12,23-310,TOR,,IND,W (+12),1,26:41,3,11,.273,0,4,.000,2,2,1.000,0,7,7,1,1,0,3,4,8,0.7,-9
24,24,2014-12-14,23-312,TOR,@,NYK,W (+5),1,33:25,8,14,.571,3,5,.600,3,3,1.000,0,5,5,1,2,0,2,3,22,16.4,+13
25,25,2014-12-15,23-313,TOR,,ORL,W (+13),1,21:40,3,11,.273,3,7,.429,0,0,,0,6,6,1,0,0,0,1,9,4.6,+14
26,26,2014-12-17,23-315,TOR,,BRK,W (+16),1,22:11,3,10,.300,2,5,.400,1,1,1.000,0,1,1,0,0,0,2,2,9,0.7,+4
27,27,2014-12-19,23-317,TOR,@,DET,W (+10),1,21:39,5,13,.385,1,5,.200,0,0,,1,5,6,1,1,0,0,0,11,7.8,+19
28,28,2014-12-21,23-319,TOR,,NYK,W (+10),1,35:54,7,15,.467,4,9,.444,0,1,.000,0,2,2,1,0,0,0,1,18,10.8,+5
29,29,2014-12-22,23-320,TOR,@,CHI,L (-9),1,35:06,6,16,.375,5,11,.455,0,0,,1,3,4,1,2,1,2,6,17,8.8,-13
30,30,2014-12-27,23-325,TOR,@,LAC,W (+12),1,36:49,5,15,.333,1,8,.125,0,0,,0,2,2,3,1,1,0,3,11,5.7,+21
31,31,2014-12-28,23-326,TOR,@,DEN,W (+14),1,35:20,3,10,.300,1,3,.333,1,2,.500,1,7,8,1,0,0,1,1,8,3.9,+6
32,32,2014-12-30,23-328,TOR,@,POR,L (-5),1,38:16,5,15,.333,2,6,.333,0,0,,1,4,5,1,2,0,0,0,12,8.1,-5
33,33,2015-01-02,23-331,TOR,@,GSW,L (-21),1,29:00,4,10,.400,2,6,.333,2,2,1.000,0,0,0,1,2,0,3,3,12,5.1,-19
34,34,2015-01-04,23-333,TOR,@,PHO,L (-16),1,26:44,5,10,.500,2,3,.667,0,0,,1,5,6,0,0,0,2,1,12,6.8,-16
35,35,2015-01-08,23-337,TOR,,CHO,L (-8),1,21:46,3,10,.300,1,4,.250,0,0,,0,4,4,1,1,1,0,4,7,3.2,-14
36,36,2015-01-10,23-339,TOR,,BOS,W (+13),1,20:37,2,9,.222,2,4,.500,0,0,,0,1,1,2,0,0,1,2,6,0.4,-1
37,37,2015-01-12,23-341,TOR,,DET,L (-3),1,23:12,5,11,.455,2,8,.250,0,0,,0,1,1,0,0,1,1,1,12,5.9,+1
38,38,2015-01-14,23-343,TOR,,PHI,W (+16),1,18:23,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,0,1,2,-0.8,+8
39,39,2015-01-16,23-345,TOR,,ATL,L (-21),1,26:07,1,8,.125,1,4,.250,2,2,1.000,1,1,2,1,0,0,0,0,5,1.5,-17
40,40,2015-01-18,23-347,TOR,,NOP,L (-2),1,10:44,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.8,-11
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-19,23-348,TOR,@,MIL,W (+3),0,22:54,7,12,.583,2,5,.400,0,2,.000,1,4,5,1,1,0,1,4,16,10.6,0
42,42,2015-01-21,23-350,TOR,@,MEM,L (-6),0,17:56,0,3,.000,0,1,.000,0,0,,0,4,4,0,0,1,0,0,0,-0.2,-1
43,43,2015-01-23,23-352,TOR,@,PHI,W (+5),0,21:07,2,5,.400,1,3,.333,0,0,,0,2,2,2,0,2,0,0,5,5.7,+3
44,44,2015-01-25,23-354,TOR,,DET,W (+4),0,22:41,2,6,.333,1,4,.250,2,2,1.000,0,3,3,1,0,1,1,1,7,4.5,-9
45,45,2015-01-27,23-356,TOR,@,IND,W (+13),0,19:01,5,10,.500,1,4,.250,0,0,,2,4,6,1,0,0,2,3,11,6.1,+4
46,46,2015-01-28,23-357,TOR,,SAC,W (+17),0,15:30,5,6,.833,2,3,.667,1,1,1.000,0,0,0,2,0,0,0,0,13,12.2,0
47,47,2015-01-30,23-359,TOR,@,BRK,W (+5),0,20:17,2,7,.286,1,3,.333,0,0,,0,1,1,1,0,0,0,0,5,1.9,-7
48,48,2015-01-31,23-360,TOR,@,WAS,W (+4),0,17:54,3,6,.500,1,3,.333,1,1,1.000,0,2,2,1,0,0,2,0,8,4.3,+2
49,49,2015-02-02,23-362,TOR,,MIL,L (-7),0,31:40,4,12,.333,2,5,.400,0,0,,0,4,4,2,1,0,0,5,10,4.8,+8
50,50,2015-02-04,23-364,TOR,,BRK,L (-16),0,29:20,9,16,.563,5,11,.455,0,0,,0,3,3,0,0,1,0,1,23,16.6,0
51,51,2015-02-06,24-001,TOR,,LAC,W (+16),0,20:34,0,4,.000,0,3,.000,1,4,.250,0,4,4,4,0,0,2,4,1,-2.6,+9
52,52,2015-02-08,24-003,TOR,,SAS,W (+5),0,14:39,1,4,.250,0,0,,0,0,,0,4,4,1,2,0,1,0,2,2.5,-15
53,53,2015-02-11,24-006,TOR,,WAS,W (+2),0,13:26,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,-4
54,54,2015-02-20,24-015,TOR,@,ATL,W (+25),0,22:38,1,8,.125,1,5,.200,0,0,,0,2,2,1,1,0,1,2,3,-1.7,+9
55,55,2015-02-21,24-016,TOR,@,HOU,L (-22),0,20:33,2,9,.222,0,1,.000,2,2,1.000,1,3,4,2,1,0,2,2,6,1.7,-13
56,56,2015-02-23,24-018,TOR,@,NOP,L (-3),0,21:32,2,7,.286,2,5,.400,0,0,,0,2,2,0,1,0,0,1,6,3.1,+2
57,57,2015-02-24,24-019,TOR,@,DAL,L (-7),0,16:28,1,3,.333,1,2,.500,0,0,,1,0,1,1,2,1,1,1,3,4.0,-1
58,58,2015-02-27,24-022,TOR,,GSW,L (-24),0,24:22,7,14,.500,3,8,.375,1,2,.500,0,2,2,1,1,0,1,1,18,11.5,-9
59,59,2015-02-28,24-023,TOR,@,NYK,L (-5),0,15:49,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.2,-14
60,60,2015-03-02,24-025,TOR,@,PHI,W (+11),0,29:18,4,10,.400,4,7,.571,0,0,,0,1,1,2,0,0,1,0,12,7.3,+10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,2015-03-04,24-027,TOR,,CLE,L (-8),0,25:35,5,9,.556,2,5,.400,0,0,,0,3,3,1,1,0,1,1,12,8.9,-12
62,62,2015-03-06,24-029,TOR,@,CHO,L (-9),1,32:13,3,10,.300,2,7,.286,0,0,,1,2,3,7,2,0,0,1,8,10.0,+3
63,63,2015-03-08,24-031,TOR,@,OKC,L (-4),1,25:44,7,12,.583,6,9,.667,0,0,,1,3,4,2,2,1,0,3,20,18.9,+2
64,64,2015-03-10,24-033,TOR,@,SAS,L (-10),1,24:47,2,9,.222,1,6,.167,0,0,,0,2,2,0,1,1,2,0,5,-0.2,+1
65,65,2015-03-13,24-036,TOR,,MIA,W (+10),1,20:20,3,8,.375,3,7,.429,0,0,,0,2,2,0,0,1,0,2,9,5.1,+8
66,66,2015-03-15,24-038,TOR,,POR,L (-16),1,25:13,1,6,.167,1,3,.333,0,0,,0,1,1,1,0,0,1,3,3,-2.0,-11
67,67,2015-03-16,24-039,TOR,@,IND,W (+19),1,20:30,3,6,.500,3,4,.750,0,0,,0,1,1,0,0,0,1,3,9,4.1,+12
68,68,2015-03-18,24-041,TOR,,MIN,W (+5),1,28:44,6,9,.667,3,5,.600,0,0,,0,0,0,1,0,0,1,1,15,10.4,-1
69,69,2015-03-20,24-043,TOR,@,CHI,L (-16),1,31:33,4,13,.308,1,6,.167,0,0,,0,1,1,2,1,0,0,1,9,3.8,-6
70,70,2015-03-22,24-045,TOR,,NYK,W (+17),1,30:55,4,7,.571,1,1,1.000,2,3,.667,1,2,3,0,1,0,0,2,11,8.8,+14
71,71,2015-03-24,24-047,TOR,@,DET,L (-4),1,30:09,4,11,.364,1,5,.200,0,0,,0,2,2,1,0,0,0,3,9,3.0,-7
72,72,2015-03-25,24-048,TOR,,CHI,L (-13),1,36:18,7,11,.636,2,4,.500,0,0,,0,0,0,1,1,0,0,2,16,12.0,-1
73,73,2015-03-27,24-050,TOR,,LAL,W (+11),1,21:49,4,8,.500,2,4,.500,0,0,,0,1,1,1,2,1,0,0,10,9.7,0
74,74,2015-03-30,24-053,TOR,,HOU,W (+3),1,23:10,2,6,.333,1,2,.500,0,0,,0,1,1,1,1,0,1,4,5,1.0,-7
75,75,2015-04-01,24-055,TOR,@,MIN,W (+14),1,28:07,6,11,.545,2,5,.400,2,2,1.000,1,1,2,1,0,0,0,1,16,12.0,+9
76,76,2015-04-03,24-057,TOR,@,BRK,L (-5),1,21:09,2,6,.333,0,3,.000,0,0,,0,0,0,2,0,0,3,4,4,-2.6,-9
77,77,2015-04-04,24-058,TOR,,BOS,L (-1),1,29:44,1,3,.333,1,3,.333,1,2,.500,1,6,7,1,0,0,0,0,4,5.1,0
78,78,2015-04-08,24-062,TOR,@,CHO,W (+18),1,23:24,3,7,.429,3,5,.600,0,0,,0,1,1,2,2,0,1,2,9,7.2,+14
