<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,IND,NBA,SG,75,19,1803,243,575,.423,78,209,.373,165,366,.451,.490,46,66,.697,34,199,233,66,38,37,75,128,610
2009-10,24,IND,NBA,SG,82,64,2491,297,702,.423,124,302,.411,173,400,.433,.511,56,89,.629,41,305,346,112,56,65,93,159,774
2010-11,25,IND,NBA,SG,67,21,1754,217,515,.421,93,223,.417,124,292,.425,.512,80,106,.755,33,184,217,62,41,35,69,107,607
2011-12,26,GSW,NBA,SF,65,1,1717,235,469,.501,99,219,.452,136,250,.544,.607,65,82,.793,33,218,251,88,35,58,68,64,634
2012-13,27,GSW,NBA,SF,2,0,25,6,9,.667,0,2,.000,6,7,.857,.667,2,3,.667,0,1,1,2,0,0,3,5,14
2013-14,28,UTA,NBA,SG,38,0,418,30,90,.333,16,47,.340,14,43,.326,.422,3,5,.600,5,39,44,24,5,9,20,31,79
2014-15,29,GSW,NBA,SG,33,0,271,11,54,.204,3,27,.111,8,27,.296,.231,5,11,.455,4,37,41,12,5,12,11,27,30
2015-16,30,GSW,NBA,SG,12,4,135,17,38,.447,12,23,.522,5,15,.333,.605,5,8,.625,5,25,30,5,3,2,8,5,51
Career,,,NBA,,374,109,8614,1056,2452,.431,425,1052,.404,631,1400,.451,.517,262,370,.708,155,1008,1163,371,183,218,347,526,2799
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,224,104,6048,757,1792,.422,295,734,.402,462,1058,.437,.505,182,261,.697,108,688,796,240,135,137,237,394,1991
4 seasons,,GSW,NBA,,112,5,2148,269,570,.472,114,271,.421,155,299,.518,.572,77,104,.740,42,281,323,107,43,72,90,101,729
1 season,,UTA,NBA,,38,0,418,30,90,.333,16,47,.340,14,43,.326,.422,3,5,.600,5,39,44,24,5,9,20,31,79
