<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-28,25-144,LAL,,HOU,L (-18),0,7:07,1,5,.200,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-0.5,+8
2,2,2014-10-29,25-145,LAL,@,PHO,L (-20),0,12:00,2,4,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,6,4.0,+5
3,3,2014-10-31,25-147,LAL,,LAC,L (-7),0,13:46,2,3,.667,0,0,,4,4,1.000,1,1,2,0,0,0,3,2,8,3.9,+6
4,4,2014-11-01,25-148,LAL,@,GSW,L (-23),0,6:57,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,2,1,4,0.3,-6
5,,2014-11-04,25-151,LAL,,PHO,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,5,2014-11-09,25-156,LAL,,CHO,W (+15),0,11:22,2,4,.500,0,0,,2,4,.500,1,2,3,0,0,1,0,1,6,4.8,+7
7,6,2014-11-11,25-158,LAL,@,MEM,L (-5),0,5:08,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,0,2,2.4,-4
8,7,2014-11-12,25-159,LAL,@,NOP,L (-7),0,3:10,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+10
9,8,2014-11-14,25-161,LAL,,SAS,L (-13),0,14:24,1,5,.200,0,0,,0,0,,1,2,3,0,0,0,0,0,2,0.2,+1
10,9,2014-11-16,25-163,LAL,,GSW,L (-21),0,15:12,5,8,.625,0,0,,0,0,,1,2,3,1,1,0,0,1,10,9.0,+17
11,10,2014-11-18,25-165,LAL,@,ATL,W (+5),0,12:23,2,4,.500,0,0,,0,0,,0,1,1,1,0,0,0,3,4,1.8,-4
12,11,2014-11-19,25-166,LAL,@,HOU,W (+6),0,6:57,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-4
13,12,2014-11-21,25-168,LAL,@,DAL,L (-34),0,16:08,5,5,1.000,0,0,,0,2,.000,1,3,4,1,0,0,1,3,10,7.8,-13
14,13,2014-11-23,25-170,LAL,,DEN,L (-7),0,18:09,4,6,.667,0,0,,5,6,.833,2,1,3,1,3,1,0,2,13,15.3,+3
15,14,2014-11-26,25-173,LAL,,MEM,L (-6),0,12:05,3,5,.600,0,0,,0,0,,1,3,4,0,0,0,1,3,6,3.1,-4
16,15,2014-11-28,25-175,LAL,,MIN,L (-1),0,8:15,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,0,0,6,3.7,+2
17,16,2014-11-30,25-177,LAL,,TOR,W (+7),0,18:50,2,4,.500,0,0,,2,3,.667,3,3,6,0,0,2,1,0,6,7.0,+7
18,17,2014-12-02,25-179,LAL,@,DET,W (+10),0,17:21,1,8,.125,0,0,,1,2,.500,0,1,1,0,0,1,0,3,3,-2.8,0
19,18,2014-12-03,25-180,LAL,@,WAS,L (-16),0,20:13,3,9,.333,0,0,,0,0,,1,4,5,3,0,2,0,1,6,5.9,+9
20,19,2014-12-05,25-182,LAL,@,BOS,L (-17),0,26:15,1,10,.100,0,0,,0,0,,1,2,3,1,0,1,1,3,2,-4.1,+8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,20,2014-12-07,25-184,LAL,,NOP,L (-17),0,16:41,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,0,0,2,2.6,-1
22,21,2014-12-09,25-186,LAL,,SAC,W (+3),0,14:06,2,3,.667,0,0,,0,0,,3,1,4,1,0,1,0,2,4,5.7,+2
23,22,2014-12-12,25-189,LAL,@,SAS,W (+2),0,17:59,2,3,.667,0,0,,0,0,,1,5,6,0,1,0,0,1,4,5.5,+10
24,23,2014-12-14,25-191,LAL,@,MIN,W (+6),0,18:47,2,3,.667,0,0,,0,0,,1,4,5,1,0,0,1,4,4,2.7,+6
25,24,2014-12-15,25-192,LAL,@,IND,L (-19),0,23:23,0,2,.000,0,0,,1,2,.500,2,4,6,0,1,1,0,1,1,3.1,0
26,25,2014-12-19,25-196,LAL,,OKC,L (-1),0,14:24,0,3,.000,0,0,,0,0,,0,3,3,1,1,1,0,3,0,0.0,+6
27,26,2014-12-21,25-198,LAL,@,SAC,L (-7),0,13:17,1,2,.500,0,0,,1,4,.250,2,2,4,0,0,2,0,3,3,3.0,+5
28,27,2014-12-23,25-200,LAL,,GSW,W (+10),0,23:07,3,6,.500,0,0,,0,0,,2,0,2,3,0,2,0,1,6,7.5,+8
29,28,2014-12-25,25-202,LAL,@,CHI,L (-20),0,14:40,1,2,.500,0,0,,0,0,,1,0,1,1,0,2,0,2,2,3.0,-8
30,29,2014-12-26,25-203,LAL,@,DAL,L (-4),0,15:36,1,2,.500,0,0,,0,0,,2,3,5,0,0,0,1,1,2,1.9,+1
31,30,2014-12-28,25-205,LAL,,PHO,L (-9),0,14:04,1,3,.333,0,0,,1,2,.500,0,1,1,0,0,0,0,1,3,0.8,+3
32,31,2014-12-30,25-207,LAL,@,DEN,W (+8),0,13:14,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,2,0,-0.1,-3
33,32,2015-01-02,25-210,LAL,,MEM,L (-3),0,12:50,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-9
34,33,2015-01-04,25-212,LAL,,IND,W (+1),0,12:42,0,1,.000,0,0,,0,0,,1,3,4,1,0,1,0,1,0,1.9,-2
35,34,2015-01-05,25-213,LAL,@,POR,L (-4),0,14:09,1,2,.500,0,0,,1,1,1.000,2,3,5,0,1,0,0,2,3,4.5,+7
36,35,2015-01-07,25-215,LAL,@,LAC,L (-25),0,10:21,0,2,.000,0,0,,0,0,,2,2,4,0,0,0,1,3,0,-1.6,-5
37,36,2015-01-09,25-217,LAL,,ORL,W (+17),0,8:05,0,2,.000,0,0,,1,2,.500,2,1,3,1,0,0,0,1,1,1.2,0
38,,2015-01-11,25-219,LAL,,POR,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,,2015-01-13,25-221,LAL,,MIA,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2015-01-15,25-223,LAL,,CLE,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,,2015-01-16,25-224,LAL,,UTA,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2015-01-19,25-227,LAL,,PHO,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,37,2015-01-21,25-229,LAL,@,NOP,L (-16),0,10:29,0,2,.000,0,0,,0,0,,0,2,2,0,1,1,0,2,0,0.1,-1
44,38,2015-01-23,25-231,LAL,@,SAS,L (-14),1,26:01,2,8,.250,0,0,,3,4,.750,4,3,7,0,0,0,0,3,7,4.3,-4
45,39,2015-01-25,25-233,LAL,,HOU,L (-12),1,21:16,2,4,.500,0,0,,1,2,.500,1,7,8,1,0,0,2,3,5,2.9,-12
46,40,2015-01-27,25-235,LAL,,WAS,L (-6),1,28:51,3,9,.333,0,0,,0,0,,1,7,8,1,2,2,1,3,6,5.6,-2
47,41,2015-01-29,25-237,LAL,,CHI,W (+5),1,30:25,3,6,.500,0,0,,3,4,.750,4,5,9,4,0,2,0,6,9,11.7,+1
48,42,2015-02-01,25-240,LAL,@,NYK,L (-12),1,22:04,0,6,.000,0,0,,2,2,1.000,4,4,8,0,1,2,0,1,2,3.8,-14
49,43,2015-02-04,25-243,LAL,@,MIL,L (-8),1,19:41,5,7,.714,0,0,,0,0,,2,2,4,1,0,0,0,2,10,9.0,-1
50,44,2015-02-06,25-245,LAL,@,ORL,L (-6),1,32:23,4,12,.333,0,0,,2,2,1.000,2,4,6,3,1,2,0,1,10,9.9,+2
51,45,2015-02-08,25-247,LAL,@,CLE,L (-15),1,24:00,2,8,.250,0,0,,0,2,.000,2,3,5,2,2,2,2,0,4,3.5,-15
52,46,2015-02-10,25-249,LAL,,DEN,L (-10),1,18:59,2,4,.500,0,0,,0,2,.000,4,3,7,0,0,0,0,4,4,3.3,-1
53,47,2015-02-11,25-250,LAL,@,POR,L (-16),1,26:48,5,11,.455,0,0,,2,2,1.000,2,0,2,2,0,0,1,5,12,6.1,-12
54,48,2015-02-20,25-259,LAL,,BRK,L (-9),1,19:44,5,9,.556,0,0,,3,4,.750,4,3,7,2,1,1,2,1,13,12.7,-3
55,49,2015-02-22,25-261,LAL,,BOS,W (+7),1,11:21,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-0.1,-7
56,50,2015-02-25,25-264,LAL,@,UTA,W (+3),1,21:27,1,2,.500,0,0,,4,4,1.000,0,0,0,1,1,0,0,1,6,6.3,+7
57,51,2015-02-27,25-266,LAL,,MIL,W (+8),1,19:31,4,7,.571,0,0,,4,6,.667,2,3,5,0,1,0,0,2,12,10.4,-2
58,52,2015-03-01,25-268,LAL,,OKC,L (-7),1,18:23,3,5,.600,0,0,,0,0,,0,2,2,1,1,2,0,2,6,6.6,-14
59,53,2015-03-03,25-270,LAL,@,CHO,L (-1),1,21:50,2,6,.333,0,0,,2,2,1.000,1,4,5,0,1,1,0,4,6,4.6,-9
60,54,2015-03-04,25-271,LAL,@,MIA,L (-6),1,16:58,1,3,.333,0,0,,0,0,,0,1,1,1,1,0,2,4,2,-1.3,-6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,55,2015-03-06,25-273,LAL,@,MEM,L (-7),1,15:15,0,3,.000,0,0,,0,0,,1,1,2,2,0,1,0,2,0,0.2,-7
62,,2015-03-08,25-275,LAL,,DAL,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,,2015-03-10,25-277,LAL,,DET,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,,2015-03-12,25-279,LAL,,NYK,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,,2015-03-15,25-282,LAL,,ATL,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
66,,2015-03-16,25-283,LAL,,GSW,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,,2015-03-19,25-286,LAL,,UTA,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
68,,2015-03-22,25-289,LAL,,PHI,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,56,2015-03-24,25-291,LAL,@,OKC,L (-10),0,18:53,0,3,.000,0,0,,0,0,,1,1,2,2,2,0,2,3,0,-0.9,+3
70,57,2015-03-25,25-292,LAL,@,MIN,W (+2),0,15:42,2,5,.400,0,0,,0,0,,1,1,2,2,0,0,1,2,4,1.9,-11
71,58,2015-03-27,25-294,LAL,@,TOR,L (-11),0,24:20,2,7,.286,0,0,,3,4,.750,3,2,5,3,1,1,1,3,7,6.8,-3
72,59,2015-03-29,25-296,LAL,@,BRK,L (-8),0,19:46,2,5,.400,0,0,,0,0,,0,0,0,1,1,0,1,0,4,2.0,+4
73,60,2015-03-30,25-297,LAL,@,PHI,W (+2),0,21:46,3,6,.500,0,0,,0,0,,2,1,3,0,0,2,1,1,6,4.7,-10
74,,2015-04-01,25-299,LAL,,NOP,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
