<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-105,ATL,@,TOR,L (-7),0,20:35,8,11,.727,4,6,.667,0,0,,0,4,4,1,0,0,1,5,20,14.4,+7
2,2,2014-11-01,26-108,ATL,,IND,W (+10),0,14:00,1,1,1.000,1,1,1.000,2,4,.500,1,2,3,1,1,0,1,1,5,5.5,+6
3,3,2014-11-05,26-112,ATL,@,SAS,L (-2),0,14:00,5,7,.714,2,4,.500,0,0,,0,4,4,1,0,0,1,1,12,9.6,+2
4,4,2014-11-07,26-114,ATL,@,CHO,L (-3),0,13:15,2,8,.250,2,7,.286,0,0,,0,1,1,0,0,0,2,2,6,-1.3,-8
5,5,2014-11-08,26-115,ATL,,NYK,W (+7),0,11:41,3,7,.429,1,2,.500,0,0,,1,0,1,0,0,0,0,1,7,3.6,-2
6,6,2014-11-10,26-117,ATL,@,NYK,W (+6),0,14:13,2,7,.286,2,3,.667,2,2,1.000,0,2,2,0,0,0,1,2,8,2.7,-1
7,,2014-11-12,26-119,ATL,,UTA,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7,2014-11-14,26-121,ATL,,MIA,W (+11),0,17:09,4,8,.500,0,3,.000,3,3,1.000,0,2,2,1,0,0,0,2,11,7.5,+12
9,8,2014-11-15,26-122,ATL,@,CLE,L (-33),0,13:14,2,8,.250,0,3,.000,1,1,1.000,0,0,0,0,0,0,1,2,5,-1.6,-34
10,9,2014-11-18,26-125,ATL,,LAL,L (-5),0,15:27,3,11,.273,1,4,.250,1,1,1.000,0,2,2,0,0,0,0,1,8,1.7,-3
11,10,2014-11-21,26-128,ATL,,DET,W (+10),0,11:05,2,4,.500,0,1,.000,0,0,,0,2,2,0,1,0,0,1,4,3.2,-9
12,11,2014-11-25,26-132,ATL,@,WAS,W (+4),0,22:29,5,10,.500,2,5,.400,5,6,.833,4,4,8,1,0,1,1,3,17,14.8,-2
13,12,2014-11-26,26-133,ATL,,TOR,L (-11),0,10:46,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,1,1,4,0.2,-9
14,13,2014-11-28,26-135,ATL,,NOP,W (+9),0,3:30,0,3,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,0,0,-1.1,-3
15,14,2014-11-29,26-136,ATL,,CHO,W (+30),0,22:08,5,7,.714,2,3,.667,2,2,1.000,0,3,3,1,0,0,3,4,14,8.1,+2
16,15,2014-12-02,26-139,ATL,,BOS,W (+4),0,6:28,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,3.7,-12
17,16,2014-12-03,26-140,ATL,@,MIA,W (+10),0,13:13,4,5,.800,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,9,6.3,+1
18,17,2014-12-05,26-142,ATL,@,BRK,W (+23),0,13:29,3,6,.500,1,4,.250,0,0,,1,1,2,1,0,0,1,4,7,3.1,+14
19,18,2014-12-07,26-144,ATL,,DEN,W (+12),0,17:00,2,6,.333,1,1,1.000,2,2,1.000,0,2,2,2,1,0,1,1,7,5.2,+11
20,19,2014-12-08,26-145,ATL,@,IND,W (+16),0,15:22,3,5,.600,0,1,.000,0,0,,0,1,1,2,0,0,2,2,6,2.6,-2
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-10,26-147,ATL,,PHI,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,20,2014-12-12,26-149,ATL,,ORL,W (+6),0,17:03,2,5,.400,1,2,.500,3,4,.750,0,3,3,1,1,0,0,0,8,7.5,+11
23,21,2014-12-13,26-150,ATL,@,ORL,L (-1),0,16:42,3,7,.429,2,5,.400,2,2,1.000,0,1,1,2,0,0,0,1,10,7.6,+3
24,22,2014-12-15,26-152,ATL,,CHI,W (+7),0,12:50,2,5,.400,1,3,.333,0,0,,0,2,2,1,0,0,0,0,5,3.6,-7
25,23,2014-12-17,26-154,ATL,@,CLE,W (+29),0,25:10,5,7,.714,2,3,.667,3,4,.750,0,0,0,4,1,0,1,1,15,14.1,+5
26,24,2014-12-20,26-157,ATL,@,HOU,W (+7),0,18:21,3,6,.500,0,2,.000,0,0,,0,0,0,1,0,0,0,1,6,3.3,+1
27,25,2014-12-22,26-159,ATL,@,DAL,W (+3),0,8:56,2,4,.500,0,0,,0,0,,0,3,3,1,0,0,0,3,4,2.4,-4
28,26,2014-12-23,26-160,ATL,,LAC,W (+3),0,10:17,1,1,1.000,0,0,,3,4,.750,0,2,2,0,0,0,0,0,5,4.9,0
29,27,2014-12-26,26-163,ATL,,MIL,L (-30),0,14:14,2,4,.500,1,1,1.000,0,0,,1,2,3,0,0,0,1,0,5,3.3,-12
30,28,2014-12-27,26-164,ATL,@,MIL,W (+5),0,10:19,1,5,.200,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-1.2,-16
31,29,2014-12-30,26-167,ATL,,CLE,W (+8),0,21:07,4,9,.444,2,4,.500,2,2,1.000,1,4,5,1,1,0,1,0,12,9.9,+7
32,30,2015-01-02,26-170,ATL,@,UTA,W (+6),0,14:18,3,8,.375,1,4,.250,1,2,.500,1,0,1,1,0,0,1,0,8,3.6,-16
33,31,2015-01-03,26-171,ATL,@,POR,W (+8),0,3:47,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-3
34,32,2015-01-05,26-173,ATL,@,LAC,W (+9),0,8:59,0,5,.000,0,2,.000,2,2,1.000,2,3,5,1,0,0,2,3,2,-1.7,-5
35,33,2015-01-07,26-175,ATL,,MEM,W (+10),0,14:53,3,5,.600,2,2,1.000,0,0,,2,4,6,1,0,0,0,0,8,9.0,-5
36,34,2015-01-09,26-177,ATL,@,DET,W (+3),0,20:03,2,7,.286,1,5,.200,0,0,,2,5,7,4,0,0,0,0,5,6.6,+2
37,35,2015-01-11,26-179,ATL,,WAS,W (+31),0,17:54,5,10,.500,1,3,.333,0,0,,1,5,6,2,1,0,0,2,11,9.8,+27
38,36,2015-01-13,26-181,ATL,@,PHI,W (+18),0,25:41,3,7,.429,1,2,.500,1,2,.500,2,3,5,0,0,0,1,2,8,4.4,+11
39,37,2015-01-14,26-182,ATL,@,BOS,W (+14),0,22:02,4,8,.500,1,2,.500,2,2,1.000,0,4,4,3,0,0,1,1,11,8.9,+10
40,38,2015-01-16,26-184,ATL,@,TOR,W (+21),0,12:31,1,3,.333,0,2,.000,2,2,1.000,0,1,1,1,0,0,1,0,4,2.3,-5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,39,2015-01-17,26-185,ATL,@,CHI,W (+8),0,12:51,2,7,.286,1,2,.500,1,1,1.000,1,2,3,3,1,0,2,2,6,3.5,+8
42,40,2015-01-19,26-187,ATL,,DET,W (+11),0,20:52,9,15,.600,2,6,.333,0,0,,2,3,5,0,2,0,0,1,20,17.0,+7
