<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,30-180,ATL,@,TOR,L (-7),0,16:32,0,3,.000,0,1,.000,0,0,,0,2,2,2,0,1,1,1,0,-0.8,-5
2,2,2014-11-01,30-183,ATL,,IND,W (+10),0,14:09,1,5,.200,0,1,.000,1,2,.500,0,5,5,1,1,1,0,3,3,2.2,+8
3,3,2014-11-05,30-187,ATL,@,SAS,L (-2),0,17:08,0,1,.000,0,1,.000,4,4,1.000,1,3,4,2,2,2,0,1,4,9.3,+5
4,4,2014-11-07,30-189,ATL,@,CHO,L (-3),0,28:14,1,5,.200,0,1,.000,1,2,.500,0,8,8,1,0,0,1,5,3,-0.4,-7
5,5,2014-11-08,30-190,ATL,,NYK,W (+7),0,16:23,3,9,.333,0,2,.000,2,2,1.000,4,1,5,2,1,0,1,2,8,6.6,+5
6,6,2014-11-10,30-192,ATL,@,NYK,W (+6),0,21:27,2,5,.400,0,1,.000,0,0,,1,1,2,3,1,0,0,3,4,4.2,-6
7,7,2014-11-12,30-194,ATL,,UTA,W (+3),1,34:44,5,8,.625,0,1,.000,0,1,.000,1,4,5,1,1,0,1,1,10,8.2,+4
8,8,2014-11-14,30-196,ATL,,MIA,W (+11),1,32:31,4,7,.571,1,2,.500,3,4,.750,1,5,6,1,1,3,3,3,12,10.1,+2
9,9,2014-11-15,30-197,ATL,@,CLE,L (-33),1,20:47,4,10,.400,0,3,.000,2,2,1.000,1,4,5,2,2,1,1,0,10,9.6,-3
10,10,2014-11-18,30-200,ATL,,LAL,L (-5),1,31:28,4,11,.364,1,4,.250,1,2,.500,6,3,9,2,1,0,1,3,10,8.8,+2
11,11,2014-11-21,30-203,ATL,,DET,W (+10),0,17:24,1,4,.250,0,2,.000,2,2,1.000,2,5,7,0,0,0,0,3,4,3.3,+5
12,12,2014-11-25,30-207,ATL,@,WAS,W (+4),0,14:09,1,4,.250,0,1,.000,0,0,,1,1,2,0,1,1,0,0,2,2.3,-5
13,,2014-11-26,30-208,ATL,,TOR,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2014-11-28,30-210,ATL,,NOP,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,13,2014-11-29,30-211,ATL,,CHO,W (+30),0,5:53,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-0.4,-4
16,14,2014-12-02,30-214,ATL,,BOS,W (+4),0,7:06,0,3,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1.4,-11
17,15,2014-12-03,30-215,ATL,@,MIA,W (+10),0,17:29,3,4,.750,1,1,1.000,0,0,,0,2,2,2,0,0,0,2,7,6.6,+14
18,16,2014-12-05,30-217,ATL,@,BRK,W (+23),0,20:43,1,6,.167,1,4,.250,2,4,.500,0,6,6,0,1,1,1,1,5,2.5,+7
19,17,2014-12-07,30-219,ATL,,DEN,W (+12),0,13:02,1,4,.250,0,2,.000,0,0,,2,1,3,0,0,1,1,2,2,0.2,+7
20,18,2014-12-08,30-220,ATL,@,IND,W (+16),0,15:53,4,7,.571,0,0,,0,0,,1,5,6,0,1,0,2,0,8,5.9,+1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,19,2014-12-10,30-222,ATL,,PHI,W (+16),0,20:14,0,4,.000,0,2,.000,0,0,,1,8,9,4,0,0,1,1,0,1.7,+8
22,20,2014-12-12,30-224,ATL,,ORL,W (+6),0,21:41,1,4,.250,0,2,.000,0,0,,1,2,3,1,0,1,0,1,2,1.9,+9
23,21,2014-12-13,30-225,ATL,@,ORL,L (-1),0,10:31,0,0,,0,0,,0,0,,0,1,1,1,0,1,1,1,0,0.3,-3
