<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-201,SAC,,GSW,L (-18),0,10:14,1,3,.333,0,0,,1,1,1.000,0,0,0,1,0,0,4,2,3,-2.8,-12
2,2,2014-10-31,28-203,SAC,,POR,W (+9),0,10:19,0,4,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,-0.1,-5
3,3,2014-11-02,28-205,SAC,@,LAC,W (+6),0,9:15,0,2,.000,0,1,.000,0,2,.000,0,0,0,0,0,0,1,1,0,-3.6,-5
4,4,2014-11-03,28-206,SAC,@,DEN,W (+5),0,20:44,1,6,.167,1,1,1.000,10,10,1.000,0,2,2,3,0,0,3,1,13,8.5,-1
5,5,2014-11-05,28-208,SAC,,DEN,W (+22),0,11:24,0,2,.000,0,1,.000,2,2,1.000,0,0,0,1,2,0,1,1,2,1.9,-13
6,6,2014-11-07,28-210,SAC,@,PHO,W (+2),0,24:50,4,9,.444,0,0,,1,1,1.000,0,3,3,4,1,0,1,0,9,8.0,-1
7,7,2014-11-09,28-212,SAC,@,OKC,L (-8),0,13:06,1,4,.250,0,1,.000,2,2,1.000,0,0,0,3,1,0,1,2,4,2.9,-10
8,8,2014-11-11,28-214,SAC,@,DAL,L (-8),1,35:59,6,9,.667,2,3,.667,4,5,.800,1,2,3,0,0,0,1,3,18,12.8,0
9,9,2014-11-13,28-216,SAC,@,MEM,L (-1),0,10:40,1,3,.333,0,1,.000,3,4,.750,1,0,1,2,0,0,1,0,5,4.0,-9
10,10,2014-11-15,28-218,SAC,,SAS,W (+3),0,8:37,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,1,0,-0.2,-5
11,,2014-11-18,28-221,SAC,,NOP,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,11,2014-11-20,28-223,SAC,,CHI,W (+15),0,13:21,2,2,1.000,0,0,,0,0,,0,0,0,2,1,0,2,4,4,2.2,-6
13,12,2014-11-22,28-225,SAC,@,MIN,W (+12),0,14:45,1,3,.333,0,2,.000,0,2,.000,0,1,1,2,0,0,1,0,2,0.2,-4
14,13,2014-11-25,28-228,SAC,@,NOP,W (+10),1,31:34,4,13,.308,1,2,.500,6,8,.750,1,2,3,6,2,0,2,1,15,11.8,+15
