<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-178,DET,@,DEN,L (-10),1,29:53,3,7,.429,2,4,.500,0,0,,0,2,2,1,0,0,2,4,8,2.0,-10
2,2,2014-10-30,26-179,DET,@,MIN,L (-6),1,23:44,2,6,.333,1,4,.250,0,0,,1,2,3,0,0,0,1,1,5,1.5,-12
3,3,2014-11-01,26-181,DET,,BRK,L (-12),1,32:36,2,7,.286,1,3,.333,0,0,,0,3,3,0,0,0,0,3,5,0.6,0
4,4,2014-11-05,26-185,DET,,NYK,W (+3),0,13:21,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+7
5,5,2014-11-07,26-187,DET,,MIL,W (+3),0,14:19,1,2,.500,0,0,,0,0,,0,2,2,1,0,1,2,1,2,0.6,-5
6,6,2014-11-09,26-189,DET,,UTA,L (-1),0,20:50,0,2,.000,0,1,.000,0,0,,1,1,2,4,0,0,0,5,0,0.4,-1
7,7,2014-11-10,26-190,DET,@,CHI,L (-11),0,25:43,4,7,.571,1,2,.500,0,0,,0,1,1,0,1,1,0,0,9,7.7,-12
8,8,2014-11-12,26-192,DET,@,WAS,L (-4),0,26:19,2,7,.286,1,4,.250,1,2,.500,2,0,2,0,1,0,1,1,6,2.5,-12
9,9,2014-11-14,26-194,DET,@,OKC,W (+7),0,25:35,2,6,.333,1,4,.250,0,0,,1,3,4,0,0,1,2,4,5,0.3,+10
10,10,2014-11-15,26-195,DET,@,MEM,L (-7),0,26:53,5,8,.625,5,7,.714,6,6,1.000,1,3,4,0,2,1,0,5,21,19.7,+7
11,11,2014-11-17,26-197,DET,,ORL,L (-14),0,18:56,2,4,.500,1,2,.500,2,2,1.000,0,3,3,0,0,0,0,0,7,5.9,-5
12,12,2014-11-19,26-199,DET,,PHO,L (-2),0,16:52,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,5,4.7,-6
13,13,2014-11-21,26-201,DET,@,ATL,L (-10),0,22:42,4,6,.667,1,3,.333,0,0,,0,2,2,0,1,0,0,3,9,6.8,-3
14,14,2014-11-25,26-205,DET,@,MIL,L (-12),0,30:26,3,10,.300,2,7,.286,0,0,,0,3,3,0,0,0,1,4,8,0.5,-8
15,15,2014-11-26,26-206,DET,,LAC,L (-6),0,7:11,3,3,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,1,2,7,5.3,+2
16,16,2014-11-28,26-208,DET,,MIL,L (-16),0,26:28,5,9,.556,1,4,.250,0,0,,0,1,1,4,0,0,0,2,11,9.0,-25
17,17,2014-11-30,26-210,DET,,GSW,L (-11),1,27:34,3,8,.375,2,4,.500,1,1,1.000,0,4,4,4,2,1,0,1,9,10.9,0
18,18,2014-12-02,26-212,DET,,LAL,L (-10),1,16:51,2,5,.400,1,2,.500,0,0,,1,1,2,1,0,0,0,0,5,4.0,-12
