<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-050,NYK,,CHI,L (-24),0,21:36,2,8,.250,0,1,.000,2,2,1.000,0,1,1,3,0,0,0,0,6,3.6,-22
2,2,2014-10-30,29-051,NYK,@,CLE,W (+5),0,25:08,5,10,.500,1,3,.333,0,0,,0,1,1,7,2,0,2,2,11,10.4,+6
3,3,2014-11-02,29-054,NYK,,CHO,W (+3),0,26:47,3,7,.429,1,3,.333,0,3,.000,0,3,3,2,0,0,4,4,7,-1.2,-3
4,4,2014-11-04,29-056,NYK,,WAS,L (-15),0,24:27,2,6,.333,0,2,.000,2,2,1.000,0,2,2,4,0,1,1,2,6,4.9,-8
5,,2014-11-05,29-057,NYK,,DET,L (-3),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
6,5,2014-11-07,29-059,NYK,@,BRK,L (-11),0,24:25,4,6,.667,0,0,,0,0,,0,4,4,5,2,0,4,2,8,7.3,-9
7,6,2014-11-08,29-060,NYK,@,ATL,L (-7),0,33:16,4,8,.500,0,2,.000,0,0,,0,5,5,5,1,0,2,2,8,7.2,-9
8,7,2014-11-10,29-062,NYK,,ATL,L (-6),0,27:14,4,11,.364,2,8,.250,2,2,1.000,0,3,3,2,0,0,2,2,12,5.4,-1
9,8,2014-11-12,29-064,NYK,,ORL,L (-2),0,30:08,6,16,.375,3,8,.375,4,4,1.000,1,3,4,3,0,0,1,2,19,12.1,-1
10,9,2014-11-14,29-066,NYK,,UTA,L (-2),0,20:57,4,7,.571,1,1,1.000,0,0,,0,2,2,2,2,0,1,4,9,7.1,+11
11,10,2014-11-16,29-068,NYK,,DEN,W (+16),1,36:32,10,16,.625,2,6,.333,6,8,.750,0,4,4,4,2,1,5,2,28,20.9,+19
12,11,2014-11-18,29-070,NYK,@,MIL,L (-4),1,34:20,3,12,.250,1,4,.250,2,2,1.000,0,1,1,3,2,1,0,2,9,6.1,-16
13,12,2014-11-19,29-071,NYK,@,MIN,L (-16),0,13:13,1,3,.333,1,2,.500,0,0,,0,0,0,4,0,0,1,3,3,1.9,-10
14,13,2014-11-22,29-074,NYK,,PHI,W (+8),0,24:37,3,7,.429,0,1,.000,0,0,,0,0,0,2,0,0,3,1,6,0.3,-12
15,14,2014-11-24,29-076,NYK,@,HOU,L (-5),0,18:41,3,6,.500,2,3,.667,0,0,,0,3,3,2,1,0,2,2,8,5.5,+5
16,15,2014-11-26,29-078,NYK,@,DAL,L (-7),1,35:55,7,20,.350,1,8,.125,0,2,.000,0,3,3,5,1,0,7,5,15,-0.6,-4
17,16,2014-11-28,29-080,NYK,@,OKC,L (-27),1,22:00,1,9,.111,0,1,.000,0,0,,1,1,2,4,1,1,0,0,2,1.6,-27
18,17,2014-11-30,29-082,NYK,,MIA,L (-7),0,5:34,0,4,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.8,-6
19,,2014-12-02,29-084,NYK,,BRK,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
