<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-28,29-300,SAS,,DAL,W (+1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2014-10-31,29-303,SAS,,PHO,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1,2014-11-05,29-308,SAS,,ATL,W (+2),1,10:25,2,2,1.000,0,0,,1,2,.500,0,4,4,2,1,0,1,0,5,6.6,+4
4,,2014-11-06,29-309,SAS,,HOU,L (-17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2014-11-08,29-311,SAS,,NOP,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2014-11-10,29-313,SAS,,LAC,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2014-11-11,29-314,SAS,,GSW,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2014-11-14,29-317,SAS,,LAL,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2014-11-15,29-318,SAS,,SAC,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2014-11-17,29-320,SAS,,PHI,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2014-11-19,29-322,SAS,,CLE,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,,2014-11-21,29-324,SAS,,MIN,W (+29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,,2014-11-22,29-325,SAS,,BRK,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,,2014-11-26,29-329,SAS,,IND,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,,2014-11-28,29-331,SAS,,SAC,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2014-11-30,29-333,SAS,,BOS,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2014-12-01,29-334,SAS,,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
18,,2014-12-03,29-336,SAS,,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
19,,2014-12-05,29-338,SAS,,MEM,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
20,,2014-12-06,29-339,SAS,,MIN,W (+22),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-09,29-342,SAS,,UTA,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,2,2014-12-10,29-343,SAS,,NYK,W (+14),0,8:02,1,2,.500,0,0,,1,2,.500,0,1,1,1,0,2,1,1,3,2.6,+6
23,3,2014-12-12,29-345,SAS,,LAL,L (-2),0,15:11,1,1,1.000,0,0,,4,4,1.000,0,4,4,1,1,1,2,1,6,6.9,-8
24,4,2014-12-14,29-347,SAS,@,DEN,W (+8),1,19:41,5,7,.714,0,0,,1,4,.250,2,4,6,3,0,1,1,2,11,10.5,+4
25,,2014-12-15,29-348,SAS,,POR,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,5,2014-12-17,29-350,SAS,,MEM,L (-1),0,24:23,2,6,.333,0,0,,0,0,,2,3,5,2,1,2,1,5,4,3.7,+12
27,6,2014-12-19,29-352,SAS,,POR,L (-10),0,26:22,4,6,.667,0,0,,6,6,1.000,4,2,6,2,1,0,2,2,14,14.4,-14
28,,2014-12-20,29-353,SAS,,DAL,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,7,2014-12-22,29-355,SAS,,LAC,W (+7),1,18:27,3,4,.750,0,0,,0,0,,1,1,2,4,0,0,1,4,6,5.6,+2
30,8,2014-12-25,29-358,SAS,,OKC,L (-8),1,19:05,7,10,.700,0,0,,0,0,,2,5,7,1,0,1,2,3,14,10.9,-5
31,9,2014-12-26,29-359,SAS,@,NOP,L (-7),1,12:13,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-0.4,+2
32,10,2014-12-28,29-361,SAS,,HOU,W (+4),1,20:52,2,8,.250,0,0,,0,0,,2,2,4,2,1,3,0,2,4,4.9,-5
33,11,2014-12-30,29-363,SAS,@,MEM,L (-8),1,12:34,2,5,.400,0,0,,2,4,.500,1,3,4,0,2,1,2,2,6,4.0,-3
34,12,2014-12-31,29-364,SAS,,NOP,W (+2),0,25:12,3,7,.429,0,0,,0,0,,2,3,5,2,0,1,0,1,6,6.3,+10
35,13,2015-01-03,30-002,SAS,,WAS,W (+9),1,27:33,7,8,.875,0,0,,2,2,1.000,0,3,3,2,0,1,1,0,16,15.2,+2
36,14,2015-01-06,30-005,SAS,,DET,L (-1),1,27:38,4,9,.444,0,0,,2,4,.500,4,3,7,2,1,1,2,3,10,8.1,-10
37,15,2015-01-09,30-008,SAS,,PHO,W (+5),1,31:12,3,7,.429,0,0,,1,2,.500,4,10,14,1,0,0,0,5,7,7.4,-14
38,16,2015-01-10,30-009,SAS,@,MIN,W (+15),0,16:44,2,7,.286,0,0,,3,4,.750,2,2,4,1,1,1,1,2,7,5.1,+2
39,17,2015-01-13,30-012,SAS,@,WAS,L (-8),1,27:42,4,6,.667,0,0,,2,4,.500,2,1,3,3,0,1,0,2,10,10.3,+1
40,18,2015-01-14,30-013,SAS,@,CHO,W (+5),0,17:18,3,4,.750,0,0,,3,4,.750,0,4,4,2,0,1,0,4,9,8.7,+13
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,19,2015-01-16,30-015,SAS,,POR,W (+14),1,17:01,2,4,.500,0,0,,0,0,,2,2,4,3,0,0,2,5,4,2.1,+10
42,20,2015-01-18,30-017,SAS,,UTA,W (+20),1,21:45,5,12,.417,0,0,,4,4,1.000,0,4,4,3,1,0,1,0,14,10.9,+15
43,21,2015-01-20,30-019,SAS,@,DEN,W (+10),1,17:36,2,4,.500,0,0,,2,2,1.000,3,0,3,1,2,1,0,1,6,9.1,0
