<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,26,SAS,NBA,C,60,6,738,101,191,.529,0,1,.000,101,190,.532,.529,76,140,.543,72,129,201,26,29,17,32,91,278
2011-12,27,SAS,NBA,C,59,2,1121,212,343,.618,0,0,,212,343,.618,.618,125,181,.691,93,213,306,65,21,47,87,134,549
2012-13,28,SAS,NBA,PF,81,58,1997,315,563,.560,0,2,.000,315,561,.561,.560,208,285,.730,144,371,515,130,63,64,100,161,838
2013-14,29,SAS,NBA,C,59,50,1271,181,346,.523,0,3,.000,181,343,.528,.523,121,173,.699,123,240,363,90,29,31,75,117,483
2014-15,30,SAS,NBA,C,52,35,1030,169,303,.558,0,0,,169,303,.558,.558,90,120,.750,91,161,252,78,35,37,60,103,428
2015-16,31,ATL,NBA,C,14,1,242,32,66,.485,0,1,.000,32,65,.492,.485,14,17,.824,18,33,51,10,7,4,12,28,78
Career,,,NBA,,325,152,6399,1010,1812,.557,0,7,.000,1010,1805,.560,.557,634,916,.692,541,1147,1688,399,184,200,366,634,2654
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,SAS,NBA,,311,151,6157,978,1746,.560,0,6,.000,978,1740,.562,.560,620,899,.690,523,1114,1637,389,177,196,354,606,2576
1 season,,ATL,NBA,,14,1,242,32,66,.485,0,1,.000,32,65,.492,.485,14,17,.824,18,33,51,10,7,4,12,28,78
