<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,24-054,CHO,,MIL,W (+2),1,39:55,3,12,.250,0,2,.000,1,2,.500,3,10,13,8,0,0,2,4,7,6.5,+9
2,2,2014-11-01,24-057,CHO,,MEM,L (-2),1,26:36,1,6,.167,0,1,.000,0,0,,1,7,8,4,1,0,3,1,2,1.4,-2
3,3,2014-11-02,24-058,CHO,@,NYK,L (-3),1,37:40,4,9,.444,0,1,.000,6,7,.857,2,7,9,8,3,0,4,3,14,15.8,-5
4,4,2014-11-04,24-060,CHO,@,NOP,L (-9),1,23:07,1,6,.167,0,0,,0,0,,2,5,7,4,0,0,5,0,2,-1.1,-16
5,5,2014-11-05,24-061,CHO,,MIA,W (+7),1,36:04,3,12,.250,0,1,.000,2,4,.500,3,10,13,4,0,1,3,4,8,4.0,0
6,6,2014-11-07,24-063,CHO,,ATL,W (+3),1,47:11,7,15,.467,1,3,.333,2,2,1.000,2,11,13,4,0,0,4,3,17,11.6,+10
7,7,2014-11-09,24-065,CHO,@,LAL,L (-15),1,34:55,3,12,.250,0,4,.000,0,0,,2,9,11,5,0,0,2,1,6,4.0,-10
8,8,2014-11-11,24-067,CHO,@,POR,L (-2),1,37:46,5,10,.500,2,4,.500,2,4,.500,0,14,14,3,1,0,2,2,14,12.7,+10
9,9,2014-11-14,24-070,CHO,@,PHO,W (+8),1,38:17,5,12,.417,0,2,.000,3,3,1.000,1,7,8,7,2,0,0,0,13,16.3,+12
10,10,2014-11-15,24-071,CHO,@,GSW,L (-25),1,25:04,7,10,.700,2,2,1.000,0,0,,0,0,0,4,1,0,4,3,16,10.4,-12
11,11,2014-11-17,24-073,CHO,,DAL,L (-27),1,30:01,3,7,.429,0,0,,0,2,.000,1,5,6,7,0,0,1,2,6,6.8,-19
12,12,2014-11-19,24-075,CHO,@,IND,L (-2),1,39:20,4,12,.333,0,2,.000,2,4,.500,1,7,8,7,0,2,2,2,10,8.7,-11
13,13,2014-11-21,24-077,CHO,,ORL,L (-5),1,37:51,5,15,.333,1,4,.250,1,2,.500,1,4,5,6,2,0,1,3,12,9.0,-5
14,14,2014-11-23,24-079,CHO,@,MIA,L (-1),1,33:23,7,14,.500,1,6,.167,2,4,.500,0,6,6,5,1,0,3,5,17,10.5,-4
15,15,2014-11-24,24-080,CHO,,LAC,L (-21),1,27:40,1,8,.125,0,1,.000,1,2,.500,0,3,3,6,0,0,1,2,3,0.7,-7
16,16,2014-11-26,24-082,CHO,,POR,L (-8),1,22:35,4,11,.364,0,1,.000,0,1,.000,1,6,7,5,2,0,0,2,8,8.7,-5
17,17,2014-11-28,24-084,CHO,,GSW,L (-5),1,37:09,3,8,.375,0,1,.000,5,5,1.000,0,5,5,8,2,0,6,1,11,9.3,-4
18,18,2014-11-29,24-085,CHO,@,ATL,L (-30),1,23:22,3,9,.333,0,3,.000,0,0,,2,1,3,3,0,0,2,4,6,1.1,-21
19,19,2014-12-03,24-089,CHO,,CHI,L (-7),1,40:27,9,18,.500,0,2,.000,2,2,1.000,1,7,8,4,1,0,4,3,20,12.4,-9
20,20,2014-12-05,24-091,CHO,,NYK,W (+1),1,38:03,7,15,.467,0,2,.000,2,2,1.000,1,5,6,6,0,0,2,4,16,11.1,-3
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-10,24-096,CHO,,BOS,W (+9),1,37:06,6,14,.429,0,2,.000,1,2,.500,1,3,4,4,0,0,2,3,13,6.4,+21
22,22,2014-12-12,24-098,CHO,@,MEM,L (-6),1,28:11,4,9,.444,0,2,.000,0,0,,1,6,7,1,1,0,1,2,8,5.7,-7
23,23,2014-12-13,24-099,CHO,,BRK,L (-27),1,27:28,5,13,.385,1,2,.500,0,1,.000,1,1,2,1,0,0,2,1,11,2.8,-25
24,24,2014-12-15,24-101,CHO,@,CLE,L (-9),1,24:37,4,12,.333,0,3,.000,0,2,.000,0,2,2,4,2,0,0,2,8,5.0,-22
25,25,2014-12-17,24-103,CHO,,PHO,L (-5),1,25:00,3,8,.375,0,2,.000,1,1,1.000,0,4,4,2,0,0,1,0,7,4.2,-2
26,,2014-12-19,24-105,CHO,,PHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2014-12-20,24-106,CHO,,UTA,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,,2014-12-22,24-108,CHO,,DEN,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2014-12-23,24-109,CHO,,MIL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2014-12-26,24-112,CHO,,OKC,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2014-12-27,24-113,CHO,,ORL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2014-12-29,24-115,CHO,,MIL,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2014-12-31,24-117,CHO,,HOU,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
