<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,31-347,NYK,,CHI,L (-24),1,23:55,5,9,.556,0,0,,2,2,1.000,3,5,8,0,1,1,1,3,12,10.8,-6
2,2,2014-10-30,31-348,NYK,@,CLE,W (+5),0,24:23,3,8,.375,0,0,,2,2,1.000,0,4,4,2,0,0,1,3,8,4.0,-6
3,3,2014-11-02,31-351,NYK,,CHO,W (+3),0,23:03,7,13,.538,0,0,,3,5,.600,3,7,10,0,0,0,0,2,17,13.3,0
4,4,2014-11-04,31-353,NYK,,WAS,L (-15),1,28:27,3,7,.429,0,0,,0,1,.000,3,9,12,2,2,0,3,3,6,5.9,-2
5,5,2014-11-05,31-354,NYK,@,DET,L (-3),0,22:02,7,13,.538,0,0,,1,1,1.000,3,5,8,2,2,1,1,2,15,14.6,+8
6,6,2014-11-07,31-356,NYK,@,BRK,L (-11),0,24:43,6,12,.500,0,0,,2,3,.667,3,4,7,1,1,2,2,3,14,10.8,-8
7,7,2014-11-08,31-357,NYK,@,ATL,L (-7),0,20:56,6,11,.545,0,0,,2,2,1.000,4,5,9,2,0,1,0,1,14,14.7,-5
8,8,2014-11-10,31-359,NYK,,ATL,L (-6),0,26:15,2,5,.400,0,0,,0,2,.000,3,7,10,1,0,0,0,6,4,3.0,-2
9,9,2014-11-12,31-361,NYK,,ORL,L (-2),0,18:41,4,9,.444,0,0,,0,0,,2,1,3,0,0,0,0,3,8,3.8,+2
10,,2014-11-14,31-363,NYK,,UTA,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,10,2014-11-16,32-000,NYK,,DEN,W (+16),0,20:14,3,7,.429,0,0,,3,5,.600,2,4,6,0,0,0,1,5,9,4.1,+2
12,11,2014-11-18,32-002,NYK,@,MIL,L (-4),0,24:27,5,6,.833,0,0,,4,6,.667,2,3,5,4,2,0,1,3,14,15.9,+12
13,12,2014-11-19,32-003,NYK,@,MIN,L (-16),0,19:53,7,9,.778,0,0,,5,6,.833,1,2,3,0,0,0,3,1,19,13.0,-8
14,13,2014-11-22,32-006,NYK,,PHI,W (+8),0,19:44,5,6,.833,0,0,,6,6,1.000,2,9,11,0,0,0,2,3,16,14.7,+2
15,14,2014-11-24,32-008,NYK,@,HOU,L (-5),0,25:53,4,8,.500,0,0,,0,0,,1,7,8,1,1,3,4,5,8,4.6,+1
