<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,28-191,IND,,PHI,W (+12),0,16:11,5,9,.556,2,2,1.000,4,6,.667,0,3,3,5,1,0,1,2,16,14.5,+15
2,2,2014-10-31,28-193,IND,,MEM,L (-8),0,13:10,5,10,.500,0,1,.000,0,0,,0,1,1,2,1,0,1,0,10,6.7,+9
3,3,2014-11-01,28-194,IND,@,ATL,L (-10),0,6:04,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.8,-8
4,4,2014-11-04,28-197,IND,,MIL,L (-6),0,17:32,3,11,.273,0,1,.000,3,4,.750,0,1,1,3,0,0,2,0,9,2.5,+13
5,,2014-11-05,28-198,IND,,WAS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,,2014-11-07,28-200,IND,,BOS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2014-11-08,28-201,IND,,WAS,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,,2014-11-10,28-203,IND,,UTA,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,,2014-11-12,28-205,IND,,MIA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2014-11-14,28-207,IND,,DEN,L (-21),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2014-11-15,28-208,IND,,CHI,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,5,2014-11-19,28-212,IND,,CHO,W (+2),0,26:19,5,13,.385,0,1,.000,1,3,.333,1,1,2,1,0,0,0,1,11,4.4,-4
13,6,2014-11-22,28-215,IND,,PHO,L (-23),0,19:49,3,10,.300,1,3,.333,7,8,.875,1,5,6,1,0,0,2,1,14,8.3,-18
14,7,2014-11-24,28-217,IND,@,DAL,W (+11),1,31:38,2,9,.222,2,3,.667,6,6,1.000,0,3,3,5,1,0,1,4,12,9.3,+7
15,8,2014-11-26,28-219,IND,@,SAS,L (-6),1,34:59,9,20,.450,0,2,.000,4,5,.800,1,3,4,4,2,0,2,3,22,14.4,-20
16,9,2014-11-28,28-221,IND,,ORL,W (+15),1,29:29,9,15,.600,0,1,.000,6,6,1.000,0,2,2,1,0,1,3,1,24,15.7,+14
17,10,2014-11-29,28-222,IND,@,CLE,L (-12),1,23:00,2,6,.333,0,0,,5,5,1.000,0,2,2,3,0,0,1,2,9,6.5,-28
18,11,2014-12-02,28-225,IND,@,PHO,L (-17),1,19:36,4,10,.400,1,2,.500,0,0,,1,1,2,0,0,0,2,2,9,1.8,-16
19,12,2014-12-04,28-227,IND,@,POR,L (-6),1,29:00,7,15,.467,0,1,.000,2,2,1.000,0,6,6,5,0,0,4,4,16,8.0,+5
20,13,2014-12-05,28-228,IND,@,SAC,L (-1),1,27:28,4,10,.400,2,4,.500,4,6,.667,0,3,3,3,4,0,1,4,14,12.2,+4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,14,2014-12-08,28-231,IND,,ATL,L (-16),1,27:55,6,11,.545,1,1,1.000,2,4,.500,2,2,4,3,1,0,2,3,15,10.8,-18
22,15,2014-12-10,28-233,IND,,LAC,L (-7),1,31:48,4,11,.364,0,1,.000,2,2,1.000,0,2,2,6,1,0,2,0,10,7.7,-25
23,16,2014-12-12,28-235,IND,@,TOR,L (-12),1,30:21,5,10,.500,1,3,.333,2,2,1.000,0,3,3,3,0,0,3,3,13,6.8,-8
24,17,2014-12-13,28-236,IND,,POR,L (-10),1,38:41,6,19,.316,0,2,.000,2,4,.500,2,12,14,2,1,0,2,1,14,7.3,-2
25,18,2014-12-15,28-238,IND,,LAL,W (+19),1,29:23,6,14,.429,0,0,,8,10,.800,3,7,10,7,0,0,1,1,20,19.5,+31
26,19,2014-12-17,28-240,IND,@,LAC,L (-2),1,27:18,6,12,.500,0,1,.000,0,2,.000,0,2,2,2,1,0,1,5,12,5.2,-19
27,20,2014-12-20,28-243,IND,@,DEN,L (-3),1,34:34,1,10,.100,0,2,.000,2,2,1.000,1,1,2,3,0,0,2,1,4,-1.9,-7
28,21,2014-12-21,28-244,IND,@,MIN,W (+4),1,26:43,3,8,.375,0,0,,1,1,1.000,0,3,3,1,0,1,0,5,7,2.9,+8
29,22,2014-12-23,28-246,IND,,NOP,W (+12),1,32:23,2,6,.333,1,1,1.000,1,2,.500,0,5,5,4,1,1,1,4,6,5.6,+3
30,23,2014-12-26,28-249,IND,@,DET,L (-10),1,18:48,4,7,.571,1,1,1.000,0,0,,1,4,5,3,0,0,2,3,9,6.5,+2
31,24,2014-12-27,28-250,IND,@,BRK,W (+25),1,36:12,7,13,.538,1,1,1.000,5,7,.714,1,5,6,8,4,0,2,3,20,21.5,+12
32,25,2014-12-29,28-252,IND,,CHI,L (-2),1,21:32,2,5,.400,0,0,,1,1,1.000,1,1,2,1,2,0,3,2,5,2.2,-11
33,26,2014-12-31,28-254,IND,,MIA,W (+11),1,19:06,3,5,.600,0,0,,0,0,,1,1,2,2,0,0,0,1,6,5.7,0
34,27,2015-01-02,28-256,IND,@,MIL,W (+3),1,27:37,3,9,.333,0,2,.000,5,5,1.000,0,3,3,4,1,0,2,3,11,7.4,-2
35,28,2015-01-04,28-258,IND,@,LAL,L (-1),1,28:02,3,11,.273,2,3,.667,2,2,1.000,2,2,4,4,1,0,2,3,10,6.1,-7
36,29,2015-01-05,28-259,IND,@,UTA,W (+4),1,20:12,4,7,.571,1,1,1.000,4,4,1.000,1,1,2,1,2,0,0,1,13,13.0,+7
37,,2015-01-07,28-261,IND,,GSW,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,30,2015-01-09,28-263,IND,,BOS,W (+4),1,28:36,3,7,.429,0,1,.000,0,0,,0,4,4,4,1,0,2,2,6,4.5,+2
39,31,2015-01-10,28-264,IND,@,PHI,L (-1),1,34:58,4,8,.500,1,3,.333,4,7,.571,0,9,9,2,0,0,3,3,13,7.7,+3
40,32,2015-01-13,28-267,IND,,MIN,L (-9),0,24:47,5,8,.625,0,2,.000,3,3,1.000,0,5,5,1,2,1,2,1,13,11.9,-12
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,33,2015-01-16,28-270,IND,,DET,L (-2),1,23:53,3,8,.375,0,0,,3,3,1.000,0,5,5,5,0,0,1,1,9,8.2,-16
42,34,2015-01-17,28-271,IND,@,CHO,L (-9),1,28:33,3,8,.375,0,1,.000,2,2,1.000,1,3,4,4,1,1,3,2,8,5.9,-8
43,35,2015-01-19,28-273,IND,@,HOU,L (-12),1,17:34,2,6,.333,0,1,.000,0,0,,0,1,1,1,1,0,2,2,4,-0.2,-14
44,36,2015-01-21,28-275,IND,@,ATL,L (-19),1,22:31,5,10,.500,0,2,.000,2,2,1.000,0,3,3,1,1,0,0,0,12,9.6,-20
45,37,2015-01-23,28-277,IND,@,MIA,L (-2),0,33:32,4,11,.364,0,0,,1,1,1.000,0,2,2,3,2,0,2,4,9,4.0,+3
46,38,2015-01-25,28-279,IND,@,ORL,W (+7),1,27:45,6,10,.600,1,1,1.000,2,2,1.000,0,1,1,6,1,0,5,3,15,9.7,0
47,39,2015-01-27,28-281,IND,,TOR,L (-13),1,38:52,8,16,.500,0,2,.000,6,7,.857,1,6,7,2,0,0,3,3,22,13.3,+4
48,40,2015-01-29,28-283,IND,,NYK,W (+21),1,31:31,8,13,.615,1,2,.500,5,5,1.000,1,4,5,3,0,0,1,1,22,18.7,+21
49,41,2015-01-31,28-285,IND,,SAC,L (-5),1,19:11,1,5,.200,0,1,.000,0,0,,0,2,2,2,0,0,3,1,2,-2.5,-12
50,42,2015-02-04,28-289,IND,,DET,W (+5),1,21:37,4,6,.667,0,0,,0,0,,0,1,1,5,0,0,0,0,8,9.2,+9
51,43,2015-02-06,28-291,IND,,CLE,W (+4),0,19:37,1,6,.167,0,1,.000,0,0,,0,0,0,4,1,0,0,2,2,1.2,-1
52,44,2015-02-08,28-293,IND,@,CHO,W (+1),1,29:07,6,12,.500,0,3,.000,3,3,1.000,0,3,3,2,0,0,0,2,15,10.5,-7
53,45,2015-02-09,28-294,IND,,SAS,L (-2),1,34:43,7,13,.538,2,3,.667,2,2,1.000,0,3,3,3,1,0,2,2,18,12.9,+6
54,46,2015-02-11,28-296,IND,@,NOP,W (+13),0,12:52,7,10,.700,2,3,.667,0,0,,0,0,0,1,0,0,0,1,16,12.1,+4
55,47,2015-02-20,28-305,IND,@,PHI,W (+11),0,26:50,10,16,.625,2,4,.500,8,8,1.000,0,2,2,4,3,0,2,3,30,26.0,+16
56,48,2015-02-22,28-307,IND,,GSW,W (+6),0,28:18,11,17,.647,2,4,.500,6,7,.857,1,3,4,5,1,0,1,0,30,27.2,+15
57,49,2015-02-24,28-309,IND,@,OKC,L (-13),0,26:05,2,8,.250,1,2,.500,0,0,,1,3,4,5,0,0,3,2,5,1.5,-20
58,50,2015-02-27,28-312,IND,,CLE,W (+7),0,31:43,8,16,.500,3,5,.600,0,0,,1,4,5,4,1,0,0,2,19,15.9,+11
59,51,2015-03-01,28-314,IND,,PHI,W (+20),0,31:58,4,13,.308,1,2,.500,3,3,1.000,2,3,5,4,3,1,3,1,12,9.9,+20
60,52,2015-03-04,28-317,IND,,NYK,W (+23),0,18:49,7,12,.583,1,2,.500,2,2,1.000,1,3,4,2,0,0,2,1,17,12.0,+16
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,53,2015-03-06,28-319,IND,,CHI,W (+14),0,31:47,5,13,.385,0,3,.000,2,4,.500,2,5,7,5,0,0,1,1,12,9.1,+5
62,54,2015-03-07,28-320,IND,@,NYK,W (+6),0,29:14,4,12,.333,1,1,1.000,8,8,1.000,0,3,3,4,1,0,1,2,17,13.1,-1
63,55,2015-03-10,28-323,IND,,ORL,W (+32),0,30:35,13,19,.684,6,9,.667,2,2,1.000,1,5,6,7,1,1,1,2,34,32.9,+37
64,56,2015-03-12,28-325,IND,,MIL,W (+6),0,36:58,8,17,.471,1,4,.250,8,10,.800,0,6,6,6,1,0,3,1,25,19.1,+16
65,57,2015-03-14,28-327,IND,,BOS,L (-4),0,24:05,5,11,.455,2,5,.400,0,2,.000,0,3,3,0,1,1,4,2,12,3.3,-13
66,58,2015-03-16,28-329,IND,,TOR,L (-19),0,27:42,9,16,.563,0,2,.000,2,2,1.000,0,1,1,4,1,0,1,1,20,15.1,+1
67,59,2015-03-18,28-331,IND,@,CHI,L (-17),0,30:36,4,11,.364,1,2,.500,2,4,.500,0,2,2,1,0,1,2,0,11,4.1,-18
68,60,2015-03-20,28-333,IND,@,CLE,L (-3),0,25:03,2,11,.182,0,2,.000,2,2,1.000,0,5,5,4,1,0,1,1,6,3.0,-4
69,61,2015-03-21,28-334,IND,,BRK,L (-12),0,13:08,0,3,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,1,0,2,-0.4,-3
70,,2015-03-23,28-336,IND,,HOU,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,,2015-03-25,28-338,IND,,WAS,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
72,,2015-03-26,28-339,IND,,MIL,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
73,62,2015-03-29,28-342,IND,,DAL,W (+5),0,30:01,4,14,.286,1,2,.500,1,2,.500,0,5,5,2,0,0,0,0,10,4.3,+4
74,63,2015-03-31,28-344,IND,@,BRK,L (-5),0,25:26,1,8,.125,1,3,.333,1,2,.500,1,1,2,1,0,0,2,3,4,-3.1,-21
