<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,DET,NBA,PG,57,2,1081,153,382,.401,3,16,.188,150,366,.410,.404,127,156,.814,32,97,129,160,49,6,78,113,436
2008-09,22,DET,NBA,PG,79,65,2517,401,913,.439,23,78,.295,378,835,.453,.452,233,290,.803,69,206,275,387,78,11,173,217,1058
2009-10,23,DET,NBA,PG,73,67,2499,449,1109,.405,18,79,.228,431,1030,.418,.413,299,359,.833,67,214,281,348,101,12,163,205,1215
2010-11,24,DET,NBA,PG,70,54,2183,363,827,.439,26,90,.289,337,737,.457,.455,330,381,.866,70,146,216,361,76,10,155,177,1082
2011-12,25,DET,NBA,SG,55,48,1644,256,597,.429,33,104,.317,223,493,.452,.456,267,320,.834,38,104,142,210,44,10,106,124,812
2012-13,26,DET,NBA,SG,76,24,2171,304,748,.406,55,182,.302,249,566,.440,.443,213,272,.783,43,169,212,270,51,17,134,127,876
2013-14,27,DET,NBA,SG,73,5,1950,372,853,.436,24,88,.273,348,765,.455,.450,244,292,.836,39,130,169,152,54,10,125,131,1012
2014-15,28,IND,NBA,PG,71,36,1874,332,754,.440,55,141,.390,277,613,.452,.477,177,216,.819,36,212,248,219,56,10,118,131,896
2015-16,29,IND,NBA,PG,12,0,287,45,108,.417,3,15,.200,42,93,.452,.431,27,33,.818,3,38,41,27,10,3,18,18,120
Career,,,NBA,,566,301,16206,2675,6291,.425,240,793,.303,2435,5498,.443,.444,1917,2319,.827,397,1316,1713,2134,519,89,1070,1243,7507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DET,NBA,,483,265,14045,2298,5429,.423,182,637,.286,2116,4792,.442,.440,1713,2070,.828,358,1066,1424,1888,453,76,934,1094,6491
2 seasons,,IND,NBA,,83,36,2161,377,862,.437,58,156,.372,319,706,.452,.471,204,249,.819,39,250,289,246,66,13,136,149,1016
