<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-041,BRK,@,BOS,L (-16),0,23:21,8,11,.727,4,6,.667,0,0,,2,4,6,1,0,2,2,1,20,17.8,+4
2,2,2014-11-01,29-044,BRK,@,DET,W (+12),0,28:15,4,7,.571,2,5,.400,2,2,1.000,1,6,7,1,0,0,1,3,12,9.7,+12
3,3,2014-11-03,29-046,BRK,,OKC,W (+31),0,20:59,3,8,.375,2,6,.333,0,0,,1,2,3,2,1,1,1,3,8,5.8,+21
4,4,2014-11-05,29-048,BRK,,MIN,L (-7),0,20:32,3,8,.375,3,7,.429,0,0,,0,6,6,0,0,1,1,0,9,6.1,+16
5,5,2014-11-07,29-050,BRK,,NYK,W (+11),0,27:03,6,10,.600,4,6,.667,2,2,1.000,0,3,3,0,0,0,0,2,18,13.5,+3
6,6,2014-11-09,29-052,BRK,,ORL,W (+8),0,19:32,3,8,.375,1,6,.167,0,0,,0,4,4,3,0,0,2,2,7,3.1,-7
7,7,2014-11-12,29-055,BRK,@,PHO,L (-8),0,32:45,6,11,.545,4,8,.500,0,0,,4,3,7,4,1,0,2,5,16,14.2,+5
8,8,2014-11-13,29-056,BRK,@,GSW,L (-8),0,23:52,0,4,.000,0,1,.000,0,0,,1,3,4,2,0,1,1,1,0,-0.5,-2
9,9,2014-11-15,29-058,BRK,@,POR,L (-10),0,13:33,1,7,.143,0,4,.000,0,0,,2,2,4,1,0,0,0,4,2,-1.4,-10
10,10,2014-11-17,29-060,BRK,,MIA,L (-12),0,20:46,3,7,.429,1,3,.333,4,6,.667,0,4,4,1,0,2,1,2,11,8.0,+2
11,11,2014-11-19,29-062,BRK,,MIL,L (-4),0,27:53,4,10,.400,1,7,.143,5,7,.714,0,3,3,1,0,2,1,4,14,8.2,-12
12,12,2014-11-21,29-064,BRK,@,OKC,W (+2),0,27:43,6,12,.500,1,6,.167,0,0,,0,7,7,1,1,1,0,2,13,10.7,+15
13,13,2014-11-22,29-065,BRK,@,SAS,L (-12),1,34:05,8,14,.571,4,8,.500,2,2,1.000,1,7,8,1,0,0,3,1,22,15.5,-7
14,14,2014-11-26,29-069,BRK,@,PHI,W (+8),0,32:44,2,11,.182,1,7,.143,4,6,.667,1,5,6,3,3,0,5,0,9,3.6,-1
15,15,2014-11-30,29-073,BRK,,CHI,L (-18),0,16:26,1,6,.167,0,3,.000,2,2,1.000,1,2,3,0,0,0,2,2,4,-1.3,-17
16,16,2014-12-02,29-075,BRK,@,NYK,W (+5),0,11:26,1,4,.250,0,2,.000,0,0,,1,1,2,1,0,0,3,1,2,-2.1,0
17,17,2014-12-03,29-076,BRK,,SAS,W (+2),1,42:59,9,13,.692,5,7,.714,3,4,.750,1,14,15,2,0,0,0,2,26,25.6,+4
18,18,2014-12-05,29-078,BRK,,ATL,L (-23),0,19:22,0,4,.000,0,3,.000,0,0,,0,5,5,3,0,0,3,1,0,-2.6,-25
19,19,2014-12-08,29-081,BRK,,CLE,L (-22),1,22:21,5,12,.417,1,6,.167,0,2,.000,1,3,4,2,0,1,0,3,11,6.3,-3
20,,2014-12-10,29-083,BRK,,CHI,L (-25),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,,2014-12-12,29-085,BRK,,PHI,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2014-12-13,29-086,BRK,,CHO,W (+27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,20,2014-12-16,29-089,BRK,,MIA,L (-4),0,11:24,2,5,.400,1,3,.333,0,0,,0,0,0,1,0,0,0,2,5,2.2,-4
24,21,2014-12-17,29-090,BRK,@,TOR,L (-16),1,20:49,5,10,.500,4,8,.500,0,0,,0,3,3,2,0,0,1,0,14,10.3,+2
25,22,2014-12-19,29-092,BRK,@,CLE,L (-4),0,17:23,0,2,.000,0,2,.000,0,0,,0,3,3,1,1,0,0,2,0,0.4,-16
26,23,2014-12-21,29-094,BRK,,DET,W (+5),0,24:07,5,9,.556,1,4,.250,2,2,1.000,0,7,7,1,0,0,1,1,13,10.1,+6
27,24,2014-12-23,29-096,BRK,,DEN,W (+6),0,15:43,1,7,.143,1,4,.250,0,0,,0,3,3,0,0,0,1,4,3,-3.2,-7
28,25,2014-12-26,29-099,BRK,@,BOS,W (+2),0,21:31,4,11,.364,2,5,.400,1,2,.500,1,3,4,0,2,1,1,1,11,7.4,+4
29,26,2014-12-27,29-100,BRK,,IND,L (-25),0,16:17,0,6,.000,0,4,.000,0,0,,0,1,1,1,0,0,0,1,0,-3.6,-23
30,27,2014-12-29,29-102,BRK,,SAC,W (+8),0,29:26,4,11,.364,3,7,.429,0,0,,0,7,7,0,0,1,3,4,11,3.1,+1
31,28,2014-12-30,29-103,BRK,@,CHI,W (+14),0,31:42,1,9,.111,1,6,.167,2,2,1.000,0,6,6,2,1,0,0,2,5,2.5,+17
32,29,2015-01-02,29-106,BRK,@,ORL,W (+2),0,19:30,4,9,.444,0,3,.000,1,1,1.000,0,4,4,2,1,0,0,1,9,7.5,+9
33,30,2015-01-04,29-108,BRK,@,MIA,L (-4),0,29:50,5,15,.333,4,11,.364,0,2,.000,1,3,4,1,1,1,2,2,14,5.9,+4
34,31,2015-01-05,29-109,BRK,,DAL,L (-8),0,33:45,2,8,.250,0,4,.000,2,2,1.000,1,9,10,1,1,0,2,2,6,3.5,-3
35,32,2015-01-07,29-111,BRK,,BOS,L (-8),0,19:01,2,4,.500,1,1,1.000,1,2,.500,0,6,6,0,1,0,2,1,6,4.0,-1
36,33,2015-01-09,29-113,BRK,,PHI,L (-2),0,20:26,2,8,.250,2,7,.286,0,0,,0,3,3,0,0,1,4,2,6,-2.0,-6
37,34,2015-01-10,29-114,BRK,@,DET,L (-5),0,19:38,1,9,.111,1,4,.250,0,0,,1,5,6,2,0,0,2,2,3,-2.1,0
38,35,2015-01-12,29-116,BRK,,HOU,L (-14),0,9:02,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,2,0,2,0.3,+1
39,36,2015-01-14,29-118,BRK,,MEM,L (-11),0,19:24,4,8,.500,4,7,.571,0,0,,0,6,6,1,0,0,1,3,12,8.3,0
40,37,2015-01-16,29-120,BRK,@,WAS,W (+22),0,21:34,2,4,.500,1,3,.333,0,0,,0,4,4,0,0,0,1,1,5,2.8,+10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,38,2015-01-17,29-121,BRK,,WAS,L (-9),0,17:57,2,7,.286,1,4,.250,0,0,,4,2,6,0,0,0,0,1,5,3.9,-2
42,39,2015-01-21,29-125,BRK,@,SAC,W (+3),0,20:44,2,5,.400,1,2,.500,0,0,,2,5,7,1,0,0,1,2,5,4.1,+14
43,40,2015-01-22,29-126,BRK,@,LAC,L (-39),0,7:30,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,1,1,0,-2.5,-14
44,,2015-01-24,29-128,BRK,,UTA,L (-35),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2015-01-28,29-132,BRK,,ATL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2015-01-30,29-134,BRK,,TOR,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2015-02-02,29-137,BRK,,LAC,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2015-02-04,29-139,BRK,,TOR,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2015-02-06,29-141,BRK,,NYK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2015-02-07,29-142,BRK,,WAS,L (-37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2015-02-09,29-144,BRK,,MIL,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2015-02-10,29-145,BRK,,MEM,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2015-02-20,29-155,BRK,,LAL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2015-02-23,29-158,BRK,,DEN,W (+28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2015-02-25,29-160,BRK,,NOP,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2015-02-27,29-162,BRK,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2015-02-28,29-163,BRK,,DAL,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2015-03-02,29-165,BRK,,GSW,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
