<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,29-142,OKC,@,POR,L (-17),0,15:21,1,9,.111,0,5,.000,2,2,1.000,0,1,1,2,0,0,0,2,4,-1.0,-13
2,2,2014-10-30,29-143,OKC,@,LAC,L (-3),0,37:41,2,9,.222,1,5,.200,6,8,.750,0,2,2,7,1,0,2,4,11,7.6,+3
3,3,2014-11-01,29-145,OKC,,DEN,W (+11),1,38:35,2,11,.182,1,5,.200,2,4,.500,0,4,4,9,4,0,1,5,7,7.8,+5
4,4,2014-11-03,29-147,OKC,@,BRK,L (-31),0,34:40,5,10,.500,3,7,.429,3,4,.750,1,4,5,6,0,0,3,0,16,13.7,-11
5,5,2014-11-04,29-148,OKC,@,TOR,L (-12),0,27:14,4,8,.500,1,4,.250,2,4,.500,1,3,4,3,2,0,3,4,11,7.3,-16
6,6,2014-11-07,29-151,OKC,,MEM,L (-2),0,18:08,5,11,.455,2,4,.500,1,2,.500,0,1,1,1,0,0,3,2,13,4.1,-7
7,7,2014-11-09,29-153,OKC,,SAC,W (+8),0,17:18,5,12,.417,1,5,.200,3,3,1.000,0,1,1,2,1,0,2,0,14,8.3,+4
8,8,2014-11-11,29-155,OKC,@,MIL,L (-7),0,16:11,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,0,0,1,2,-1.2,-11
9,9,2014-11-12,29-156,OKC,@,BOS,W (+15),0,8:05,1,2,.500,1,1,1.000,1,2,.500,0,2,2,3,0,0,0,1,4,4.9,+6
10,10,2014-11-14,29-158,OKC,,DET,L (-7),0,11:05,0,5,.000,0,3,.000,0,0,,0,0,0,1,1,0,0,2,0,-2.6,-10
11,11,2014-11-16,29-160,OKC,,HOU,L (-4),0,21:14,3,9,.333,2,4,.500,1,1,1.000,0,3,3,1,1,0,1,1,9,5.1,-6
12,12,2014-11-18,29-162,OKC,@,UTA,L (-17),0,9:48,2,7,.286,0,2,.000,0,0,,0,1,1,1,0,0,0,1,4,0.5,-4
13,13,2014-11-19,29-163,OKC,@,DEN,L (-7),0,29:36,7,7,1.000,4,4,1.000,0,0,,0,2,2,2,0,0,1,4,18,15.3,+3
14,14,2014-11-21,29-165,OKC,,BRK,L (-2),0,14:00,3,8,.375,1,4,.250,2,2,1.000,0,1,1,3,0,0,1,2,9,5.2,-13
15,15,2014-11-23,29-167,OKC,,GSW,L (-5),0,15:06,3,7,.429,0,2,.000,1,2,.500,0,2,2,2,0,0,0,0,7,4.9,-5
16,16,2014-11-26,29-170,OKC,,UTA,W (+15),0,13:03,2,4,.500,1,3,.333,0,0,,0,0,0,1,0,0,1,0,5,2.7,+11
