<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,SAC,NBA,PG,65,37,1656,256,571,.448,83,219,.379,173,352,.491,.521,154,185,.832,48,120,168,266,53,8,105,121,749
2012-13,23,SAC,NBA,PG,79,62,2122,366,832,.440,115,321,.358,251,511,.491,.509,253,287,.882,29,132,161,316,67,3,140,167,1100
2013-14,24,SAC,NBA,PG,72,54,2497,496,1096,.453,127,364,.349,369,732,.504,.510,346,407,.850,47,163,210,454,93,8,213,185,1465
2014-15,25,TOT,NBA,PG,67,1,1726,335,797,.420,129,346,.373,206,451,.457,.501,302,348,.868,33,120,153,284,57,5,143,150,1101
2014-15,25,PHO,NBA,PG,46,1,1181,218,512,.426,81,207,.391,137,305,.449,.505,184,211,.872,26,83,109,171,45,5,89,105,701
2014-15,25,BOS,NBA,PG,21,0,545,117,285,.411,48,139,.345,69,146,.473,.495,118,137,.861,7,37,44,113,12,0,54,45,400
2015-16,26,BOS,NBA,PG,18,15,554,127,306,.415,39,122,.320,88,184,.478,.479,82,95,.863,6,29,35,111,28,0,47,32,375
Career,,,NBA,,301,169,8555,1580,3602,.439,493,1372,.359,1087,2230,.487,.507,1137,1322,.860,163,564,727,1431,298,24,648,655,4790
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAC,NBA,,216,153,6275,1118,2499,.447,325,904,.360,793,1595,.497,.512,753,879,.857,124,415,539,1036,213,19,458,473,3314
1 season,,PHO,NBA,,46,1,1181,218,512,.426,81,207,.391,137,305,.449,.505,184,211,.872,26,83,109,171,45,5,89,105,701
2 seasons,,BOS,NBA,,39,15,1099,244,591,.413,87,261,.333,157,330,.476,.486,200,232,.862,13,66,79,224,40,0,101,77,775
