<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,23,SAS,NBA,PF,3,0,15,0,3,.000,0,0,,0,3,.000,.000,1,2,.500,1,2,3,1,1,1,0,0,1
2012-13,24,TOT,NBA,PF,12,0,57,5,10,.500,0,0,,5,10,.500,.500,5,8,.625,5,11,16,4,2,2,3,8,15
2012-13,24,GSW,NBA,PF,5,0,21,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,0,5,5,2,0,1,1,1,3
2012-13,24,CHI,NBA,PF,7,0,36,5,9,.556,0,0,,5,9,.556,.556,2,4,.500,5,6,11,2,2,1,2,7,12
2013-14,25,TOT,NBA,PF,8,0,63,7,16,.438,1,4,.250,6,12,.500,.469,0,2,.000,5,16,21,2,0,3,9,5,15
2013-14,25,SAS,NBA,PF,1,0,15,1,4,.250,0,0,,1,4,.250,.250,0,2,.000,1,8,9,0,0,2,1,0,2
2013-14,25,UTA,NBA,PF,7,0,48,6,12,.500,1,4,.250,5,8,.625,.542,0,0,,4,8,12,2,0,1,8,5,13
2014-15,26,PHI,NBA,PF,17,0,194,18,40,.450,0,7,.000,18,33,.545,.450,9,13,.692,16,40,56,7,3,1,13,17,45
Career,,,NBA,,40,0,329,30,69,.435,1,11,.091,29,58,.500,.442,15,25,.600,27,69,96,14,6,7,25,30,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,PHI,NBA,,17,0,194,18,40,.450,0,7,.000,18,33,.545,.450,9,13,.692,16,40,56,7,3,1,13,17,45
1 season,,CHI,NBA,,7,0,36,5,9,.556,0,0,,5,9,.556,.556,2,4,.500,5,6,11,2,2,1,2,7,12
1 season,,UTA,NBA,,7,0,48,6,12,.500,1,4,.250,5,8,.625,.542,0,0,,4,8,12,2,0,1,8,5,13
1 season,,GSW,NBA,,5,0,21,0,1,.000,0,0,,0,1,.000,.000,3,4,.750,0,5,5,2,0,1,1,1,3
2 seasons,,SAS,NBA,,4,0,30,1,7,.143,0,0,,1,7,.143,.143,1,4,.250,2,10,12,1,1,3,1,0,3
