<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-30,23-231,CLE,,NYK,L (-5),0,19:42,3,7,.429,0,0,,0,0,,2,0,2,0,0,0,0,2,6,2.9,-1
2,2,2014-10-31,23-232,CLE,@,CHI,W (+6),0,36:25,7,13,.538,0,0,,2,2,1.000,12,1,13,2,0,2,0,2,16,20.4,+3
3,3,2014-11-04,23-236,CLE,@,POR,L (-19),0,22:04,4,12,.333,0,0,,2,4,.500,5,3,8,0,1,0,2,1,10,5.4,-9
4,4,2014-11-05,23-237,CLE,@,UTA,L (-2),0,24:36,3,3,1.000,0,0,,2,2,1.000,4,1,5,0,0,0,1,1,8,8.8,+6
5,5,2014-11-07,23-239,CLE,@,DEN,W (+9),0,21:02,4,6,.667,0,0,,4,6,.667,1,4,5,0,0,0,1,3,12,8.3,-10
6,6,2014-11-10,23-242,CLE,,NOP,W (+7),0,25:53,3,7,.429,0,0,,0,0,,3,3,6,1,0,2,1,1,6,6.0,+3
7,7,2014-11-14,23-246,CLE,@,BOS,W (+1),0,19:35,2,7,.286,0,0,,0,0,,1,3,4,0,0,0,1,2,4,-0.3,-9
8,8,2014-11-15,23-247,CLE,,ATL,W (+33),0,24:06,6,8,.750,0,0,,3,3,1.000,2,5,7,1,2,1,1,1,15,16.7,+38
9,9,2014-11-17,23-249,CLE,,DEN,L (-9),0,23:26,2,6,.333,0,0,,1,2,.500,2,5,7,0,2,3,2,2,5,5.4,-7
10,10,2014-11-19,23-251,CLE,,SAS,L (-2),0,17:05,3,5,.600,0,0,,0,0,,0,2,2,1,0,0,0,1,6,4.6,-3
11,11,2014-11-21,23-253,CLE,@,WAS,L (-13),0,27:13,1,4,.250,0,0,,2,2,1.000,2,6,8,0,1,1,1,5,4,3.5,-2
12,12,2014-11-22,23-254,CLE,,TOR,L (-17),0,20:00,4,9,.444,0,0,,3,6,.500,4,3,7,1,0,1,2,4,11,6.6,-17
13,13,2014-11-24,23-256,CLE,,ORL,W (+32),0,21:33,4,8,.500,0,0,,1,2,.500,6,5,11,0,1,2,1,1,9,11.3,+19
14,14,2014-11-26,23-258,CLE,,WAS,W (+26),0,29:50,4,4,1.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,2,10,9.4,+10
15,15,2014-11-29,23-261,CLE,,IND,W (+12),1,38:42,4,8,.500,0,0,,5,10,.500,4,7,11,1,0,1,0,3,13,12.1,+25
16,16,2014-12-02,23-264,CLE,,MIL,W (+3),0,25:33,3,4,.750,0,0,,0,0,,1,2,3,1,1,1,2,3,6,4.9,+4
17,17,2014-12-04,23-266,CLE,@,NYK,W (+3),0,25:22,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,2,3,2,-1.7,-2
18,18,2014-12-05,23-267,CLE,@,TOR,W (+14),0,32:43,8,13,.615,0,0,,5,8,.625,9,5,14,2,0,0,0,5,21,21.1,+20
