<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,NOH,NBA,SG,73,17,1872,398,883,.451,117,313,.374,281,570,.493,.517,144,177,.814,72,139,211,114,58,11,76,127,1057
2010-11,23,TOT,NBA,SG,73,23,1775,350,807,.434,88,240,.367,262,567,.462,.488,145,184,.788,61,197,258,135,64,9,93,110,933
2010-11,23,NOH,NBA,SG,46,0,745,137,334,.410,35,93,.376,102,241,.423,.463,50,66,.758,25,106,131,43,19,4,37,50,359
2010-11,23,SAC,NBA,SG,27,23,1030,213,473,.450,53,147,.361,160,326,.491,.506,95,118,.805,36,91,127,92,45,5,56,60,574
2011-12,24,SAC,NBA,SG,51,51,1780,352,803,.438,107,310,.345,245,493,.497,.505,141,163,.865,84,104,188,98,71,12,84,111,952
2012-13,25,SAC,NBA,SG,72,8,1726,332,774,.429,141,379,.372,191,395,.484,.520,111,126,.881,50,131,181,91,61,4,68,105,916
2013-14,26,TOT,NBA,SG,72,27,1741,252,639,.394,109,316,.345,143,323,.443,.480,90,112,.804,57,141,198,77,58,11,67,110,703
2013-14,26,SAC,NBA,SG,46,26,1121,142,373,.381,57,179,.318,85,194,.438,.457,42,52,.808,39,85,124,47,31,8,38,74,383
2013-14,26,BRK,NBA,SG,26,1,620,110,266,.414,52,137,.380,58,129,.450,.511,48,60,.800,18,56,74,30,27,3,29,36,320
2014-15,27,TOT,NBA,SG,48,0,721,140,345,.406,54,143,.378,86,202,.426,.484,46,56,.821,23,63,86,36,27,7,27,38,380
2014-15,27,BOS,NBA,SG,39,0,640,127,305,.416,52,124,.419,75,181,.414,.502,42,51,.824,19,54,73,34,21,7,22,35,348
2014-15,27,PHO,NBA,SG,9,0,81,13,40,.325,2,19,.105,11,21,.524,.350,4,5,.800,4,9,13,2,6,0,5,3,32
2015-16,28,HOU,NBA,SG,17,6,393,75,180,.417,30,89,.337,45,91,.495,.500,8,10,.800,16,37,53,24,16,1,13,27,188
Career,,,NBA,,406,132,10008,1899,4431,.429,646,1790,.361,1253,2641,.474,.501,685,828,.827,363,812,1175,575,355,55,428,628,5129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,196,108,5657,1039,2423,.429,358,1015,.353,681,1408,.484,.503,389,459,.847,209,411,620,328,208,29,246,350,2825
2 seasons,,NOH,NBA,,119,17,2617,535,1217,.440,152,406,.374,383,811,.472,.502,194,243,.798,97,245,342,157,77,15,113,177,1416
1 season,,BOS,NBA,,39,0,640,127,305,.416,52,124,.419,75,181,.414,.502,42,51,.824,19,54,73,34,21,7,22,35,348
1 season,,BRK,NBA,,26,1,620,110,266,.414,52,137,.380,58,129,.450,.511,48,60,.800,18,56,74,30,27,3,29,36,320
1 season,,HOU,NBA,,17,6,393,75,180,.417,30,89,.337,45,91,.495,.500,8,10,.800,16,37,53,24,16,1,13,27,188
1 season,,PHO,NBA,,9,0,81,13,40,.325,2,19,.105,11,21,.524,.350,4,5,.800,4,9,13,2,6,0,5,3,32
