<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,19,DEN,NBA,SF,81,16,1320,115,393,.293,37,152,.243,78,241,.324,.340,48,65,.738,64,117,181,91,31,29,84,136,315
2003-04,20,DEN,NBA,PF,39,0,307,40,122,.328,3,11,.273,37,111,.333,.340,23,29,.793,24,39,63,10,6,8,17,50,106
2004-05,21,TOT,NBA,PF,35,0,220,22,74,.297,2,17,.118,20,57,.351,.311,4,7,.571,12,29,41,10,8,11,19,33,50
2004-05,21,DEN,NBA,PF,23,0,158,15,51,.294,0,7,.000,15,44,.341,.294,4,7,.571,11,18,29,4,8,8,14,24,34
2004-05,21,GSW,NBA,PF,12,0,62,7,23,.304,2,10,.200,5,13,.385,.348,0,0,,1,11,12,6,0,3,5,9,16
2005-06,22,TOT,NBA,SF-PF,17,0,99,13,37,.351,1,3,.333,12,34,.353,.365,9,14,.643,9,13,22,3,1,2,6,8,36
2005-06,22,MIN,NBA,PF,5,0,13,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,0,2,2,0,0,0,2,0,3
2005-06,22,PHO,NBA,SF,12,0,86,12,33,.364,1,3,.333,11,30,.367,.379,8,12,.667,9,11,20,3,1,2,4,8,33
Career,,,NBA,,172,16,1946,190,626,.304,43,183,.235,147,443,.332,.338,84,115,.730,109,198,307,114,46,50,126,227,507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,DEN,NBA,,143,16,1785,170,566,.300,40,170,.235,130,396,.328,.336,75,101,.743,99,174,273,105,45,45,115,210,455
1 season,,GSW,NBA,,12,0,62,7,23,.304,2,10,.200,5,13,.385,.348,0,0,,1,11,12,6,0,3,5,9,16
1 season,,PHO,NBA,,12,0,86,12,33,.364,1,3,.333,11,30,.367,.379,8,12,.667,9,11,20,3,1,2,4,8,33
1 season,,MIN,NBA,,5,0,13,1,4,.250,0,0,,1,4,.250,.250,1,2,.500,0,2,2,0,0,0,2,0,3
