<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2014-10-29,29-177,PHO,,LAL,W (+20),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
2,,2014-10-31,29-179,PHO,,SAS,W (+5),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
3,,2014-11-01,29-180,PHO,,UTA,L (-27),Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
4,1,2014-11-04,29-183,PHO,@,LAL,W (+6),0,19:53,1,5,.200,1,3,.333,0,0,,1,4,5,2,0,0,1,2,3,1.4,-4
5,2,2014-11-05,29-184,PHO,,MEM,L (-11),0,25:57,2,3,.667,1,1,1.000,0,0,,0,11,11,2,4,1,1,1,5,11.7,+4
6,3,2014-11-07,29-186,PHO,,SAC,L (-2),0,37:28,5,11,.455,3,8,.375,2,3,.667,1,6,7,0,1,1,1,3,15,10.9,-10
7,4,2014-11-09,29-188,PHO,,GSW,W (+12),0,29:14,1,6,.167,0,2,.000,0,0,,2,3,5,3,2,2,1,1,2,4.6,+24
8,5,2014-11-12,29-191,PHO,,BRK,W (+8),0,23:40,2,3,.667,0,1,.000,2,3,.667,1,2,3,1,1,0,2,4,6,3.7,0
9,6,2014-11-14,29-193,PHO,,CHO,L (-8),0,23:17,3,7,.429,1,2,.500,0,0,,1,3,4,0,0,0,1,1,7,3.5,-4
10,7,2014-11-15,29-194,PHO,@,LAC,L (-13),0,21:16,3,8,.375,2,3,.667,0,0,,0,4,4,1,0,0,1,2,8,3.7,-26
11,,2014-11-17,29-196,PHO,,BOS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,8,2014-11-19,29-198,PHO,@,DET,W (+2),0,30:27,6,8,.750,2,4,.500,2,2,1.000,1,6,7,1,0,0,0,2,16,15.2,+1
13,9,2014-11-21,29-200,PHO,@,PHI,W (+26),0,22:25,2,5,.400,0,1,.000,0,0,,1,7,8,2,0,0,0,1,4,5.1,+31
14,10,2014-11-22,29-201,PHO,@,IND,W (+23),0,25:06,2,4,.500,0,1,.000,1,2,.500,0,8,8,2,1,0,0,3,5,6.2,+21
15,11,2014-11-24,29-203,PHO,@,TOR,L (-4),0,31:41,4,6,.667,3,4,.750,0,0,,1,7,8,3,1,0,1,5,11,11.3,+7
16,12,2014-11-26,29-205,PHO,,DEN,W (+8),0,26:52,4,8,.500,2,4,.500,0,0,,1,6,7,1,1,0,2,2,10,7.4,+7
17,13,2014-11-28,29-207,PHO,@,DEN,L (-25),0,20:26,3,4,.750,3,4,.750,2,4,.500,1,2,3,1,0,0,1,1,11,9.2,-14
18,14,2014-11-30,29-209,PHO,,ORL,L (-3),0,29:44,2,5,.400,1,2,.500,2,2,1.000,0,3,3,2,1,0,1,2,7,5.8,+2
19,15,2014-12-02,29-211,PHO,,IND,W (+17),1,22:37,2,6,.333,0,2,.000,0,0,,1,6,7,1,1,0,1,1,4,3.4,+16
20,16,2014-12-05,29-214,PHO,@,DAL,W (+12),1,34:27,4,7,.571,2,4,.500,0,0,,1,6,7,1,2,0,3,2,10,8.1,+18
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,17,2014-12-06,29-215,PHO,@,HOU,L (-5),1,33:08,6,12,.500,1,4,.250,2,2,1.000,6,2,8,0,1,0,2,4,15,11.2,-5
22,18,2014-12-08,29-217,PHO,@,LAC,L (-1),1,30:31,2,6,.333,0,2,.000,0,0,,0,2,2,1,0,0,2,5,4,-2.1,-1
23,19,2014-12-09,29-218,PHO,,MIA,L (-6),1,18:41,1,4,.250,1,3,.333,0,0,,1,3,4,1,1,0,0,3,3,2.7,-20
24,20,2014-12-12,29-221,PHO,,DET,L (-2),1,32:31,5,11,.455,2,4,.500,4,5,.800,3,6,9,3,3,0,1,2,16,17.1,-1
25,21,2014-12-14,29-223,PHO,@,OKC,L (-24),1,23:00,1,3,.333,1,2,.500,0,0,,0,4,4,0,0,0,1,2,3,0.7,-21
26,22,2014-12-15,29-224,PHO,,MIL,L (-2),1,35:49,2,6,.333,2,4,.500,0,0,,3,2,5,4,3,0,1,1,6,9.7,+1
27,23,2014-12-17,29-226,PHO,@,CHO,W (+5),1,27:48,1,3,.333,0,1,.000,2,2,1.000,1,5,6,4,0,4,0,0,4,10.1,-8
28,24,2014-12-20,29-229,PHO,@,NYK,W (+9),1,34:25,1,2,.500,1,1,1.000,0,0,,2,5,7,3,2,0,1,5,3,6.0,+5
29,25,2014-12-21,29-230,PHO,@,WAS,W (+12),1,18:48,2,3,.667,0,1,.000,2,2,1.000,1,4,5,0,0,0,2,2,6,3.8,+2
