<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,23,LAL,NBA,C,23,1,161,15,30,.500,0,0,,15,30,.500,.500,15,27,.556,11,26,37,8,3,10,7,30,45
2006-07,24,LAL,NBA,C,72,1,1087,147,268,.549,0,1,.000,147,267,.551,.549,89,134,.664,88,171,259,63,17,78,52,202,383
2007-08,25,LAL,NBA,C,78,21,1458,188,397,.474,0,1,.000,188,396,.475,.474,140,186,.753,95,211,306,128,28,108,72,199,516
2008-09,26,GSW,NBA,C,79,26,1696,186,366,.508,0,3,.000,186,363,.512,.508,98,124,.790,88,272,360,166,34,168,70,243,470
2009-10,27,GSW,NBA,C,42,20,872,85,146,.582,0,1,.000,85,145,.586,.582,37,78,.474,54,137,191,90,23,54,49,98,207
2010-11,28,NYK,NBA,C,64,21,1141,103,163,.632,0,0,,103,163,.632,.632,61,98,.622,64,143,207,92,35,73,41,160,267
2011-12,29,TOT,NBA,C,17,5,279,19,33,.576,0,1,.000,19,32,.594,.576,13,22,.591,20,50,70,10,14,17,14,39,51
2011-12,29,WAS,NBA,C,4,0,58,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,1,11,12,5,6,3,6,7,6
2011-12,29,MIA,NBA,C,13,5,221,16,30,.533,0,1,.000,16,29,.552,.533,13,22,.591,19,39,58,5,8,14,8,32,45
2012-13,30,LAC,NBA,C,65,0,701,49,97,.505,0,0,,49,97,.505,.505,23,63,.365,45,107,152,35,19,35,29,80,121
2013-14,31,MIN,NBA,C,31,10,606,64,107,.598,0,0,,64,107,.598,.598,21,50,.420,55,119,174,24,8,50,24,65,149
2014-15,32,MIN,NBA,C,2,0,19,0,0,,0,0,,0,0,,,0,0,,0,1,1,2,0,0,0,0,0
Career,,,NBA,,473,105,8020,856,1607,.533,0,7,.000,856,1600,.535,.533,497,782,.636,520,1237,1757,618,181,593,358,1116,2209
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,173,23,2706,350,695,.504,0,2,.000,350,693,.505,.504,244,347,.703,194,408,602,199,48,196,131,431,944
2 seasons,,GSW,NBA,,121,46,2568,271,512,.529,0,4,.000,271,508,.533,.529,135,202,.668,142,409,551,256,57,222,119,341,677
1 season,,LAC,NBA,,65,0,701,49,97,.505,0,0,,49,97,.505,.505,23,63,.365,45,107,152,35,19,35,29,80,121
1 season,,NYK,NBA,,64,21,1141,103,163,.632,0,0,,103,163,.632,.632,61,98,.622,64,143,207,92,35,73,41,160,267
2 seasons,,MIN,NBA,,33,10,625,64,107,.598,0,0,,64,107,.598,.598,21,50,.420,55,120,175,26,8,50,24,65,149
1 season,,MIA,NBA,,13,5,221,16,30,.533,0,1,.000,16,29,.552,.533,13,22,.591,19,39,58,5,8,14,8,32,45
1 season,,WAS,NBA,,4,0,58,3,3,1.000,0,0,,3,3,1.000,1.000,0,0,,1,11,12,5,6,3,6,7,6
