<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2014-10-29,26-002,BOS,,BRK,W (+16),0,23:37,5,9,.556,0,1,.000,0,1,.000,1,6,7,5,1,1,3,3,10,8.8,+14
2,2,2014-11-01,26-005,BOS,@,HOU,L (-14),0,25:50,3,8,.375,0,0,,2,2,1.000,0,2,2,3,2,1,0,1,8,8.6,-4
3,3,2014-11-03,26-007,BOS,@,DAL,L (-5),0,17:02,2,6,.333,0,2,.000,0,0,,0,4,4,2,0,0,2,0,4,1.2,-13
4,4,2014-11-05,26-009,BOS,,TOR,L (-3),0,12:21,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,5,4,2,-4.3,-10
5,5,2014-11-07,26-011,BOS,,IND,W (+3),0,16:21,4,7,.571,0,0,,0,0,,0,2,2,1,0,0,1,2,8,4.2,+9
6,6,2014-11-08,26-012,BOS,@,CHI,W (+5),1,32:17,7,14,.500,1,2,.500,4,4,1.000,2,3,5,6,0,0,2,2,19,15.7,+13
7,7,2014-11-12,26-016,BOS,,OKC,L (-15),0,20:44,1,4,.250,0,2,.000,2,2,1.000,0,2,2,2,1,0,1,2,4,2.8,-21
8,8,2014-11-14,26-018,BOS,,CLE,L (-1),0,26:17,5,9,.556,0,2,.000,2,2,1.000,0,3,3,5,0,0,3,3,12,7.9,-3
9,9,2014-11-17,26-021,BOS,,PHO,L (-4),0,21:45,3,6,.500,1,1,1.000,0,0,,0,4,4,6,1,1,1,2,7,9.3,+1
10,10,2014-11-19,26-023,BOS,@,PHI,W (+11),0,14:50,0,4,.000,0,0,,2,2,1.000,1,3,4,3,0,1,0,2,2,2.8,-2
11,11,2014-11-21,26-025,BOS,@,MEM,L (-17),0,22:38,5,9,.556,0,0,,0,0,,1,5,6,5,0,0,0,0,10,11.4,-2
12,12,2014-11-23,26-027,BOS,,POR,L (-6),0,14:25,4,9,.444,0,1,.000,2,2,1.000,1,4,5,3,1,0,1,0,10,9.3,-4
13,13,2014-11-28,26-032,BOS,,CHI,L (-7),0,22:51,4,11,.364,0,0,,5,5,1.000,1,1,2,2,2,0,4,2,13,6.5,+6
14,14,2014-11-30,26-034,BOS,,SAS,L (-22),0,25:45,5,11,.455,0,1,.000,2,2,1.000,2,2,4,1,0,0,2,1,12,6.6,-7
15,15,2014-12-02,26-036,BOS,@,ATL,L (-4),0,21:26,5,7,.714,2,2,1.000,0,0,,0,2,2,2,1,0,3,3,12,7.9,-9
16,16,2014-12-03,26-037,BOS,,DET,W (+7),0,26:47,3,8,.375,0,2,.000,3,4,.750,2,5,7,5,0,0,3,1,9,7.2,-3
17,17,2014-12-05,26-039,BOS,,LAL,W (+17),0,24:11,4,6,.667,1,1,1.000,0,0,,1,2,3,3,2,0,1,1,9,10.4,-5
18,18,2014-12-07,26-041,BOS,,WAS,W (+8),0,24:39,3,8,.375,0,0,,0,0,,2,4,6,2,1,1,3,1,6,3.9,-14
19,19,2014-12-08,26-042,BOS,@,WAS,L (-1),0,39:10,8,13,.615,2,2,1.000,0,0,,0,6,6,8,2,1,2,4,18,18.6,+17
20,20,2014-12-10,26-044,BOS,@,CHO,L (-9),0,20:55,0,4,.000,0,1,.000,0,0,,0,3,3,4,1,0,2,4,0,-1.7,+1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,2014-12-12,26-046,BOS,,NYK,L (-6),1,36:04,6,11,.545,0,2,.000,1,1,1.000,0,2,2,1,0,0,5,5,13,2.0,-12
22,22,2014-12-15,26-049,BOS,@,PHI,W (+18),0,27:05,5,10,.500,0,1,.000,2,2,1.000,0,5,5,6,3,0,5,3,12,9.5,+16
23,23,2014-12-17,26-051,BOS,,ORL,W (+17),0,18:16,3,4,.750,0,0,,2,2,1.000,0,6,6,2,0,1,2,3,8,7.1,+2
24,24,2014-12-19,26-053,BOS,,MIN,W (+16),1,26:39,5,9,.556,0,2,.000,0,0,,0,3,3,4,1,1,2,1,10,8.7,+2
25,25,2014-12-21,26-055,BOS,@,MIA,L (-16),0,26:23,2,6,.333,1,1,1.000,2,2,1.000,0,2,2,3,0,1,1,1,7,5.6,-8
26,26,2014-12-23,26-057,BOS,@,ORL,L (-5),0,24:31,1,6,.167,1,2,.500,0,0,,0,4,4,3,2,0,3,1,3,1.1,+2
27,27,2014-12-26,26-060,BOS,,BRK,L (-2),0,21:27,1,4,.250,1,1,1.000,0,0,,0,2,2,6,1,0,2,3,3,3.2,-13
28,28,2014-12-27,26-061,BOS,@,WAS,L (-13),0,26:14,5,8,.625,0,1,.000,1,3,.333,0,2,2,4,1,0,2,1,11,8.6,-5
29,29,2014-12-31,26-065,BOS,,SAC,W (+22),1,22:40,4,10,.400,0,0,,2,2,1.000,0,6,6,11,3,0,4,4,10,11.5,+13
30,30,2015-01-02,26-067,BOS,,DAL,L (-18),1,21:29,3,7,.429,2,2,1.000,1,2,.500,0,1,1,3,0,0,2,4,9,3.7,-1
31,31,2015-01-03,26-068,BOS,@,CHI,L (-5),1,39:59,12,22,.545,4,5,.800,1,2,.500,0,5,5,6,1,0,7,3,29,16.5,-4
32,32,2015-01-05,26-070,BOS,,CHO,L (-9),1,20:09,2,5,.400,0,0,,1,2,.500,0,2,2,4,1,0,2,4,5,2.7,-16
33,33,2015-01-07,26-072,BOS,@,BRK,W (+8),1,26:26,3,9,.333,0,2,.000,0,0,,1,7,8,7,2,0,0,3,6,9.4,+2
34,34,2015-01-09,26-074,BOS,@,IND,L (-4),1,38:22,3,15,.200,0,3,.000,3,6,.500,2,13,15,7,2,0,2,3,9,7.5,-5
35,35,2015-01-10,26-075,BOS,@,TOR,L (-13),1,27:14,2,9,.222,0,1,.000,0,0,,2,4,6,5,0,0,3,3,4,0.4,-7
36,36,2015-01-12,26-077,BOS,,NOP,W (+8),1,24:34,4,8,.500,1,3,.333,1,2,.500,1,6,7,5,1,0,2,1,10,10.2,-5
37,37,2015-01-14,26-079,BOS,,ATL,L (-14),1,26:36,1,5,.200,0,2,.000,1,2,.500,0,4,4,6,1,0,3,1,3,2.5,-5
38,38,2015-01-16,26-081,BOS,,CHI,L (-16),1,34:20,5,11,.455,0,1,.000,1,2,.500,0,6,6,8,0,1,4,2,11,8.2,-9
39,39,2015-01-19,26-084,BOS,@,LAC,L (-9),1,29:57,2,6,.333,1,3,.333,5,6,.833,1,9,10,6,0,0,1,0,10,12.8,-16
40,40,2015-01-22,26-087,BOS,@,POR,W (+1),1,31:07,4,9,.444,2,4,.500,0,0,,0,6,6,8,1,0,4,1,10,9.3,+8
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-23,26-088,BOS,@,DEN,W (+1),1,27:30,5,8,.625,0,2,.000,0,2,.000,0,2,2,6,1,2,1,3,10,10.6,-10
42,42,2015-01-25,26-090,BOS,@,GSW,L (-3),1,31:39,7,12,.583,1,1,1.000,4,6,.667,2,5,7,7,1,1,4,4,19,16.5,-5
43,43,2015-01-26,26-091,BOS,@,UTA,W (+9),1,21:19,2,7,.286,0,0,,5,6,.833,0,3,3,4,1,0,2,1,9,6.8,+2
44,44,2015-01-28,26-093,BOS,@,MIN,L (-12),1,27:19,4,6,.667,0,0,,2,2,1.000,1,3,4,6,0,0,1,2,10,11.4,-5
45,45,2015-01-30,26-095,BOS,,HOU,L (-6),1,20:43,2,10,.200,0,2,.000,0,0,,2,1,3,1,1,0,3,2,4,-2.6,-4
46,46,2015-02-01,26-097,BOS,,MIA,L (-8),1,19:05,0,6,.000,0,2,.000,0,0,,0,5,5,2,1,0,1,1,0,-1.7,-13
47,47,2015-02-03,26-099,BOS,@,NYK,W (+11),1,32:34,1,5,.200,0,1,.000,3,4,.750,2,6,8,5,0,0,5,4,5,1.6,+3
48,48,2015-02-04,26-100,BOS,,DEN,W (+4),1,29:47,3,11,.273,1,4,.250,0,0,,1,7,8,8,2,1,3,2,7,7.8,-6
49,49,2015-02-06,26-102,BOS,,PHI,W (+11),1,28:10,2,6,.333,0,2,.000,2,2,1.000,0,8,8,6,0,0,2,2,6,6.4,+4
50,50,2015-02-07,26-103,BOS,@,MIL,L (-3),1,34:09,3,8,.375,0,1,.000,1,2,.500,0,7,7,7,2,0,3,2,7,7.4,0
51,51,2015-02-11,26-107,BOS,,ATL,W (+1),1,31:10,4,11,.364,0,3,.000,4,4,1.000,1,6,7,9,1,0,2,3,12,12.5,+7
52,52,2015-02-20,26-116,BOS,@,SAC,L (-8),1,37:29,3,14,.214,1,2,.500,0,0,,0,5,5,8,3,0,5,3,7,2.3,-1
53,53,2015-02-22,26-118,BOS,@,LAL,L (-7),1,35:39,5,19,.263,0,3,.000,2,3,.667,2,4,6,12,2,0,4,2,12,8.5,+5
54,54,2015-02-23,26-119,BOS,@,PHO,W (+5),1,31:47,4,8,.500,1,2,.500,1,2,.500,2,6,8,4,1,0,3,2,10,8.8,0
55,55,2015-02-25,26-121,BOS,,NYK,W (+21),1,34:24,5,9,.556,0,0,,0,0,,1,11,12,10,0,0,1,3,10,14.5,+20
56,56,2015-02-27,26-123,BOS,,CHO,W (+8),1,29:47,1,5,.200,0,0,,0,0,,0,6,6,7,0,0,1,0,2,4.6,-6
57,57,2015-03-01,26-125,BOS,,GSW,L (-5),1,28:13,4,12,.333,0,1,.000,2,2,1.000,0,9,9,6,1,0,2,2,10,8.3,-1
58,58,2015-03-03,26-127,BOS,@,CLE,L (-31),1,27:38,3,8,.375,0,1,.000,0,0,,0,2,2,7,2,0,2,3,6,5.9,-28
59,59,2015-03-04,26-128,BOS,,UTA,W (+1),1,25:29,1,8,.125,0,1,.000,0,0,,0,2,2,2,1,0,0,2,2,-1.0,+6
60,60,2015-03-06,26-130,BOS,@,NOP,W (+6),1,35:30,6,11,.545,1,1,1.000,3,3,1.000,0,6,6,6,0,0,4,4,16,11.1,-1
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,2015-03-08,26-132,BOS,@,ORL,L (-5),1,29:21,3,8,.375,2,3,.667,2,2,1.000,1,2,3,4,1,0,2,2,10,7.9,-16
62,62,2015-03-09,26-133,BOS,@,MIA,W (+10),1,27:03,4,12,.333,0,1,.000,0,0,,1,5,6,2,0,0,1,2,8,3.0,+13
63,63,2015-03-11,26-135,BOS,,MEM,W (+3),1,24:31,1,6,.167,0,0,,2,2,1.000,0,0,0,7,1,0,2,1,4,3.7,+9
64,64,2015-03-13,26-137,BOS,,ORL,W (+7),1,33:26,12,20,.600,1,3,.333,5,5,1.000,0,5,5,4,2,0,3,4,30,22.5,-3
65,65,2015-03-14,26-138,BOS,@,IND,W (+4),1,26:38,1,7,.143,0,2,.000,2,4,.500,0,7,7,7,0,1,3,2,4,2.6,0
66,66,2015-03-16,26-140,BOS,,PHI,W (+19),1,24:07,5,9,.556,0,0,,0,0,,0,4,4,5,0,0,0,1,10,10.0,+20
67,67,2015-03-18,26-142,BOS,@,OKC,L (-4),1,30:01,3,6,.500,0,0,,2,4,.500,0,6,6,10,5,0,3,6,8,12.6,-5
68,68,2015-03-20,26-144,BOS,@,SAS,L (-12),1,32:55,7,11,.636,1,2,.500,2,4,.500,0,1,1,4,0,0,4,4,17,8.8,-9
69,69,2015-03-22,26-146,BOS,,DET,L (-8),1,38:40,10,21,.476,2,6,.333,1,2,.500,0,6,6,8,3,0,2,2,23,19.5,-8
70,70,2015-03-23,26-147,BOS,@,BRK,W (+19),1,40:18,9,13,.692,0,2,.000,1,2,.500,0,10,10,12,0,1,2,2,19,22.4,+19
71,71,2015-03-25,26-149,BOS,,MIA,L (-7),1,20:25,1,5,.200,0,0,,2,2,1.000,0,4,4,5,0,0,1,1,4,4.2,-7
72,72,2015-03-27,26-151,BOS,@,NYK,W (+4),1,35:53,5,10,.500,0,1,.000,5,7,.714,0,7,7,5,0,0,5,1,15,9.4,+6
