<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,GSW,NBA,C,42,23,568,88,209,.421,0,1,.000,88,208,.423,.421,29,52,.558,54,86,140,16,16,20,36,84,205
2012-13,21,TOT,NBA,C,21,0,68,9,24,.375,0,0,,9,24,.375,.375,4,6,.667,6,14,20,1,1,2,6,10,22
2012-13,21,GSW,NBA,C,20,0,63,9,24,.375,0,0,,9,24,.375,.375,4,6,.667,6,11,17,1,1,2,6,10,22
2012-13,21,ATL,NBA,C,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,0,0,0
2013-14,22,NYK,NBA,C,41,0,398,60,116,.517,0,0,,60,116,.517,.517,26,48,.542,38,71,109,8,6,20,26,70,146
Career,,,NBA,,104,23,1034,157,349,.450,0,1,.000,157,348,.451,.450,59,106,.557,98,171,269,25,23,42,68,164,373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,62,23,631,97,233,.416,0,1,.000,97,232,.418,.416,33,58,.569,60,97,157,17,17,22,42,94,227
1 season,,NYK,NBA,,41,0,398,60,116,.517,0,0,,60,116,.517,.517,26,48,.542,38,71,109,8,6,20,26,70,146
1 season,,ATL,NBA,,1,0,5,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,0,0,0
