Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-30,27-163,LAC,,OKC,W (+3),0,3:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0,udohek01
8,2,2014-11-15,27-179,LAC,,PHO,W (+13),0,1:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-3,udohek01
9,3,2014-11-17,27-181,LAC,,CHI,L (-16),0,1:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0,udohek01
10,4,2014-11-19,27-183,LAC,@,ORL,W (+24),0,3:36,0,0,,0,0,,0,0,,0,0,0,0,1,1,0,0,0,1.7,0,udohek01
12,5,2014-11-23,27-187,LAC,@,MEM,L (-16),0,2:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,udohek01
15,6,2014-11-28,27-192,LAC,@,HOU,W (+17),0,2:44,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-3,udohek01
17,7,2014-12-01,27-195,LAC,,MIN,W (+26),0,8:04,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,3,2,0.8,-5,udohek01
18,8,2014-12-03,27-197,LAC,,ORL,W (+28),0,4:37,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,+2,udohek01
19,9,2014-12-06,27-200,LAC,,NOP,W (+20),0,3:04,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,0.3,-3,udohek01
22,10,2014-12-12,27-206,LAC,@,WAS,L (-8),0,2:09,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+3,udohek01
24,11,2014-12-15,27-209,LAC,,DET,W (+22),0,4:14,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-0.5,+3,udohek01
30,12,2014-12-25,27-219,LAC,,GSW,W (+14),0,1:10,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2,udohek01
31,13,2014-12-27,27-221,LAC,,TOR,L (-12),0,1:42,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,+5,udohek01
33,14,2014-12-31,27-225,LAC,,NYK,W (+21),0,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+5,udohek01
34,15,2015-01-03,27-228,LAC,,PHI,W (+36),0,5:41,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,4,1.9,+11,udohek01
35,16,2015-01-05,27-230,LAC,,ATL,L (-9),0,1:50,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+6,udohek01
36,17,2015-01-07,27-232,LAC,,LAL,W (+25),0,6:01,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-11,udohek01
37,18,2015-01-10,27-235,LAC,,DAL,W (+20),0,1:30,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.7,-2,udohek01
38,19,2015-01-11,27-236,LAC,,MIA,L (-14),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,udohek01
