<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,23,GSW,NBA,C,58,18,1030,97,222,.437,0,0,,97,222,.437,.437,42,64,.656,80,101,181,40,22,86,48,144,236
2011-12,24,TOT,NBA,C,61,11,1290,127,295,.431,0,2,.000,127,293,.433,.431,86,114,.754,100,154,254,57,40,102,53,174,340
2011-12,24,GSW,NBA,C,38,6,827,82,185,.443,0,0,,82,185,.443,.443,46,64,.719,58,89,147,31,25,65,35,115,210
2011-12,24,MIL,NBA,C,23,5,463,45,110,.409,0,2,.000,45,108,.417,.409,40,50,.800,42,65,107,26,15,37,18,59,130
2012-13,25,MIL,NBA,C,76,9,1312,117,269,.435,0,1,.000,117,268,.437,.435,89,119,.748,113,138,251,43,39,85,43,139,323
2013-14,26,MIL,NBA,PF,42,14,804,57,143,.399,0,0,,57,143,.399,.399,30,47,.638,61,87,148,31,15,44,38,96,144
2014-15,27,LAC,NBA,PF,33,0,128,11,24,.458,0,0,,11,24,.458,.458,7,9,.778,7,19,26,8,8,7,7,20,29
Career,,,NBA,,270,52,4564,409,953,.429,0,3,.000,409,950,.431,.429,254,353,.720,361,499,860,179,124,324,189,573,1072
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIL,NBA,,141,28,2579,219,522,.420,0,3,.000,219,519,.422,.420,159,216,.736,216,290,506,100,69,166,99,294,597
2 seasons,,GSW,NBA,,96,24,1857,179,407,.440,0,0,,179,407,.440,.440,88,128,.688,138,190,328,71,47,151,83,259,446
1 season,,LAC,NBA,,33,0,128,11,24,.458,0,0,,11,24,.458,.458,7,9,.778,7,19,26,8,8,7,7,20,29
